"PIT200604100",50,"fan interference"FILENAME_TX","LINE_NUMBER_CT"

"PIT200604140",21,"Pirates first baseman Sean Casey left the game due to an injured back"2006PIT.EVN.regular.comment.csv",2

"PIT200605120",9,"Marlins pitcher Sergio Mitre left the game due to an injured neck/shoulder"2006PIT.EVN.regular.comment.csv",3

"PIT200605140",29,"Pirates catcher Humberto Cota left the game due to an injured knee"2006PIT.EVN.regular.comment.csv",4

"PIT200605270",76,"ej,garnp001,M,culbf901,Call at HP Astros Manager Phil Garner ejected by HP umpire Fieldin Culbreth"2006PIT.EVN.regular.comment.csv",5

"PIT200605290",67,"fan interference"2006PIT.EVN.regular.comment.csv",6

"PIT200606010",26,"fan interference"2006PIT.EVN.regular.comment.csv",7

"PIT200606020",61,"Game called for rain"2006PIT.EVN.regular.comment.csv",8

"PIT200606040",48,"Pirates catcher Ryan Doumit left the game due to an injured leg"2006PIT.EVN.regular.comment.csv",9

"PIT200606280",42,"Pirates left fielder Craig Wilson left the game due to an injured arm"2006PIT.EVN.regular.comment.csv",10

"PIT200606290",40,"Last two plays really one, combined for now"2006PIT.EVN.regular.comment.csv",11

"PIT200607020",34,"Pirates Jose Hernandez left the game due to an injured back"2006PIT.EVN.regular.comment.csv",12

"PIT200607280",68,"$Pedro Feliz called for interference"2006PIT.EVN.regular.comment.csv",13

"PIT200608020",41,"Braves first baseman Adam LaRoche left the game due to an injured leg"2006PIT.EVN.regular.comment.csv",14

"PIT200608110",54,"Pirates center fielder Nate McLouth left the game due to an injured foot/ankle"2006PIT.EVN.regular.comment.csv",15

"PIT200608140",28,"Wilson hit on the right hand"2006PIT.EVN.regular.comment.csv",16

"PIT200608140",48,"$Fraddy Sanchez called for interference"2006PIT.EVN.regular.comment.csv",17

"PIT200608140",56,"Pirates shortstop Jack Wilson left the game due to a bruised right hand"2006PIT.EVN.regular.comment.csv",18

"PIT200608300",28,"Cubs pitcher Juan Mateo left the game due to an injured arm"2006PIT.EVN.regular.comment.csv",19

"PIT200609150",26,"fan interference"2006PIT.EVN.regular.comment.csv",20

"PIT200609150",44,"ej,lodup001,P,kellj901,Called third strike Mets catcher Paul Lo Duca ejected by HP umpire Jeff Kellogg"2006PIT.EVN.regular.comment.csv",21

"PIT200609150",62,"fan interference"2006PIT.EVN.regular.comment.csv",22

"PIT200609260",55,"Pirates pitcher Damaso Marte left the game due to an injured back"2006PIT.EVN.regular.comment.csv",23

"PIT200609270",39,"Pitcher slipped as he tried to field bunt and kicked it into foul ground. Originally scored as E1/SH, changed after game to S1"2006PIT.EVN.regular.comment.csv",24

"PIT200609290",69,"Reds right fielder Norris Hopper left the game due to an injured leg"2006PIT.EVN.regular.comment.csv",25

