"PHI201304070",44,"replay,5,butlb003,KCA,kellj901,PHI13,O,Y,I,,H $Billy Butler hit a ball that struck behind the barrier fence and caromed off the concrete back onto the field; it was ruled in play and Butler reached 2B; Royals manager Ned Yost talked with crew chief Jeff Kellogg about the play; Kellogg watched the replay and overturned the call to a grand slam home run","FILENAME_TX","LINE_NUMBER_CT"
"PHI201304080",66,"fan interference","2013PHI.EVN.regular.comment.csv",2
"PHI201304190",56,"$Game delayed at 9:07 for rain, called at 9:52","2013PHI.EVN.regular.comment.csv",3
"PHI201304240",74,"originally scored as triple, changed to E4 on 4-26-2013","2013PHI.EVN.regular.comment.csv",4
"PHI201304250",81,"ej,manuc101,M,iassd901,Interference non-call Phillies Manager Charlie Manuel ejected by 3B umpire Dan Iassogna arguing that CLint Barmes interfered with catcher Erik Kratz","2013PHI.EVN.regular.comment.csv",5
"PHI201305050",6,"replay,1,ozunm001,MIA,kellj901,PHI13,O,N,I,,H $Marcell Ozuna's fly ball struck the top of the padded wall, caromed off the fence immediately behind and back onto the field; it was ruled in play; crew chief Jeff Kellogg watched the replay and upheld the call; there are two metal fences at that spot in the park; the inner one is in play","2013PHI.EVN.regular.comment.csv",6
"PHI201305050",26,"replay,3,hecha001,MIA,kellj901,PHI13,O,Y,I,,H $Adeiny Hechavarria's fly ball struck the metal fence above the RF wall; one umpire ruled in play and another ruled a home run; the ball caromed back onto the field and was thrown into the infield; Hechavarria stopped at 2B; crew chief Jeff Kellogg watched the replay and overturned the call to a home run; this was a grand slam","2013PHI.EVN.regular.comment.csv",7
"PHI201305050",33,"originally and FLE3 on 6th pitch, error removed on 5-09-2013","2013PHI.EVN.regular.comment.csv",8
"PHI201305190",18,"Phillies catcher Carlos Ruiz left the game due to an injured leg","2013PHI.EVN.regular.comment.csv",9
"PHI201306010",77,"$Jean Segura did not catch the throw and tagged Kyle Kendrick; the ball landed on the ground between Segura and Kendrick out of the sight of 2B umpire Mike Estabrook; Segura picked up the ball with his bare hand and showed it to Estabrook, who called Kendrick out","2013PHI.EVN.regular.comment.csv",10
"PHI201306020",65,"replay,8,lucrj001,MIL,hallt901,PHI13,O,Y,I,,H $Jonathan Lucroy's fly ball hit the railing atop the padded wall a few feet inside the LF pole and caromed back onto the field; the ball was ruled fair and a grand slam; the Phillies asked about the call so crew chief Tom Hallion watched the replay and overturned the call to a ball in play; the umpires took some time to decide where to place the runners; Lucroy was awarded a triple","2013PHI.EVN.regular.comment.csv",11
"PHI201306040",66,"$Ben Revere called for interference at 2B","2013PHI.EVN.regular.comment.csv",12
"PHI201306050",54,"umpchange,7,umphome,reynj901 umpchange,7,ump2b,(None) $the second pitch to Freddy Galvis, a fast ball, got by catcher Miguel Olivo and struck HP umpire John Hirschbeck on the right hand; Hirschbeck fell to the ground and eventually left the game to have his hand x-rayed; 2B umpire Jim Reynolds moved to HP and Bob Davidson took over as acting crew chief; the pitch was ruled a foul ball on a checked swing","2013PHI.EVN.regular.comment.csv",13
"PHI201306230",31,"$Revere caught the ball on the warning track and dropped it as he was transferring it to his throwing hand, so it was ruled that he did not catch it","2013PHI.EVN.regular.comment.csv",14
"PHI201307050",15,"replay,2,quinh001,PHI,demud901,PHI13,O,N,I,,H $Humberto Quintero hit a fly ball to RF that was touched by a fan over the fence and ruled a home run even though it caromed of the fan's hands onto the field; the Braves asked about the call so crew chief Dana DeMuth watched the replay and upheld the call","2013PHI.EVN.regular.comment.csv",15
"PHI201307050",18,"ej,lairg001,P,herna901,Called third strike ej,gonzf801,M,herna901,Called third strike $Gerald Laird and Braves Manager Fredi Gonzalez ejected by HP umpire Angel Hernandez","2013PHI.EVN.regular.comment.csv",16
"PHI201307060",43,"originally scored as single, changed to E5 on 7-13-2013; Hudson loses RBI","2013PHI.EVN.regular.comment.csv",17
"PHI201307070",36,"ej,uptob001,P,eddid901,Called third strike Braves center fielder B. J. Upton ejected by HP umpire Doug Eddings","2013PHI.EVN.regular.comment.csv",18
"PHI201307070",58,"originally scored as single, changed to E4 on 7-13-2013; makes run unearned","2013PHI.EVN.regular.comment.csv",19
"PHI201307100",69,"originally scored as E1, changed to single plus error on 7-24-2013; run now earned","2013PHI.EVN.regular.comment.csv",20
"PHI201307131",84,"umpchange,10,umphome,welkb901 umpchange,10,ump2b,(None) $HP umpire Brian O'Nora left the game for an unknown reason; 2B umpire Bill Welke moved to HP","2013PHI.EVN.regular.comment.csv",21
"PHI201307132",99,"White Sox second baseman Gordon Beckham left the game due to an injured leg","2013PHI.EVN.regular.comment.csv",22
"PHI201307310",49,"Giants third baseman Pablo Sandoval left the game due to an injured foot","2013PHI.EVN.regular.comment.csv",23
"PHI201308020",51,"replay,6,utlec001,PHI,cedeg901,PHI13,I,N,I,,H $Chase Utley's fly ball was caught by a fan in the CF seats; he reached over from the second row into an empty seat in the first row; the ball was ruled a home run; Braves manager Fredi Gonzalez asked about fan interference so crew chief Gary Cederstrom watched the replay and upheld the call","2013PHI.EVN.regular.comment.csv",24
"PHI201308020",72,"ej,manuc101,M,cedeg901,Balls and strikes (Foul tip) ej,rollj001,P,carav901,Balls and strikes (Foul tip) $Brian McCann caught the foul ball on the hop and turned to give the ball to HP umpire Vic Carapazza since it hit the ground; Carapazza called it a catch and an out; Phillies Manager Charlie Manuel ejected by 1B umpire Gary Cederstrom; Phillies shortstop Jimmy Rollins ejected by Carapazza","2013PHI.EVN.regular.comment.csv",25
"PHI201308040",24,"replay,3,ruizc001,PHI,cedeg901,PHI13,O,Y,I,,H $Carlos Ruiz hit a fly ball that struck the top of the padded wall and caromed off the screen behind the wall; the ball returned to the field and was ruled a home run; Braves manager Fredi Gonzalez talked with crew chief Gary Cederstrom, who made that call; Cederstrom watched the replay and overturned the call to a ball in play and placed Ruiz at 2B","2013PHI.EVN.regular.comment.csv",26
"PHI201308040",28,"replay,4,uptob001,ATL,cedeg901,PHI13,I,Y,I,,H $B.J. Upton's fly ball was touched by a fan over the screen on top of the out-of-town scoreboard in RF; it was ruled a home run; crew chief Gary Cederstrom watched the replay and for the second time in the game overturned the call to a ball in play; Upton was placed at 2B","2013PHI.EVN.regular.comment.csv",27
"PHI201308070",52,"Cubs left fielder Thomas Neal left the game due to an injured shoulder","2013PHI.EVN.regular.comment.csv",28
"PHI201308070",56,"Cubs catcher Dioner Navarro left the game due to an injured leg","2013PHI.EVN.regular.comment.csv",29
"PHI201308170",3,"originally scored E3, changed to single on 08-22-2013, giving Gonzalez an RBI an making the run earned","2013PHI.EVN.regular.comment.csv",30
"PHI201308170",13,"previous two plays really one","2013PHI.EVN.regular.comment.csv",31
"PHI201308170",17,"Phillies third baseman Michael Young left the game due to an injured ankle","2013PHI.EVN.regular.comment.csv",32
"PHI201308240",20,"Phillies left fielder Domonic Brown left the game due to an injured foot","2013PHI.EVN.regular.comment.csv",33
"PHI201308240",61,"Diamondbacks second baseman Aaron Hill left the game due to an injured groin","2013PHI.EVN.regular.comment.csv",34
