"KC1196004220",1,"Debut game for Wynn Hawkins"FILENAME_TX","LINE_NUMBER_CT"

"KC1196004220",29,"Debut game for Dick Stigman"1960KC1.EVA.regular.comment.csv",2

"KC1196004240",47,"ej,chith101,P,papaj901,Balls and strikes $Catcher Chiti ejected by HP umpire Paparella for arguing ball 4 to Bell"1960KC1.EVA.regular.comment.csv",3

"KC1196005180",80,"$Bill Tuttle called out on appeal for failing to tag up, not a DP"1960KC1.EVA.regular.comment.csv",4

"KC1196005190",26,"9 minute rain delay"1960KC1.EVA.regular.comment.csv",5

"KC1196005250",29,"$Russ Snyder called for interference for running into his own bunt"1960KC1.EVA.regular.comment.csv",6

"KC1196005250",36,"missing play in KC1196005250"1960KC1.EVA.regular.comment.csv",7

"KC1196005280",40,"$29 minute rain delay"1960KC1.EVA.regular.comment.csv",8

"KC1196005302",39,"$Don Larsen left with a pulled side muscle"1960KC1.EVA.regular.comment.csv",9

"KC1196006130",18,"33 minute rain delay"1960KC1.EVA.regular.comment.csv",10

"KC1196006140",43,"$Bob Cerv fouled a pitch off his foot"1960KC1.EVA.regular.comment.csv",11

"KC1196006150",20,"$Hector Lopez called out on appeal for leaving 3B too soon"1960KC1.EVA.regular.comment.csv",12

"KC1196006150",103,"game called for rain after a 30 minute delay in the bottom of the 13th inning; the plays in the 13th were negated; game rescheduled for 8/7 as part of a doubleheader"1960KC1.EVA.regular.comment.csv",13

"KC1196006170",16,"$Camilo Pascual left the game when he reinjured his arm that he injured on 5/27"1960KC1.EVA.regular.comment.csv",14

"KC1196006210",72,"$on a short passed ball, Bobby Thomson attempted to advance to 2B but Pumpsie Green occupoed that bag; Green then ran towards 3B"1960KC1.EVA.regular.comment.csv",15

"KC1196007080",36,"$missed squeeze play"1960KC1.EVA.regular.comment.csv",16

"KC1196007100",35,"$homerun hit clock on light tower"1960KC1.EVA.regular.comment.csv",17

"KC1196007160",16,"$missed squeeze"1960KC1.EVA.regular.comment.csv",18

"KC1196007170",39,"Andy Carey injured his thumb on his throwing hand"1960KC1.EVA.regular.comment.csv",19

"KC1196007190",75,"$a fan ran onto the field and attacked HP umpire Bob Stewart; in the melee, 3B umpire Eddie Hurley suffered three spike wounds in his right forearm"1960KC1.EVA.regular.comment.csv",20

"KC1196008060",63,"Bill Short left with sore arm"1960KC1.EVA.regular.comment.csv",21

"KC1196008190",3,"$Johnny Kucks spiked by Danny Kravitz"1960KC1.EVA.regular.comment.csv",22

"KC1196008190",26,"ej,tsitj101,P,hurle901,Intentional HBP John Tsitouris ejected by HP umpire Eddie Hurley"1960KC1.EVA.regular.comment.csv",23

"KC1196009030",61,"Debut game for Frank Funk"1960KC1.EVA.regular.comment.csv",24

"KC1196009060",46,"ej,willd104,P,chyln901,Called third strike Dick Williams ejected by HP umpire Nestor Chylak"1960KC1.EVA.regular.comment.csv",25

"KC1196009070",50,"$Don Lee left with a shoulder injury"1960KC1.EVA.regular.comment.csv",26

"KC1196009080",0,"Debut for umpires Harry Schwarts and Bill Kinnamon"1960KC1.EVA.regular.comment.csv",27

