"NYA201604050",0,"Protest=H $this game was a makeup for the game postponed on 4/4 due to bad weather","FILENAME_TX","LINE_NUMBER_CT"
"NYA201604050",59,"$Carlos Correa ran in fair territory to 1B and Dellin Betances' throw was high and the ball rolled down the RF line; Yankees manager Joe Girardi argued that Correa was guilty of interference; when the call was not changed, Girardi protested the game","2016NYA.EVA.regular.comment.csv",2
"NYA201604050",60,"replay,8,rasmc001,HOU,demud901,NYC21,,Y,M,HOU,A $when Carlos Correa was called out at 2B, Astros manager A.J. Hinch challenged the ruling; the call was overturned by replay","2016NYA.EVA.regular.comment.csv",3
"NYA201604200",32,"Athletics third baseman Danny Valencia left the game due to an injured leg","2016NYA.EVA.regular.comment.csv",4
"NYA201604200",58,"replay,7,hicka001,NYA,nelsj901,NYC21,,N,M,NYA,A $when Didi Gregorius was called out at 3B, Yankees manager Joe Girardi challenged the ruling; the call was upheld by replay","2016NYA.EVA.regular.comment.csv",5
"NYA201604220",24,"replay,3,pears001,TBA,barrt901,NYC21,,N,M,NYA,C $when Steve Pearce was called safe at 1B, Yankees manager Joe Girardi challenged the ruling; the call was upheld by replay","2016NYA.EVA.regular.comment.csv",6
"NYA201604220",37,"Yankees center fielder Aaron Hicks left the game due to an injured shoulder","2016NYA.EVA.regular.comment.csv",7
"NYA201604230",18,"replay,3,congh001,TBA,barrt901,NYC21,,Y,M,NYA,A $when Kevin Kiermaier was called safe at 2B, Yankees manager Joe Girardi challenged the ruling; the call was overturned by replay","2016NYA.EVA.regular.comment.csv",8
"NYA201604240",40,"$Steven Souza hit two home runs on his birthday","2016NYA.EVA.regular.comment.csv",9
"NYA201604240",52,"Yankees designated hitter Alex Rodriguez left the game due to an injured side","2016NYA.EVA.regular.comment.csv",10
"NYA201605060",15,"$Jacoby Ellsbury left with injured hip","2016NYA.EVA.regular.comment.csv",11
"NYA201605060",76,"ej,farrj001,M,kulpr901,Balls and strikes Red Sox manager John Farrell was ejected by HP umpire Ron Kulpa for arguing the called strike two to David Ortiz","2016NYA.EVA.regular.comment.csv",12
"NYA201605060",77,"ej,ortid001,P,kulpr901,Balls and strikes $David Ortiz barked at HP umpire Ron Kulpa; Ortiz was ejected by Kulpa after Ortiz returned to the dugout and continued to bark about strike three; Ortiz ran onto the field and was restrained by Red Sox manager John Farrell","2016NYA.EVA.regular.comment.csv",13
"NYA201605090",44,"replay,5,teixm001,NYA,barrt901,NYC21,,Y,M,KCA,C $when Mark Teixeira was called safe at 1B, Royals manager Ned Yost challenged the ruling; the call was overturned by replay","2016NYA.EVA.regular.comment.csv",14
"NYA201605130",29,"Yankees pitcher Luis Severino left the game due to an injured elbow","2016NYA.EVA.regular.comment.csv",15
"NYA201605150",57,"replay,6,eatoa002,CHA,wintm901,NYC21,,Y,M,NYA,A $when Tyler Saladino was called safe at 2B, Yankees manager Joe Girardi challenged the ruling; the call was overturned by replay","2016NYA.EVA.regular.comment.csv",16
"NYA201605240",13,"replay,2,pillk001,TOR,joycj901,NYC21,,Y,M,TOR,C $when Kevin Pillar was called out at 1B, Blue Jays manager John Gibbons challenged the ruling; the call was overturned by replay","2016NYA.EVA.regular.comment.csv",17
"NYA201606060",7,"replay,1,gardb001,NYA,hallt901,NYC21,,N,M,NYA,A $when Jacoby Ellsbury was called out at 2B, Yankees manager Joe Girardi challenged the ruling; the call was upheld by replay","2016NYA.EVA.regular.comment.csv",18
"NYA201606060",50,"replay,7,escoy001,ANA,hallt901,NYC21,,Y,U,,C $when Gregorio Petit was called safe at 2B, crew chief Tom Hallion requested a review; the call was overturned by replay","2016NYA.EVA.regular.comment.csv",19
"NYA201606090",20,"replay,3,escoy001,ANA,hallt901,NYC21,,Y,M,NYA,A $when Gregorio Petit was called safe at 3B, Yankees manager Joe Girardi challenged the ruling; the call was overturned by replay","2016NYA.EVA.regular.comment.csv",20
"NYA201606090",67,"Yankees first baseman Chris Parmelee left the game due to an injured groin","2016NYA.EVA.regular.comment.csv",21
"NYA201606110",20,"replay,3,headc001,NYA,wintm901,NYC21,O,N,U,,H $Chase Headley's fly to LF struck the top of the wall and caromed towards CF; the ball was ruled fair and in play; crew chief Mike Winters requested a review, which upheld the call","2016NYA.EVA.regular.comment.csv",22
"NYA201606210",3,"replay,1,arenn001,COL,hudsm901,NYC21,,Y,M,COL,C $when Nolan Arenado was called out at 1B, Rockies manager Walt Weiss challenged the ruling; the call was overturned by replay","2016NYA.EVA.regular.comment.csv",23
"NYA201606240",4,"replay,1,gardb001,NYA,vanol901,NYC21,,Y,M,MIN,C $when Brett Gardner was called safe at 1B, Twins manager Paul Molitor challenged the ruling; the call was overturned by replay","2016NYA.EVA.regular.comment.csv",24
"NYA201606250",63,"replay,8,headc001,NYA,vanol901,NYC21,,N,M,NYA,A $when Brian McCann was called out at HP, Yankees manager Joe Girardi challenged the ruling; the call was upheld by replay","2016NYA.EVA.regular.comment.csv",25
"NYA201606270",0,"$20 minute weather delay before the start of the game; the rain came later","2016NYA.EVA.regular.comment.csv",26
"NYA201606270",54,"$rain started","2016NYA.EVA.regular.comment.csv",27
"NYA201606270",82,"$with a 3-1 count on Shin-Soo Choo, Yankees manager Joe Girardi walked onto the field to complain about the field conditions since it had been raining hard for a while; the game resumed after a 3:56 delay","2016NYA.EVA.regular.comment.csv",28
"NYA201606270",91,"replay,9,casts001,NYA,nauep901,NYC21,,N,M,TEX,C $when Starlin Castro was called safe at 1B, Rangers manager Jeff Banister challenged the ruling; the call was upheld by replay","2016NYA.EVA.regular.comment.csv",29
"NYA201606280",8,"Yankees right fielder Carlos Beltran left the game due to an injured leg","2016NYA.EVA.regular.comment.csv",30
"NYA201606280",16,"replay,2,headc001,NYA,nauep901,NYC21,,Y,M,NYA,C $when Chase Headley was called out at 1B, Yankees manager Joe Girardi challenged the ruling; the call was overturned by replay","2016NYA.EVA.regular.comment.csv",31
"NYA201606280",21,"replay,3,belta001,TEX,nauep901,NYC21,,Y,M,TEX,C $when Adrian Beltre was called out at 1B, Rangers manager Jeff Banister challenged the ruling; the call was overturned by replay","2016NYA.EVA.regular.comment.csv",32
"NYA201607160",19,"replay,3,bogax001,BOS,davig901,NYC21,,Y,M,BOS,C $when Xander Bogaerts was called out at 1B, Red Sox manager John Farrell challenged the ruling; the call was overturned by replay, putting a run on the board","2016NYA.EVA.regular.comment.csv",33
"NYA201607190",38,"replay,5,beltc001,NYA,randt901,NYC21,,Y,M,BAL,A $when Jacoby Ellsbury was called safe at 3B, Orioles manager Buck Showalter challenged the ruling; the call was overturned by replay","2016NYA.EVA.regular.comment.csv",34
"NYA201607220",24,"replay,3,pagaa001,SFN,vanol901,NYC21,,N,M,SFN,P replay,3,pagaa001,SFN,vanol901,NYC21,,N,M,SFN,B $when Gregor Blanco was called out at HP, Giants manager Bruce Bochy challenged the ruling; the call was upheld by replay","2016NYA.EVA.regular.comment.csv",35
"NYA201607220",34,"Giants catcher Buster Posey left the game due to an injured foot","2016NYA.EVA.regular.comment.csv",36
"NYA201608060",16,"$originally scored as WP, changed to PB on 08-10-2016, making run unearned","2016NYA.EVA.regular.comment.csv",37
"NYA201608070",59,"ej,napom001,P,barrl901,Called third strike Indians designated hitter Mike Napoli ejected by HP umpire Lance Barrett","2016NYA.EVA.regular.comment.csv",38
"NYA201608070",69,"replay,9,santc002,CLE,scotd901,NYC21,,N,M,CLE,C $when Carlos Santana was called out at 1B, Indians manager Terry Francona challenged the ruling; the call was upheld by replay","2016NYA.EVA.regular.comment.csv",39
"NYA201608120",44,"replay,6,mahtm001,TBA,hirsj901,NYC21,,Y,M,TBA,C $when Mikie Mahtook was called out at 1B, Rays manager Kevin Cash challenged the ruling; the call was overturned by replay","2016NYA.EVA.regular.comment.csv",40
"NYA201608120",68,"replay,9,dickc002,TBA,hirsj901,NYC21,,Y,M,NYA,C $when Corey Dickerson was called safe at 1B, Yankees manager Joe Girardi challenged the ruling; the call was overturned by replay","2016NYA.EVA.regular.comment.csv",41
"NYA201608130",15,"$Back to back homers in first ML AB for both; first time this has happened","2016NYA.EVA.regular.comment.csv",42
"NYA201608140",46,"replay,5,gregd001,NYA,hirsj901,NYC21,,N,M,NYA,N $a fan reached out and caught the ball; Didi Gregorius was called out on fan interference; Yankees manager Joe Girardi challenged the ruling but the call was upheld by replay","2016NYA.EVA.regular.comment.csv",43
"NYA201608150",12,"$HP Umpire Hunter Wendelstedt struck on the mask by a Brian McCann foul ball","2016NYA.EVA.regular.comment.csv",44
"NYA201608150",17,"umpchange,3,umphome,barrs901 umpchange,3,ump2b,(None) $HP Umpire Hunter Wendelstedt left the game; 2B umpire Scott Barry moved to HP","2016NYA.EVA.regular.comment.csv",45
"NYA201608260",14,"Orioles center fielder Adam Jones left the game due to an injured leg","2016NYA.EVA.regular.comment.csv",46
"NYA201608260",34,"replay,4,davic003,BAL,kulpr901,NYC21,,N,M,BAL,A $when Chris Davis was called out at 2B, Orioles manager Buck Showalter challenged the ruling; the call was upheld by replay","2016NYA.EVA.regular.comment.csv",47
"NYA201608270",32,"replay,3,mccab002,NYA,kulpr901,NYC21,,Y,M,NYA,A $when Didi Gregorius was called out at HP, Yankees manager Joe Girardi challenged the ruling; the call was overturned by replay","2016NYA.EVA.regular.comment.csv",48
"NYA201609050",66,"replay,8,carre001,TOR,carlm901,NYC21,,N,M,TOR,C $when Ezequiel Carrera was called out at 1B, Blue Jays manager John Gibbons challenged the ruling; the call was upheld by replay","2016NYA.EVA.regular.comment.csv",49
"NYA201609070",52,"replay,7,saunm001,TOR,carlm901,NYC21,,Y,M,NYA,C $when Michael Saunders was called safe at 1B, Yankees manager Joe Girardi challenged the ruling; the call was overturned by replay","2016NYA.EVA.regular.comment.csv",50
"NYA201609070",65,"replay,8,judga001,NYA,carlm901,NYC21,,Y,M,TOR,A $when Chase Headley was called safe at 2B, Blue Jays manager John Gibbons challenged the ruling; the call was overturned by replay","2016NYA.EVA.regular.comment.csv",51
"NYA201609080",6,"Rays first baseman Brad Miller left the game due to an injured elbow","2016NYA.EVA.regular.comment.csv",52
"NYA201609090",47,"replay,5,longe001,TBA,everm901,NYC21,,Y,M,TBA,C $when Evan Longoria was called out at 1B, Rays manager Kevin Cash challenged the ruling; the call was overturned by replay","2016NYA.EVA.regular.comment.csv",53
"NYA201609100",55,"replay,8,forsl001,TBA,everm901,NYC21,,N,M,NYA,I $when Logan Forsythe was ruled to have been hit by a pitch, Yankees manager Joe Girardi challenged the ruling; the call was upheld by replay","2016NYA.EVA.regular.comment.csv",54
"NYA201609100",60,"$the Rays intended to intentionally walk Gary Sanchez but the first pitch was close to the plate; Sanchez reached out and hit the ball to the warning track in CF","2016NYA.EVA.regular.comment.csv",55
"NYA201609110",25,"Rays first baseman Logan Morrison left the game due to an injured wrist","2016NYA.EVA.regular.comment.csv",56
"NYA201609120",13,"$originally scored E9, changed to triple on 09-18-2016, giving Utley two RBI and making all runs in inning earned","2016NYA.EVA.regular.comment.csv",57
"NYA201609130",15,"replay,2,mccab002,NYA,cedeg901,NYC21,,Y,M,LAN,A $when Starlin Castro was called safe at 1B, Dodgers manager Dave Roberts challenged the ruling; the call was overturned by replay","2016NYA.EVA.regular.comment.csv",58
"NYA201609130",34,"Yankees right fielder Aaron Judge left the game due to an injured side","2016NYA.EVA.regular.comment.csv",59
"NYA201609270",66,"originally scored as E6, changed to single on 10-03-2016","2016NYA.EVA.regular.comment.csv",60
"NYA201609280",28,"replay,5,bradj001,BOS,kellj901,NYC21,,N,M,BOS,A $when Hanley Ramirez was called out at 2B, Red Sox manager John Farrell challenged the ruling; the call was upheld by replay","2016NYA.EVA.regular.comment.csv",61
"NYA201609300",4,"replay,1,trumm001,BAL,culbf901,NYC21,,Y,M,NYA,C $when Mark Trumbo was called safe at 1B, Yankees manager Joe Girardi challenged the ruling; the call was overturned by replay","2016NYA.EVA.regular.comment.csv",62
