"SLN201110040",78,"$CF Skip Schumaker made a diving catch of the sinking line drive but the play was ruled a trap by RF umpire Jerry Meals; Phillies runner Placido Polanco, who was half way between 1B and 2B, ran to 2B when the call was made; Schumaker threw to 1B for what he thought was a double play and then yelled at Meals about the trap call; the umpires huddled and overturned the call to a catch and put Polanco back at 1B","FILENAME_TX","LINE_NUMBER_CT"
"SLN201110050",38,"$as the third pitch to Skip Schumaker reached catcher Carlos Ruiz, a squirrel ran across the HP area from the 1B side towards the 3B side; pitcher Roy Oswalt wanted the pitch nullified because he was distracted by the squirrel; that request was denied by HP umpire Angel Hernandez","2011NLD2.EVE.post.comment.csv",2
"PHI201110070",20,"Cardinals CF Skip Schumaker left the game due right oblique tightness","2011NLD2.EVE.post.comment.csv",3
"PHI201110070",69,"$Ryan Howard ruptured his left Achilles tendon as he left the batter's box; he fell 30 feet from the plate and needed help to leave the field","2011NLD2.EVE.post.comment.csv",4
