"CLE192104220",72,"Lamb ejected for decision at third","FILENAME_TX","LINE_NUMBER_CT"
"CLE192104240",45,"$Joe Sewell spiked during play","1921CLE.EVA.regular.comment.csv",2
"CLE192104240",45,"$Jack Graney in as a courtesy runner","1921CLE.EVA.regular.comment.csv",3
"CLE192104250",65,"rounding the bag?","1921CLE.EVA.regular.comment.csv",4
"CLE192104270",65,"Bush ejected for call at 2nd","1921CLE.EVA.regular.comment.csv",5
"CLE192104280",91,"what a rundown","1921CLE.EVA.regular.comment.csv",6
"CLE192105110",7,"$Throw from Picinich hit Smith in back and rolled into right field, allowing Johnson and Speaker to score","1921CLE.EVA.regular.comment.csv",7
"CLE192105120",56,"Milan hurts his foot chasing this foul as well.","1921CLE.EVA.regular.comment.csv",8
"CLE192105140",52,"From this point game comes from CPD","1921CLE.EVA.regular.comment.csv",9
"CLE192105150",36,"Evening Telegram account ends here, rest from Plain Dealer","1921CLE.EVA.regular.comment.csv",10
"CLE192105160",55,"pbp account ends here, rest deduced","1921CLE.EVA.regular.comment.csv",11
"CLE192105190",97,"last two plays really same play","1921CLE.EVA.regular.comment.csv",12
"CLE192105200",58,"this could be IPHR; not sure from the accnt.","1921CLE.EVA.regular.comment.csv",13
"CLE192105220",42,"ruled out on a fan's interference with Leibold in right.","1921CLE.EVA.regular.comment.csv",14
"CLE192106300",63,"Luke to Joe","1921CLE.EVA.regular.comment.csv",15
"CLE192106300",73,"Luke to Joe...2","1921CLE.EVA.regular.comment.csv",16
"CLE192106300",79,"$Cobb spiked himself","1921CLE.EVA.regular.comment.csv",17
"CLE192107160",8,"$Wamby was hit on the leg and carried to the clubhouse by Speaker and Wood","1921CLE.EVA.regular.comment.csv",18
"CLE192107160",23,"$Earl Smith twisted his ankle rounding 1st.","1921CLE.EVA.regular.comment.csv",19
"CLE192107210",49,"Ruth twisted his ankle","1921CLE.EVA.regular.comment.csv",20
"CLE192107230",60,"pbp account ends here, rest deduced","1921CLE.EVA.regular.comment.csv",21
"CLE192108070",30,"DWS: putout invented","1921CLE.EVA.regular.comment.csv",22
"CLE192108130",40,"$Nunamaker broke his ankle sliding into 2nd.","1921CLE.EVA.regular.comment.csv",23
"CLE192108170",10,"$This line single knocks J. Walker unconscious by hitting  him in the head. ","1921CLE.EVA.regular.comment.csv",24
"CLE192108230",62,"NY Eve Tele ends here; CPD from here on.","1921CLE.EVA.regular.comment.csv",25
"CLE192108240",54,"two men at 3rd","1921CLE.EVA.regular.comment.csv",26
"CLE192109060",56,"Evening Telegram account ends here, rest from Plain Dealer","1921CLE.EVA.regular.comment.csv",27
"CLE192109070",23,"$blown steal attempt.  Cobb attempts to go back, and wamby's throw goes into the dugout.","1921CLE.EVA.regular.comment.csv",28
"CLE192109070",39,"Evening Telegram coverage ends here, rest from Plain Dealer","1921CLE.EVA.regular.comment.csv",29
