"BRO193704200",16,"$Van Mungo, while sliding, kicked the ball Burgess Whitehead had dropped allowing Woodt English to score","FILENAME_TX","LINE_NUMBER_CT"
"BRO193704260",18,"ej,grimb101,M,goetl901,Checked swing Robins Manager Burleigh Grimes ejected by HP umpire Larry Goetz","1937BRO.EVN.regular.comment.csv",2
"BRO193705020",7,"$Gibby Brack missed 2B returning to 1B","1937BRO.EVN.regular.comment.csv",3
"BRO193705070",90,"$Tony Malinosky and Roy Spencer collided and Malinosky dropped the ball; Spencer caught the ball before it hit the ground","1937BRO.EVN.regular.comment.csv",4
"BRO193706020",10,"ej,gonzm101,C,pineb101,Balls and strikes $Leo Durocher attempted a bunt on the second pitch, which was ruled no swing; Van Mungo argued and HP umpire Beans Reardon reversed the call; Cardinals manager Frank Frisch and Coach Mike Gonzalez argued; Frisch and Reardon had to move Gonzalez away from 1B umpire Babe Pinelli; Gonzalez ejected by Pinelli","1937BRO.EVN.regular.comment.csv",5
"BRO193706020",33,"$Joe Stripp claimed Johnny Mize spiked him; HP umpire Beans Reardon had to separate the two","1937BRO.EVN.regular.comment.csv",6
"BRO193706020",69,"ej,grimb101,M,rearb901,Loose tape on bat Robins Manager Burleigh Grimes ejected by HP umpire Beans Reardon for arguing about tape on Johnny Mize's bat","1937BRO.EVN.regular.comment.csv",7
"BRO193706050",25,"$HP Umpire Larry Goetz cleared the bench because of constant bench jockeying","1937BRO.EVN.regular.comment.csv",8
"BRO193706070",63,"$Chick Hafey left with an injured leg","1937BRO.EVN.regular.comment.csv",9
"BRO193706090",13,"$Babe Phelps injured by foul ball","1937BRO.EVN.regular.comment.csv",10
"BRO193706100",7,"10 minute rain delay","1937BRO.EVN.regular.comment.csv",11
"BRO193706100",37,"$Gabby Hartnett struck by foul ball; right index nail tore off","1937BRO.EVN.regular.comment.csv",12
"BRO193706100",66,"$Augie Galan's homer hit the screen then fell to top of wall but stayed up there","1937BRO.EVN.regular.comment.csv",13
"BRO193707100",55,"$Freddie Fitzsimmons left due to heat exhaustion","1937BRO.EVN.regular.comment.csv",14
"BRO193707112",26,"ej,phelb101,P,mageg901,Balls and strikes $Catcher Phelps ejected by HP umpire Magerkurth for arguing ball 4 call to McCarthy","1937BRO.EVN.regular.comment.csv",15
