"CIN196704130",76,"Debut game for Candy Harris","FILENAME_TX","LINE_NUMBER_CT"
"CIN196704150",1,"Debut game for Gary Nolan","1967CIN.EVN.regular.comment.csv",2
"CIN196704162",1,"Debut game for Cesar Gutierrez","1967CIN.EVN.regular.comment.csv",3
"CIN196704290",50,"$Tommie Reynolds hit on hand","1967CIN.EVN.regular.comment.csv",4
"CIN196705170",2,"30 minute rain delay at 8:10pm","1967CIN.EVN.regular.comment.csv",5
"CIN196705291",56,"ej,brese101,P,kiblj901,Call at 2B Eddie Bressoud ejected by 2B umpire John Kibler","1967CIN.EVN.regular.comment.csv",6
"CIN196705300",44,"54 minute rain delay","1967CIN.EVN.regular.comment.csv",7
"CIN196706020",51,"55 minute by rain delay","1967CIN.EVN.regular.comment.csv",8
"CIN196706030",52,"Debut game for Glen Clark","1967CIN.EVN.regular.comment.csv",9
"CIN196706111",35,"$John Bateman injured his leg and did not advance","1967CIN.EVN.regular.comment.csv",10
"CIN196706260",65,"ej,brisd801,M,sudoe901,Call at 2B Reds Manager Dave Bristol ejected by 2B umpire Ed Sudol","1967CIN.EVN.regular.comment.csv",11
"CIN196707180",26,"$Floyd Robinson twisted his foot swinging","1967CIN.EVN.regular.comment.csv",12
"CIN196707280",0,"$Jim Maloney 91 pitches; Fergie Jenkins 129 pitches","1967CIN.EVN.regular.comment.csv",13
"CIN196707290",0,"$Milt Pappas 111 pitches; Ray Culp 125 pitches","1967CIN.EVN.regular.comment.csv",14
"CIN196707301",0,"$Bob Shaw 20 pitches","1967CIN.EVN.regular.comment.csv",15
"CIN196707302",0,"$Joe Niekro 65 pitches","1967CIN.EVN.regular.comment.csv",16
"CIN196708280",18,"Debut game for Johnny Bench","1967CIN.EVN.regular.comment.csv",17
"CIN196708290",5,"ej,brisd801,M,kiblj901,Balls and strikes $Red manager Bristol ejected by HP umpire Kibler for arguing ball 4 to Callison","1967CIN.EVN.regular.comment.csv",18
"CIN196708300",20,"49 minute rain delay","1967CIN.EVN.regular.comment.csv",19
"CIN196709170",42,"Nelson Briles left with stiff shoulder; had been struck by ball hit by Deron Johnson in the 2nd inning","1967CIN.EVN.regular.comment.csv",20
"CIN196709260",0,"Protest=V Protest=H","1967CIN.EVN.regular.comment.csv",21
"CIN196709260",55,"ej,hitcb101,M,dezef901,Balls and strikes (Reversed) ej,brisd801,M,dezef901,Balls and strikes (Reversed) ej,helmt101,P,dezef901,Balls and strikes (Reversed) $HP umpire Frank Dezelan called a foul tip on Ron Reed then reversed himself and called the pitch a ball; Braves Manager Billy Hitchcock, Reds Manager Dave Bristol and Tommy Helms ejected by Dezelan; both managers played the game under protest","1967CIN.EVN.regular.comment.csv",22
"CIN196709282",32,"$Sammy Ellis rounded 2B too far","1967CIN.EVN.regular.comment.csv",23
"CIN196709290",0,"$Fergie Jenkins 124 pitches; Gary Nolan 130 pitches","1967CIN.EVN.regular.comment.csv",24
"CIN196709290",23,"Johnny Bench left with split thumb from foul ball","1967CIN.EVN.regular.comment.csv",25
"CIN196709290",53,"Adolfo Phillips left with injured right shoulder","1967CIN.EVN.regular.comment.csv",26
"CIN196709300",0,"$Milt Pappas 35 pitches; Ken Holtzman 90 pitches","1967CIN.EVN.regular.comment.csv",27
"CIN196710010",0,"$Rick James 55 pitches; John Tsitouris 86 pitches","1967CIN.EVN.regular.comment.csv",28
