"LAN197804160",55,"$previous two plays actually one continuous play","FILENAME_TX","LINE_NUMBER_CT"
"LAN197804180",0,"$Rick Monday was in starting lineup, but did not take field; he does get a offensive game played","1978LAN.EVN.regular.comment.csv",2
"LAN197804180",70,"$Debut game for Mike Grace","1978LAN.EVN.regular.comment.csv",3
"LAN197806150",64,"ej,torrj101,M,rungp901,Interference non-call Mets Manager Joe Torre ejected by 2B umpire Paul Runge complaining that Dusty Baker slid far out of the baseline trying to break up the double play","1978LAN.EVN.regular.comment.csv",4
"LAN197806200",46,"$Debut game for Bob Welch","1978LAN.EVN.regular.comment.csv",5
"LAN197807030",52,"ej,lasot101,M,monte901,Balls and strikes $Dodgers manager Lasorda ejectes by HP umpire Montague for arguing balls and strikes while making pitching change","1978LAN.EVN.regular.comment.csv",6
"LAN197807040",1,"$Gene Garber in starting lineup as CF batting second because Braves manager Bobby Cox wanted to force himself not to pitch Garber today","1978LAN.EVN.regular.comment.csv",7
"LAN197807050",4,"$Jeff Burroughs left after fouling pitch off his left knee","1978LAN.EVN.regular.comment.csv",8
"LAN197807230",1,"$Dusty Baker and Bill Russell collide on Garry Templeton's fly","1978LAN.EVN.regular.comment.csv",9
"LAN197808090",3,"$Debut game for Jim Beswick","1978LAN.EVN.regular.comment.csv",10
"LAN197808100",69,"ej,altoj101,M,dalej901,Call at 3B ej,evand001,P,dalej901,Call at 3B Darrell Evans and Giants Manager Joe Altobelli ejected by 3B umpire Jerry Dale when Evans contested Dale's ruling that he missed the tag on Rick Monday","1978LAN.EVN.regular.comment.csv",11
"LAN197808250",0,"$substitute umpires worked due to a one-day strike by the staff umpires; Debut for umpires Dale Williams, Boyd Mauer, Charlie Lupo and Jim Scott","1978LAN.EVN.regular.comment.csv",12
"LAN197809010",40,"ej,torrj101,M,grege901,Call at 1B $Mets manager Torre ejected by 1B umpire Gregg for arguing that Mpntanez was safe at 1st","1978LAN.EVN.regular.comment.csv",13
"LAN197809040",46,"$Debut game for Myron White","1978LAN.EVN.regular.comment.csv",14
"LAN197809060",58,"$Debut game for Ed Plank","1978LAN.EVN.regular.comment.csv",15
"LAN197809150",1,"ej,cox-b103,M,,Unknown reason $Braves manager ejected by unknown umpire for unknown reason sometime in 1st inning","1978LAN.EVN.regular.comment.csv",16
"LAN197809220",53,"$Debut game for Pedro Guerrero","1978LAN.EVN.regular.comment.csv",17
"LAN197809220",70,"$Debut game for Brad Gulden","1978LAN.EVN.regular.comment.csv",18
"LAN197809220",73,"$Debut game for Tony Castillo","1978LAN.EVN.regular.comment.csv",19
"LAN197809220",77,"$Debut game for Dave Stewart","1978LAN.EVN.regular.comment.csv",20
