"WAS201404040",39,"replay,5,desmi001,WAS,joycj901,WAS11,,Y,M,ATL,S $the ball hit the LF wall under the padding and stuck there; Justin Upton threw his hands up indeicating the ball was out of play; 3B umpire Marvin Hudson made no call and Ian Desmond ran the circuit; Braves manager Fredi Gonzalez challenged the ruling, which was overturned to out of play","FILENAME_TX","LINE_NUMBER_CT"
"WAS201404060",8,"replay,1,desmi001,WAS,joycj901,WAS11,,N,M,WAS,C $Nationals manager Matt Williams challenged the out call at 1B, which was upheld by replay","2014WAS.EVN.regular.comment.csv",2
"WAS201404080",34,"$Henderson Alvzrez called for interference","2014WAS.EVN.regular.comment.csv",3
"WAS201404090",16,"replay,2,dietd001,MIA,kellj901,WAS11,O,Y,U,,H $Derek Dietrich's ball was ruled in play and he stopped at 3B; crew chief Jeff Kellogg requested a replay and the call was overturned to a home run","2014WAS.EVN.regular.comment.csv",4
"WAS201404090",39,"replay,4,harpb003,WAS,kellj901,WAS11,F,N,U,,H $the ball was ruled a homer but crew chief Jeff Kellogg requested a replay to validate that the ball was fair; the call was confirmed","2014WAS.EVN.regular.comment.csv",5
"WAS201404090",75,"replay,8,joneg002,MIA,kellj901,WAS11,,N,U,,A $Marlins manager Mike Redmond asked about the call at HP; crew chief Jeff Kellogg asked for a review, which confirmed the play","2014WAS.EVN.regular.comment.csv",6
"WAS201404170",66,"originally scored E9, changed next day to double","2014WAS.EVN.regular.comment.csv",7
"WAS201404180",53,"$the pitch bounced and caromed off Yadier Molina to his right; Molina's throw to HP flew by pitcher Michael Wacha and went into the 3B dugout","2014WAS.EVN.regular.comment.csv",8
"WAS201404200",80,"$the Cardinals used a five-man infield for Denard Span; on the right side of the infield (from right to left): 1B Matt Adams, 2B Daniel Descalso and 3B Matt Carpenter; on the left side of the infield (from right to left): SS Jhonny Peralta and LF Allen Craig; RF John Jay played left-center and CF Peter Bourjos played right-center","2014WAS.EVN.regular.comment.csv",9
"WAS201404210",16,"replay,3,shucj001,ANA,mealj901,WAS11,,Y,M,ANA,C $when J.B. Shuck was called out at 1B, Angels manager Mike Scioscia challenged the ruling; it was overturned by replay","2014WAS.EVN.regular.comment.csv",10
"WAS201404220",39,"$career homer #500 for Albert Pujols","2014WAS.EVN.regular.comment.csv",11
"WAS201404220",62,"replay,8,freed001,ANA,mealj901,WAS11,,N,M,WAS,A $when Erick Aybar was called safe at 3B, Nationals manager Matt Williams challenged the ruling; it was upheld by replay","2014WAS.EVN.regular.comment.csv",12
"WAS201404240",11,"Padres third baseman Chase Headley left the game due to an injured leg","2014WAS.EVN.regular.comment.csv",13
"WAS201404240",75,"replay,9,gyorj001,ARI,joycj901,WAS11,,Y,M,WAS,A $when Yonder Alonso was called safe at 2B, Nationals manager Matt Williams challenged the ruling; it was overturned by replay","2014WAS.EVN.regular.comment.csv",14
"WAS201404240",93,"$Padres left fielder Seth Smith left the game due to an injured groin and was replaced by pitcher Andrew Cashner","2014WAS.EVN.regular.comment.csv",15
"WAS201404260",6,"originally scored as single, changed to E4 on 05-14-2014; two runs now unearned","2014WAS.EVN.regular.comment.csv",16
"WAS201404260",36,"replay,5,wertj001,WAS,joycj901,WAS11,,Y,M,WAS,A $when Jayson Werth was called out at 2B, Nationals manager Matt Williams challenged the ruling; it was overturned by replay","2014WAS.EVN.regular.comment.csv",17
"WAS201405050",30,"3:17 rain delay","2014WAS.EVN.regular.comment.csv",18
"WAS201405050",71,"$the game ended at 1:17am","2014WAS.EVN.regular.comment.csv",19
"WAS201405070",0,"$Start delayed by 1:40 for rain","2014WAS.EVN.regular.comment.csv",20
"WAS201405160",18,"replay,2,espid001,WAS,demud901,WAS11,,Y,M,NYN,C $when Danny Espinosa was called safe on Ruben Tejada's high throw, Mets manager Terry Collins challenged the ruling; it was overturned by replay","2014WAS.EVN.regular.comment.csv",21
"WAS201405180",4,"$Daniel Murphy rounded 3B too far","2014WAS.EVN.regular.comment.csv",22
"WAS201405180",26,"originally scored as E6, changed to single on 05-27-2014, which makes both runs in inning earned","2014WAS.EVN.regular.comment.csv",23
"WAS201405190",60,"originally scored as wild pitch, changed to passed ball on 05-27-2014, making run unearned","2014WAS.EVN.regular.comment.csv",24
"WAS201405190",91,"replay,11,cozaz001,CIN,westj901,WAS11,,N,M,WAS,C $when Chris Heisey was called safe at 1B, Nationals manager Matt Williams challenged the ruling; it was upheld by replay","2014WAS.EVN.regular.comment.csv",25
