"CLE201804070",12,"$Lonnie Chisenhall left with injured leg"FILENAME_TX","LINE_NUMBER_CT"

"CLE201804070",36,"$Indians challenged call that Davis was out at first; call was upheld - ground out"2018CLE.EVA.regular.comment.csv",2

"CLE201804080",63,"$Royals challenged call that Ramirez wsa safe at 1st on throwing error; call was overturned - ground out"2018CLE.EVA.regular.comment.csv",3

"CLE201804090",50,"$Buck Farmer left game with injured hip"2018CLE.EVA.regular.comment.csv",4

"CLE201804090",51,"$Twins challenged call that Zimmer was safe at 2nd on double steal; call was overturned - out at 2nd for caught stealing"2018CLE.EVA.regular.comment.csv",5

"CLE201804100",11,"$Tigers challenged call that Goodrum was out advancing to 2nd on fly ball; call was overturned - safe at 2nd"2018CLE.EVA.regular.comment.csv",6

"CLE201804110",6,"$Jordan Zimmermann left game after being struck in jaw with line drive; X-rays showed no break"2018CLE.EVA.regular.comment.csv",7

"CLE201804240",18,"$Cubs challenged call that Naquin was safe at first on pickoff attempt; call was overturned - out on pickoff"2018CLE.EVA.regular.comment.csv",8

"CLE201804240",27,"$Indians challenged call that Davis was out at home; call was upheld - out at home"2018CLE.EVA.regular.comment.csv",9

"CLE201804250",54,"$Andrew Miller left with hamstring tightness in left leg"2018CLE.EVA.regular.comment.csv",10

"CLE201804260",39,"$umpire review to check Cano's hit; call was overturned - double, not home run"2018CLE.EVA.regular.comment.csv",11

"CLE201804290",63,"$Indians challenged call that Ramirez had flied out; call was overturned - double"2018CLE.EVA.regular.comment.csv",12

"CLE201804300",31,"$Rangers challenged call that Gomes did not commit slide interference; call was upheld - no interference"2018CLE.EVA.regular.comment.csv",13

"CLE201804300",40,"$Rangers challenged call that Zimmer was safe at home; call was upheld - safe at home"2018CLE.EVA.regular.comment.csv",14

"CLE201805010",6,"$Rangers challenged call that Lindor was safe at home; call was overturned - out on fielder's choice"2018CLE.EVA.regular.comment.csv",15

