"DET192304270",2,"$Drive caromed off Holloway's pitching hand to Haney. Holloway was unable to resume pitching.","FILENAME_TX","LINE_NUMBER_CT"
"DET192304280",69,"$Veach was knocked out when he ran into an iron post guarding temporary seats.  He recovered and resumed.","1923DET.EVA.regular.comment.csv",2
"DET192305020",16,"$Myatt threw to 2B getting Heilmann in a rundown. Heilmann was called out for running out of line. Lutzke threw wild to 1B trying to get Pratt who then was cut down trying for 3B.","1923DET.EVA.regular.comment.csv",3
"DET192305020",66,"$Heilmann was ejected by Ump Ormsby for protesting the decision at the plate.","1923DET.EVA.regular.comment.csv",4
"DET192305030",0,"$Heilmann out serving a 1-game suspension, the aftermath of his argument with Ump Ormsby on 5/2/23.","1923DET.EVA.regular.comment.csv",5
"DET192305140",88,"$Cobb spiked Scott on the play at 2B. Jones wrenched his ankle as he slid home and had to be carried off field.","1923DET.EVA.regular.comment.csv",6
"DET192305240",36,"$Hit in left arm","1923DET.EVA.regular.comment.csv",7
"DET192305250",65,"$Falk was hit on the back of head by a fast pitch and fell to the ground, but revived and took 1B.  He apparently suffered no ill-effects from the beaning as he displayed considerable pep around 1B.","1923DET.EVA.regular.comment.csv",8
"DET192305250",78,"$Burke batted out of turn here","1923DET.EVA.regular.comment.csv",9
"DET192305301",74,"$Fothergill fell to the ground and was out several minutes, but he remained in the game.","1923DET.EVA.regular.comment.csv",10
"DET192305301",76,"$fly high in the air that Ellerbe lost in the sun and fell safely behind 3B, scoring Cobb. Heilmann was out on the infield hit while Fothergill was caught between 2B and 3B, Gerber to McManus.'","1923DET.EVA.regular.comment.csv",11
"DET192305310",47,"$Throw to 3B bounded past Haney, who covered the bag.  As Severeid slid into 3B he bumped Haney.  Haney then grabbed Severeid by the leg.  They argued and Ump Evans stepped in to prevent blows, then waved Severeid home.","1923DET.EVA.regular.comment.csv",12
"DET192306030",34,"$Rain began to fall as Jamieson came to the plate","1923DET.EVA.regular.comment.csv",13
"DET192306030",49,"$Time was called for 10 minutes because of a heavy shower","1923DET.EVA.regular.comment.csv",14
"DET192306030",83,"$Gardner was safe as Pillette juggled Blue's throw to 1B. When Gardner walked off the bag, Pillette threw to Haney who tagged him out. It's not clear if Gardner thought he was out and left the bag, or if he fell victim to the hidden ball trick","1923DET.EVA.regular.comment.csv",15
"DET192306260",67,"$Woodall ejected by Ump Holmes after he kicked too vigorously when Holmes called the 2nd ball on Sheely.","1923DET.EVA.regular.comment.csv",16
"DET192307180",53,"pbp account ends here, rest deduced","1923DET.EVA.regular.comment.csv",17
"DET192307190",49,"$Hit on the wrist","1923DET.EVA.regular.comment.csv",18
"DET192307190",53,"pbp account ends here, rest deduced","1923DET.EVA.regular.comment.csv",19
"DET192307210",57,"pbp account ends here, rest deduced","1923DET.EVA.regular.comment.csv",20
"DET192307220",57,"$throw split Bassler's finger and he had to leave the game","1923DET.EVA.regular.comment.csv",21
"DET192307220",67,"pbp account ends here, rest deduced","1923DET.EVA.regular.comment.csv",22
"DET192308140",70,"$Hale was hit in the side and assisted off the field","1923DET.EVA.regular.comment.csv",23
"DET192308220",20,"$Hit in the back","1923DET.EVA.regular.comment.csv",24
"DET192308220",51,"pbp account ends here, rest deduced","1923DET.EVA.regular.comment.csv",25
"DET192308240",83,"pbp account ends here, rest deduced","1923DET.EVA.regular.comment.csv",26
"DET192308290",52,"$A heavy rain started falling but play was continued, the storm lasting about 5 minutes.","1923DET.EVA.regular.comment.csv",27
"DET192309032",68,"pbp account ends here, rest deduced","1923DET.EVA.regular.comment.csv",28
"DET192309032",88,"$hit in gthe back","1923DET.EVA.regular.comment.csv",29
"DET192309032",89,"$Hooper fell after making catch, so had no throw","1923DET.EVA.regular.comment.csv",30
"DET192309280",57,"$No sacrifice awarded on this bunt double play","1923DET.EVA.regular.comment.csv",31
"DET192309290",41,"$Umpire Holmes stopped the game and ruled Cobb was using an illegal bat. The bat was thrown out of the game. Cobb sub- mitted the bat to Umpire Owens, picked up 3 other bats and came to the plate, but asked that he be given a chance to go to his locker for another.","1923DET.EVA.regular.comment.csv",32
"DET192309300",45,"$Hit on the wrist","1923DET.EVA.regular.comment.csv",33
