"KCA200904110",44,"Royals third baseman Alex Gordon left the game due to an injured leg","FILENAME_TX","LINE_NUMBER_CT"
"KCA200904280",36,"Royals pitcher Gil Meche left the game due to an injured back","2009KCA.EVA.regular.comment.csv",2
"KCA200905140",10,"Debut game for Nolan Reimold","2009KCA.EVA.regular.comment.csv",3
"KCA200905170",73,"Orioles shortstop Cesar Izturis left the game due to an injured groin","2009KCA.EVA.regular.comment.csv",4
"KCA200905250",70,"ej,hillt801,M,emmep901,Called third strike on Bloomquist Royals Manager Trey Hillman ejected by HP umpire Paul Emmel","2009KCA.EVA.regular.comment.csv",5
"KCA200905260",27,"Royals center fielder Coco Crisp left the game due to an injured neck/shoulder","2009KCA.EVA.regular.comment.csv",6
"KCA200905290",7,"$originally scored as single, changed on June 5 to E5","2009KCA.EVA.regular.comment.csv",7
"KCA200905290",14,"$orginally scored as E1, changed on June 5 to single","2009KCA.EVA.regular.comment.csv",8
"KCA200905300",19,"Royals catcher John Buck left the game due to an injured back","2009KCA.EVA.regular.comment.csv",9
"KCA200906130",37,"replay,4,butlb003,KCA,laynj901,KAN06,F,N,I,,H $on the fourth pitch to Billy Butler, he hit a fly ball down the LF line that was called foul; KC manager Trey Hillman asked about the call; acting crew chief Jerry Layne watched the replay and, after 3 minutes, upheld the call","2009KCA.EVA.regular.comment.csv",10
"KCA200906190",48,"$Cardinals third baseman Khalil Greene left the game due to an injured foot/ankle; DH Chris Duncan entered the game at 1B, so the Cardinals lost the use of the DH; pitcher Brad Thompson enters the lineup in the third spot, replacing Albert Pujols","2009KCA.EVA.regular.comment.csv",11
"KCA200906210",32,"Cardinals third baseman Khalil Greene left the game due to an injured knee","2009KCA.EVA.regular.comment.csv",12
"KCA200906290",46,"ej,gardr001,M,vanol901,Arguing that pitch struck Jason Kubel Twins Manager Ron Gardenhire argued that the batted ball hit Jason Kubel's foot; Gardenhire ejected by HP umpire Larry Vanover","2009KCA.EVA.regular.comment.csv",13
"KCA200907010",54,"$Jose Guillen called for interference","2009KCA.EVA.regular.comment.csv",14
"KCA200907180",59,"Rays pitcher Scott Kazmir left the game due to an injured arm","2009KCA.EVA.regular.comment.csv",15
"KCA200907220",14,"Royals right fielder Jose Guillen left the game due to an injured leg","2009KCA.EVA.regular.comment.csv",16
"KCA200907250",37,"ej,hillt801,M,crawj901,Call at 1B Royals Manager Trey Hillman ejected by 1B umpire Jerry Crawford","2009KCA.EVA.regular.comment.csv",17
"KCA200907260",20,"Rangers pitcher Kevin Millwood left the game due to an injured leg","2009KCA.EVA.regular.comment.csv",18
"KCA200909040",60,"$John Bale left game with hamstring injury after throwing one pitch","2009KCA.EVA.regular.comment.csv",19
"KCA200909060",36,"Debut game for Dusty Hughes","2009KCA.EVA.regular.comment.csv",20
"KCA200909060",75,"Debut game for Victor Marte","2009KCA.EVA.regular.comment.csv",21
"KCA200909070",69,"$Mark Teahen was called for interference when 1B umpire Todd Tichenor ruled that Teahen ran into the ball while running down the line","2009KCA.EVA.regular.comment.csv",22
"KCA200909100",82,"replay,8,calla001,KCA,bellw901,KAN06,I,N,I,,H $Alberto Callaspo's fly was touched by a fan just over the padded wall and called a home run; Tigers manager Jim Leyland asked about the call so acting crew chief Wally Bell watched the replay and upheld the call","2009KCA.EVA.regular.comment.csv",23
"KCA200909210",80,"$the 2-2 pitch to Pedroia slipped out of Wright's hand and landed in the seats between home plate and the third base dugout","2009KCA.EVA.regular.comment.csv",24
"KCA200909240",17,"ej,greiz001,P,gibsg901,Balls and strikes (from bench) $the 1-2 pitch to Jacoby Ellsbury was called a ball; after the next pitch, which was fouled off by Ellsbury, Royals pitcher Zack Greinke, who was not in the game, yelled from the bench about the strike zone; he was ejected by HP umpire Greg Gibson","2009KCA.EVA.regular.comment.csv",25
"KCA200909240",26,"ej,hillt801,M,gibsg901,Arguing warning to both teams $the first two pitches to Mike Lowell were curve balls that nearly hit the batter; both sides were warned by HP umpire Greg Gibson; Royals manager Trey Hillman stormed onto the field and was quickly ejected by Gibson; Hillman had to be restrained by crew chief Tim McClelland; Hillman yelled at McClelland for several minutes before leaving","2009KCA.EVA.regular.comment.csv",26
"KCA200909260",73,"ej,gardr001,M,coope901,Warning issued to both teams $the first pitch to Billy Butler was inside; HP umpire Eric Cooper warned both teams and Twins manager Ron Gardenhire ran out to argue; Gardenhire was ejected by Cooper","2009KCA.EVA.regular.comment.csv",27
