"WS2196904100",52,"$Joe Pepitone called for interference","FILENAME_TX","LINE_NUMBER_CT"
"WS2196904220",62,"Debut game for Ron Woods","1969WS2.EVA.regular.comment.csv",2
"WS2196904300",0,"$Jim Hannan: 92 pitches; Lee Stange: 80 pitches","1969WS2.EVA.regular.comment.csv",3
"WS2196905010",12,"ej,willd104,M,denkd901,Call at HP Red Sox Manager Dick Williams ejected by HP umpire Don Denkinger","1969WS2.EVA.regular.comment.csv",4
"WS2196905020",61,"Debut game for Jack Heidemann","1969WS2.EVA.regular.comment.csv",5
"WS2196905200",38,"ej,schuj103,M,drumc901,Fair/foul call Pilots Manager Joe Schultz ejected by 1B umpire Cal Drummond","1969WS2.EVA.regular.comment.csv",6
"WS2196905240",79,"$8 homers in 31 at-bats for Mike Epstein","1969WS2.EVA.regular.comment.csv",7
"WS2196905260",30,"or a K?","1969WS2.EVA.regular.comment.csv",8
"WS2196905310",70,"$Dan Osinski entered with 2-0 count, threw two intentional balls and left","1969WS2.EVA.regular.comment.csv",9
"WS2196906270",0,"$Barry Moore: 85 pitches; Bill Landis: 67 pitches","1969WS2.EVA.regular.comment.csv",10
"WS2196906280",22,"$Del Unser rounded 3B too far","1969WS2.EVA.regular.comment.csv",11
"WS2196906280",66,"$upper deck","1969WS2.EVA.regular.comment.csv",12
"WS2196906291",0,"$Lee Stange: 114 pitches","1969WS2.EVA.regular.comment.csv",13
"WS2196906291",47,"$upper deck","1969WS2.EVA.regular.comment.csv",14
"WS2196906291",48,"no pitches for the top of the seventh","1969WS2.EVA.regular.comment.csv",15
"WS2196906292",64,"no pitches for first two hitters of this inning","1969WS2.EVA.regular.comment.csv",16
"WS2196906292",77,"no pitches for top of ninth","1969WS2.EVA.regular.comment.csv",17
"WS2196907110",43,"$Lee Maye pulled groin muscle","1969WS2.EVA.regular.comment.csv",18
"WS2196907150",0,"$President Richard Nixon, daughter Julie and David Eisenhower attended the game with astronaut Frank Borman","1969WS2.EVA.regular.comment.csv",19
"WS2196908200",13,"Debut game for Dick Smith","1969WS2.EVA.regular.comment.csv",20
"WS2196909011",60,"Debut game for Lloyd Allen","1969WS2.EVA.regular.comment.csv",21
"WS2196909022",22,"20 minute rain delay","1969WS2.EVA.regular.comment.csv",22
"WS2196909022",44,"Game called on account of rain","1969WS2.EVA.regular.comment.csv",23
"WS2196909100",62,"Debut game for Ron Blomberg","1969WS2.EVA.regular.comment.csv",24
"WS2196909110",0,"$Gene Michael severly injured ankle in batting practice","1969WS2.EVA.regular.comment.csv",25
"WS2196909110",34,"$busted suicide squeeze","1969WS2.EVA.regular.comment.csv",26
"WS2196909130",74,"Debut game for Norm McRae","1969WS2.EVA.regular.comment.csv",27
