"NY1193504230",70,"$Mark Koenig spiked at 1B but continued after treatment","FILENAME_TX","LINE_NUMBER_CT"
"NY1193504260",15,"$Gus Mancuso popped up the bunt and it landed uncaught; Mancuso never left the batter's box","1935NY1.EVN.regular.comment.csv",2
"NY1193504260",83,"DWS: pbp ends here, rest deduced","1935NY1.EVN.regular.comment.csv",3
"NY1193504260",117,"$Game called for darkness","1935NY1.EVN.regular.comment.csv",4
"NY1193505050",0,"$rain all through the game, starting light and getting heavier","1935NY1.EVN.regular.comment.csv",5
"NY1193505050",52,"$Gilly Campbell and Mark Koenig collided on the base path so no one covered 1B on the play","1935NY1.EVN.regular.comment.csv",6
"NY1193505050",68,"$Tony Freitas collided with Lew Riggs","1935NY1.EVN.regular.comment.csv",7
"NY1193505050",80,"$Game called after a 10-minute rain delay","1935NY1.EVN.regular.comment.csv",8
"NY1193505112",57,"DWS: pbp ends here, rest deduced","1935NY1.EVN.regular.comment.csv",9
"NY1193505152",7,"$Dick Bartell was trapped between 3B and HP but escaped","1935NY1.EVN.regular.comment.csv",10
"NY1193505152",66,"DWS: pbp ends here, rest deduced","1935NY1.EVN.regular.comment.csv",11
"NY1193505302",65,"these 2 PAs may be reversed","1935NY1.EVN.regular.comment.csv",12
"NY1193506070",15,"$Billy Urbanski suffered injured back from swing and was helped off the field","1935NY1.EVN.regular.comment.csv",13
"NY1193506131",31,"$the throw to 1B hit Gus Mancuso on head","1935NY1.EVN.regular.comment.csv",14
"NY1193506150",60,"$Jack Rothrock out on appeal for leaving 2B too soon","1935NY1.EVN.regular.comment.csv",15
"NY1193506160",17,"$Throw to first was high, runner on 3rd held and runner from second caught between bases; runner on third then broke for home and was out in rundown","1935NY1.EVN.regular.comment.csv",16
"NY1193506160",75,"$Tap in front of plate; Medwick did not run because he thought it was foul","1935NY1.EVN.regular.comment.csv",17
"NY1193506170",28,"ej,clart101,C,riglc901,Fair/foul call Giants Coach Tommy Clarke ejected by 1B umpire Cy Rigler","1935NY1.EVN.regular.comment.csv",18
"NY1193506221",92,"ej,moorj103,P,quige901,Balls and strikes Jo-Jo Moore ejected by HP umpire Ernie Quigley","1935NY1.EVN.regular.comment.csv",19
"NY1193506222",47,"DWS: pbp ends here, rest deduced","1935NY1.EVN.regular.comment.csv",20
"NY1193506251",75,"$Phil Cavarretta fumbled the cutoff","1935NY1.EVN.regular.comment.csv",21
"NY1193506252",6,"$Stan Hack's left middle finger knocked out of joint","1935NY1.EVN.regular.comment.csv",22
"NY1193507030",65,"$Ethan Allen purposely dropped ball to get DP","1935NY1.EVN.regular.comment.csv",23
"NY1193507302",13,"$Vergez injured leg on stolen base and game was delayed","1935NY1.EVN.regular.comment.csv",24
"NY1193508030",22,"$Les Mallon spiked on hand","1935NY1.EVN.regular.comment.csv",25
"NY1193508030",26,"$Les Mallon left with injured hand","1935NY1.EVN.regular.comment.csv",26
"NY1193508141",70,"$Durocher had words with Mancuso as he batted The benches emptied and the players milled around before returning to their dugouts without incident.  Durocher Than struck out on 3 pitches","1935NY1.EVN.regular.comment.csv",27
"NY1193508180",26,"$the ball caromed off Alex Kampouris into short RF; he retrieved the ball but held it while Travis Jackson scored","1935NY1.EVN.regular.comment.csv",28
"NY1193508210",65,"$pitcher Gene Schott did not cover 1B","1935NY1.EVN.regular.comment.csv",29
"NY1193508210",66,"$lost in the sun","1935NY1.EVN.regular.comment.csv",30
"NY1193508220",82,"RECON home 11th NY1193508220","1935NY1.EVN.regular.comment.csv",31
"NY1193508230",42,"$Gabby Hartnett suffered injured ankle on play at HP","1935NY1.EVN.regular.comment.csv",32
"NY1193508240",29,"$Chuck Klein struck on wrist","1935NY1.EVN.regular.comment.csv",33
"NY1193508240",33,"$Chuck Klein left with injured wrist","1935NY1.EVN.regular.comment.csv",34
"NY1193508282",59,"DWS: pbp ends here, rest deduced","1935NY1.EVN.regular.comment.csv",35
"NY1193509231",31,"$Whitney dropped popup intentionally","1935NY1.EVN.regular.comment.csv",36
"NY1193509232",27,"$Dick Bartell injured sliding into 1B","1935NY1.EVN.regular.comment.csv",37
"NY1193509232",85,"DWS: pbp ends here, rest deduced","1935NY1.EVN.regular.comment.csv",38
