"SLN200504100",45,"Phillies center fielder Kenny Lofton left the game due to an injured leg","FILENAME_TX","LINE_NUMBER_CT"
"SLN200504120",13,"$Aaron Harang called for interference","2005SLN.EVN.regular.comment.csv",2
"SLN200504130",17,"$fan interference","2005SLN.EVN.regular.comment.csv",3
"SLN200504200",21,"fan interference","2005SLN.EVN.regular.comment.csv",4
"SLN200504200",24,"Cubs shortstop Nomar Garciaparra left the game due to an injured groin","2005SLN.EVN.regular.comment.csv",5
"SLN200504230",26,"originally ruled E5, changed on 4-25","2005SLN.EVN.regular.comment.csv",6
"SLN200504260",8,"Brewers first baseman Lyle Overbay left the game due to an injured head","2005SLN.EVN.regular.comment.csv",7
"SLN200504260",81,"Cardinals pitcher Jason Isringhausen left the game due to an injured groin","2005SLN.EVN.regular.comment.csv",8
"SLN200505050",67,"ej,kingr001,P,carlm901,Balls and strikes $Pitcher King ejected by HP umpire Carlson for arguing balls and strikes after being removed","2005SLN.EVN.regular.comment.csv",9
"SLN200505060",54,"Padres first baseman Phil Nevin left the game due to an injured back","2005SLN.EVN.regular.comment.csv",10
"SLN200505080",14,"Padres pitcher Tim Redding left the game due to an injured neck/shoulder","2005SLN.EVN.regular.comment.csv",11
"SLN200505080",65,"Debut game for Brad Thompson","2005SLN.EVN.regular.comment.csv",12
"SLN200505080",74,"Cardinals catcher Yadier Molina left the game due to an injured foot/ankle","2005SLN.EVN.regular.comment.csv",13
"SLN200505090",5,"$Mark Grudzielanek called for interference","2005SLN.EVN.regular.comment.csv",14
"SLN200505100",16,"Debut game for Oscar Robles","2005SLN.EVN.regular.comment.csv",15
"SLN200505100",47,"Cardinals third baseman Scott Rolen left the game due to an injured neck/shoulder","2005SLN.EVN.regular.comment.csv",16
"SLN200505120",32,"ej,weavj002,P,joycj901,Arguing from bench Dodgers pitcher Jeff Weaver ejected by HP umpire Jim Joyce from bench","2005SLN.EVN.regular.comment.csv",17
"SLN200505240",50,"ej,pujoa001,P,buckc901,Called third strike Cardinals first baseman Albert Pujols ejected by HP umpire CB Bucknor","2005SLN.EVN.regular.comment.csv",18
"SLN200505270",56,"Debut game for Tyrell Godwin","2005SLN.EVN.regular.comment.csv",19
"SLN200505280",31,"Cardinals RF Larry Walker left the game due to an injured foot/ankle","2005SLN.EVN.regular.comment.csv",20
"SLN200506070",60,"ej,mantm001,P,younl901,Intentional HBP ej,frant001,M,younl901,Intentional HBP Mantei & Mgr Francona ejected by 3B umpire Larry Young","2005SLN.EVN.regular.comment.csv",21
"SLN200506070",63,"ej,reyea001,P,coope901,Intentional HBP ej,larut101,M,coope901,Intentional HBP Reyes & Mgr LaRussa ejected by HP umpire Eric Cooper","2005SLN.EVN.regular.comment.csv",22
"SLN200506080",47,"Debut game for Skip Schumaker","2005SLN.EVN.regular.comment.csv",23
"SLN200506120",29,"umpchange,4,umphome,millb901 umpchange,4,ump2b,(None) $HP umpire Derryl Cousins left with an undisclosed illness He was hospitalized overnight","2005SLN.EVN.regular.comment.csv",24
"SLN200506120",65,"Yankees left fielder Hideki Matsui left the game due to an injured knee","2005SLN.EVN.regular.comment.csv",25
