"CLE199004270",27,"$Gary Gaetti left with strained back muscles","FILENAME_TX","LINE_NUMBER_CT"
"CLE199004300",8,"Debut game for Jeff Shaw","1990CLE.EVA.regular.comment.csv",2
"CLE199004300",30,"ej,websm001,P,phild901,Charging mound after HBP Mitch Webster ejected by HP umpire Dave Phillips for charging the mound after being hit","1990CLE.EVA.regular.comment.csv",3
"CLE199005050",52,"$Harold Baines awarded 3B when Sandy Alomar Jr used his mask to trap ball","1990CLE.EVA.regular.comment.csv",4
"CLE199005150",0,"30 minute rain delay at start","1990CLE.EVA.regular.comment.csv",5
"CLE199005200",74,"Light rain begins to fall","1990CLE.EVA.regular.comment.csv",6
"CLE199005210",21,"$Felix Fermin hurt on force play","1990CLE.EVA.regular.comment.csv",7
"CLE199005220",24,"Debut game for Steve Springer","1990CLE.EVA.regular.comment.csv",8
"CLE199006030",4,"ej,penat001,P,craft901,Fighting with Chris James ej,jamec001,P,craft901,Fighting with Tony Pena $Roger Clemens hit Stan Jefferson on the right arm with his second pitch of the game in retaliation for a Doug Jones brushback pitch to Tony Pena in the ninth inning the previous day; both benches cleared and a brawl ensued; Pena and Chris James ejected by HP umpire Terry Craft","1990CLE.EVA.regular.comment.csv",9
"CLE199006050",34,"$Tony Phillips threw wildly, then Chet Lemon threw ball into stands","1990CLE.EVA.regular.comment.csv",10
"CLE199006070",67,"Debut game for Jeff Manto","1990CLE.EVA.regular.comment.csv",11
"CLE199006160",47,"$ball stuck in wall on the fly","1990CLE.EVA.regular.comment.csv",12
"CLE199006160",84,"$winning run scored as Greg Brock argued safe call at 1B","1990CLE.EVA.regular.comment.csv",13
"CLE199006190",20,"$Stan Jefferson overran the ball which had sailed past 2B","1990CLE.EVA.regular.comment.csv",14
"CLE199006210",33,"$off top of wall","1990CLE.EVA.regular.comment.csv",15
"CLE199006210",86,"ej,robif103,M,cousd901,Balls and strikes $Orioles manager Robinson ejected by HP umpire Cousins for arguing balls and strikes after a mound visit","1990CLE.EVA.regular.comment.csv",16
"CLE199006290",1,"Debut game for Charles Nagy","1990CLE.EVA.regular.comment.csv",17
"CLE199007020",20,"ej,jamed001,P,kaisk901,Call at 1B Dion James ejected by 2B umpire Ken Kaiser from bench","1990CLE.EVA.regular.comment.csv",18
"CLE199007020",61,"$Jesse Orosco fell down fielding Dave Winfield bunt","1990CLE.EVA.regular.comment.csv",19
"CLE199007020",63,"$Mitch Webster caught fly, collided with Candy Maldonado","1990CLE.EVA.regular.comment.csv",20
"CLE199007050",59,"ej,mcnaj801,M,fordd901,Balls and strikes $Indians manager McNamara ejected by HP umpire Ford for arguing balls and strikes after Leonard singled","1990CLE.EVA.regular.comment.csv",21
"CLE199007061",15,"$Jose Canseco lost Felix Fermin's single in the sun","1990CLE.EVA.regular.comment.csv",22
"CLE199007271",4,"Debut game for Alex Cole","1990CLE.EVA.regular.comment.csv",23
"CLE199007272",45,"Debut game for Colby Ward","1990CLE.EVA.regular.comment.csv",24
"CLE199008070",54,"$Gary Green called for interference when catcher Sandy Alomar Jr's throw hit Green who was not in runner's lane","1990CLE.EVA.regular.comment.csv",25
"CLE199008100",54,"$Clay Parker tagged out two runners in rundowns: no throws","1990CLE.EVA.regular.comment.csv",26
"CLE199008130",14,"Debut game for Efrain Valdez","1990CLE.EVA.regular.comment.csv",27
"CLE199008290",2,"DWS: scoring unsure, was a force","1990CLE.EVA.regular.comment.csv",28
"CLE199008290",4,"DWS: scoring unsure, was fielder's choice","1990CLE.EVA.regular.comment.csv",29
"CLE199008290",21,"DWS: scoring unsure, was a force","1990CLE.EVA.regular.comment.csv",30
"CLE199008290",45,"DWS: invendted play","1990CLE.EVA.regular.comment.csv",31
"CLE199008310",18,"ej,willk001,P,fordd901,Bench jockeying Ken Williams ejected by HP umpire Dale Ford from the bench","1990CLE.EVA.regular.comment.csv",32
"CLE199009102",18,"Debut game for Turner Ward","1990CLE.EVA.regular.comment.csv",33
"CLE199009110",48,"$Tom Candiotti removed for injury after warming up for the 7th","1990CLE.EVA.regular.comment.csv",34
"CLE199009190",40,"$Robin Yount collided with Jeff Manto, left with injured knee","1990CLE.EVA.regular.comment.csv",35
"CLE199009270",9,"$Turner Ward hurt on the bases","1990CLE.EVA.regular.comment.csv",36
"CLE199010030",24,"DWS: invetned play","1990CLE.EVA.regular.comment.csv",37
