"NYA195504200",27,"ej,richp101,M,flahr901,Balls and strikes $Orioles manager Richards ejected by HP umpire Flaherty for arguing balls and strikes as he left field from mound conference","FILENAME_TX","LINE_NUMBER_CT"
"NYA195504240",0,"76 minute rain delay before start of game","1955NYA.EVA.regular.comment.csv",2
"NYA195505180",71,"$Hank Bauer called for interference","1955NYA.EVA.regular.comment.csv",3
"NYA195505200",10,"ej,richp101,M,umonf901,Balls and strikes Orioles Manager Paul Richards ejected by HP umpire Frank Umont","1955NYA.EVA.regular.comment.csv",4
"NYA195505200",34,"$Jim Pyburn hit on right forearm","1955NYA.EVA.regular.comment.csv",5
"NYA195506150",0,"$23 minute delay before start of game due to air raid alert test","1955NYA.EVA.regular.comment.csv",6
"NYA195506150",1,"$Billy Hunter injured his ankle","1955NYA.EVA.regular.comment.csv",7
"NYA195506150",49,"$Harvey Kuenn left with twisted knee","1955NYA.EVA.regular.comment.csv",8
"NYA195506160",66,"ej,wilsr102,P,stevj901,Balls and strikes Red Wilson ejected by HP umpire Johnny Stevens for arguing on third ball to Mickey Mantle","1955NYA.EVA.regular.comment.csv",9
"NYA195506170",63,"$George Kell swung at intentional ball four and missed; the Yankees then pitched to him","1955NYA.EVA.regular.comment.csv",10
"NYA195506180",24,"ej,myatg102,C,grieb901,In play/homer call White Sox Coach George Myatt ejected by HP umpire Bill Grieve claiming that Sherm Lollar's ball went over the fence","1955NYA.EVA.regular.comment.csv",11
"NYA195506192",29,"$lights turned on","1955NYA.EVA.regular.comment.csv",12
"NYA195506210",6,"446 feet","1955NYA.EVA.regular.comment.csv",13
"NYA195506210",24,"47 minute rain delay","1955NYA.EVA.regular.comment.csv",14
"NYA195506220",40,"34 minute rain delay","1955NYA.EVA.regular.comment.csv",15
"NYA195506240",19,"37 minute rain delay","1955NYA.EVA.regular.comment.csv",16
"NYA195507312",30,"missing play in NYA195507312","1955NYA.EVA.regular.comment.csv",17
"NYA195507312",82,"missing play in NYA195507312","1955NYA.EVA.regular.comment.csv",18
"NYA195508020",61,"ej,hardm101,C,grieb901,Balls and strikes $Indians coach Harder ejected by HP umpire Grieve $for arguing ball 4 call to Collins","1955NYA.EVA.regular.comment.csv",19
"NYA195508020",65,"ej,lopea102,M,grieb901,Arguing coach's ejection $Indians manager Lopez ejected by HP umpire Grieve for continuing to argue about Harder's ejection","1955NYA.EVA.regular.comment.csv",20
"NYA195508090",0,"$7 minute delay before start of game for late-arriving crowd","1955NYA.EVA.regular.comment.csv",21
"NYA195508100",87,"$lights turned on","1955NYA.EVA.regular.comment.csv",22
"NYA195508110",60,"$lights turned on","1955NYA.EVA.regular.comment.csv",23
"NYA195508210",13,"445 feet","1955NYA.EVA.regular.comment.csv",24
"NYA195508210",34,"$Don Leppert spiked Don Larsen on right ankle; delay while bandaged","1955NYA.EVA.regular.comment.csv",25
"NYA195508210",66,"ej,phild102,P,soarh901,Call at 2B Dave Philley ejected by 2B umpire Hank Soar","1955NYA.EVA.regular.comment.csv",26
"NYA195509040",2,"ej,stenc101,M,flahr901,Balls and strikes Yankees Manager Casey Stengel ejected by HP umpire Red Flaherty","1955NYA.EVA.regular.comment.csv",27
"NYA195509070",30,"missing fielders for NYA195509070","1955NYA.EVA.regular.comment.csv",28
"NYA195509070",31,"$Vic Power juggled grounder than threw wide of 2B; Mickey Mantle rounded 2B too far","1955NYA.EVA.regular.comment.csv",29
"NYA195509100",26,"$Gil McDougald out on appeal for leaving 3B too soon","1955NYA.EVA.regular.comment.csv",30
"NYA195509112",0,"$lights on at start of game","1955NYA.EVA.regular.comment.csv",31
"NYA195509160",11,"$Mickey Mantle left with injured right thigh","1955NYA.EVA.regular.comment.csv",32
"NYA195509170",36,"$Phil Rizzuto struck on helmet and carried from field","1955NYA.EVA.regular.comment.csv",33
