"FLO199604010",11,"Debut game for Jason Kendall"FILENAME_TX","LINE_NUMBER_CT"

"FLO199604020",48,"Debut game for Francisco Cordova"1996FLO.EVN.regular.comment.csv",2

"FLO199604040",64,"ej,marta001,P,davib902,Balls and strikes Al Martin ejected by HP umpire Bob Davidson for arguing called strike two"1996FLO.EVN.regular.comment.csv",3

"FLO199604050",1,"Debut game for Osvaldo Fernandez"1996FLO.EVN.regular.comment.csv",4

"FLO199605100",65,"Debut game for Edgar Renteria"1996FLO.EVN.regular.comment.csv",5

"FLO199605120",67,"Debut game for Ralph Milliard"1996FLO.EVN.regular.comment.csv",6

"FLO199605130",45,"ej,shefg001,P,davib902,Fighting with Andy Benes ej,benea001,P,davib902,Fighting with Gary Sheffield Gary Sheffield and Andy Benes ejected by HP umpire Bob Davidson for fighting after Benes hit Sheffield with a pitch"1996FLO.EVN.regular.comment.csv",7

"FLO199605260",64,"game called for rain"1996FLO.EVN.regular.comment.csv",8

"FLO199605280",60,"IPHR"1996FLO.EVN.regular.comment.csv",9

"FLO199606230",81,"ej,whitd001,P,herna901,Balls and strikes Devon White ejected by HP umpire Angel Hernandez"1996FLO.EVN.regular.comment.csv",10

"FLO199606300",63,"ej,cox-b103,M,bellw901,Balls and strikes $Braves manager Cox ejected by HP umpire Bell while Sheffield at bat"1996FLO.EVN.regular.comment.csv",11

"FLO199607160",39,"ej,orsuj001,P,hohnb901,Bench jockeying ej,pendt001,P,rapue901,Balls and strikes Terry Pendleton ejected by HP umpire Ed Rapuano; Joe Orsulak ejected by 3B umpire Bill Hohn for bench jockeying"1996FLO.EVN.regular.comment.csv",12

"FLO199607260",15,"Debut game for Billy McMillon"1996FLO.EVN.regular.comment.csv",13

"FLO199607290",11,"ej,shefg001,P,demud901,Balls and strikes (threw equipment) Gary Sheffield ejected by HP umpire Dana DeMuth"1996FLO.EVN.regular.comment.csv",14

"FLO199608080",5,"Debut game for Luis Castillo"1996FLO.EVN.regular.comment.csv",15

"FLO199608090",57,"Debut game for Felix Heredia"1996FLO.EVN.regular.comment.csv",16

"FLO199608130",62,"Debut game for John Burke"1996FLO.EVN.regular.comment.csv",17

"FLO199609060",29,"ej,shefg001,P,poncl901,Called third strike Gary Sheffield ejected by HP umpire Larry Poncino"1996FLO.EVN.regular.comment.csv",18

"FLO199609240",50,"Debut game for Josh Booty"1996FLO.EVN.regular.comment.csv",19

"FLO199609240",55,"Debut game for Livan Hernandez"1996FLO.EVN.regular.comment.csv",20

