"MIN200610030",8,"$Frank Thomas went 13 years between post-season homers","FILENAME_TX","LINE_NUMBER_CT"
"MIN200610030",62,"$Frank Thomas became the oldest player with a multi-homer post-season game","2006ALD1.EVE.post.comment.csv",2
"MIN200610040",57,"$Torii Hunter misplayed the line drive, diving to make an attempt at a catch; the ball rolled to the wall and Hunter stayed on the ground watching it roll","2006ALD1.EVE.post.comment.csv",3
"MIN200610040",71,"$Mark Ellis suffered a broken his finger when a pitch hit bat; ruled a foul ball","2006ALD1.EVE.post.comment.csv",4
