"OAK201704050",44,"Angels pitcher Garrett Richards left the game due to an injured arm"FILENAME_TX","LINE_NUMBER_CT"

"OAK201704060",47,"replay,6,simma001,ANA,barrt901,OAK01,,N,M,ANA,C $when Ben Revere was called out at 2B, Angels manager Mike Scioscia challenged the ruling; the call was upheld by replay"2017OAK.EVA.regular.comment.csv",2

"OAK201704140",50,"replay,6,aokin001,HOU,emmep901,OAK01,,N,M,OAK,C $when Nori Aoki was called safe at 1B, Athletics manager Bob Melvin challenged the ruling; the call was upheld by replay"2017OAK.EVA.regular.comment.csv",3

"OAK201704170",68,"replay,9,andre001,TEX,everm901,OAK01,,N,M,TEX,C $when Elvis Andrus was called out at 1B, Rangers manager Jeff Banister challenged the ruling; the call was upheld by replay"2017OAK.EVA.regular.comment.csv",4

"OAK201704190",20,"replay,3,chirr001,TEX,everm901,OAK01,,Y,M,TEX,C $when Robinson Chirinos was called out at 1B, Rangers manager Jeff Banister challenged the ruling; the call was overturned by replay"2017OAK.EVA.regular.comment.csv",5

"OAK201704190",22,"ej,banij001,M,welkb901,Fair/foul call $Khris Davis hit a grounder over 3B that was ruled fair by 3B Umpire Mike Everett; however it was not his call to make and HP Umpire Bill Welke ruled the ball foul; the Rangers thought they had put out Davis on the play; Rangers Manager Jeff Banister ejected by Welke"2017OAK.EVA.regular.comment.csv",6

"OAK201704200",25,"$Mitch Haniger's throw struck the 2B bag and caromed away, allowing another run to score"2017OAK.EVA.regular.comment.csv",7

"OAK201704210",41,"replay,5,alony001,OAK,hallt901,OAK01,,N,M,OAK,A $when Jaff Decker was called out at 1B, Athletics manager Bob Melvin challenged the ruling; the call was upheld by replay"2017OAK.EVA.regular.comment.csv",8

"OAK201704220",70,"replay,8,plout001,OAK,hallt901,OAK01,,Y,M,OAK,C replay,8,plout001,OAK,hallt901,OAK01,,N,M,SEA,E replay,8,plout001,OAK,hallt901,OAK01,,N,U,,Q $when Trevor Plouffe was called out at 1B, Athletics manager Bob Melvin challenged the ruling; the call was overturned by replay; then Mariners manager Scott Servais challenged Khris Davis' slide at 2B; that call was upheld by replay as a legal slide; there was also a rules check by crew chief Tom Hallion"2017OAK.EVA.regular.comment.csv",9

"OAK201704230",3,"$originally not a sacrifice which was added on 04-28-2017"2017OAK.EVA.regular.comment.csv",10

"OAK201705050",12,"replay,2,davik003,OAK,cedeg901,OAK01,,N,M,OAK,A $when Khris Davis was called out at 2B, Athletics manager Bob Melvin challenged the ruling; the call was upheld by replay"2017OAK.EVA.regular.comment.csv",11

"OAK201705070",10,"replay,2,mccaj001,DET,cedeg901,OAK01,,Y,M,OAK,A $when Justin Upton was called safe at 1B, Athletics manager Bob Melvin challenged the ruling; the call was overturned by replay"2017OAK.EVA.regular.comment.csv",12

"OAK201705080",13,"Angels shortstop Andrelton Simmons left the game due to an injured hand"2017OAK.EVA.regular.comment.csv",13

"OAK201705180",25,"replay,3,davir003,OAK,wintm901,OAK01,,Y,M,BOS,A $when Rajai Davis was called safe at 3B, Red Sox manager John Farrell challenged the ruling; the call was overturned by replay"2017OAK.EVA.regular.comment.csv",14

"OAK201705190",53,"replay,7,pedrd001,BOS,wintm901,OAK01,,N,M,BOS,A $when Mookie Betts was called out at 2B, Red Sox manager John Farrell challenged the ruling; the call was upheld by replay"2017OAK.EVA.regular.comment.csv",15

"OAK201705200",9,"replay,2,younc004,BOS,wintm901,OAK01,,N,M,OAK,A $when Chris Young was called safe at 2B, Athletics manager Bob Melvin challenged the ruling; the call was upheld by replay"2017OAK.EVA.regular.comment.csv",16

"OAK201705200",17,"ej,melvb001,M,wintm901,Dead ball call Athletics Manager Bob Melvin ejected by 3B umpire Mike Winters; two runs had scored on the play but the ball was under a chair in the RF bullpen and it was declared a dead ball; Chad Pinder was sent back to 3B and Josh Phegley, who had reached 3B, was sent to 2B"2017OAK.EVA.regular.comment.csv",17

"OAK201705200",74,"replay,9,benia002,BOS,wintm901,OAK01,F,N,U,,H $Andrew Benintendi's fly down the RF line was ruled foul; crew chief Mike Winters requested a review, which upheld the call by replay"2017OAK.EVA.regular.comment.csv",18

"OAK201705230",21,"Athletics pitcher Jesse Hahn left the game due to an injured arm"2017OAK.EVA.regular.comment.csv",19

"OAK201705230",61,"Athletics first baseman Yonder Alonso left the game due to an injured wrist"2017OAK.EVA.regular.comment.csv",20

"OAK201706030",33,"$originally scored as E5, changed to single on 06-06-2017"2017OAK.EVA.regular.comment.csv",21

"OAK201706030",63,"replay,7,zimmr001,WAS,emmep901,OAK01,,Y,M,OAK,A $when Daniel Murphy was called safe at 3B, Athletics manager Bob Melvin challenged the ruling; the call was overturned by replay"2017OAK.EVA.regular.comment.csv",22

"OAK201706040",55,"replay,8,harpb003,WAS,emmep901,OAK01,,N,M,OAK,A $when Trey Turner was called safe at 2B, Athletics manager Bob Melvin challenged the ruling; the call was upheld by replay"2017OAK.EVA.regular.comment.csv",23

