"LAN200004140",44,"DV need one in this inning"FILENAME_TX","LINE_NUMBER_CT"

"LAN200004300",50,"DV need one this inning"2000LAN.EVN.regular.comment.csv",2

"LAN200005230",56,"FLE5 somewhere in this inning"2000LAN.EVN.regular.comment.csv",3

"LAN200005260",53,"ej,johnd105,M,gibsg901,Arguing ball off top of wall was HR Dodgers manager Davey Johnson ejected by 1B umpire Greg Gibson"2000LAN.EVN.regular.comment.csv",4

"LAN200005290",0,"Debut for umpire Lance Barksdale"2000LAN.EVN.regular.comment.csv",5

"LAN200005290",4,"DV: need FLE5 somewhere in this inning; only 2 pitches for it"2000LAN.EVN.regular.comment.csv",6

"LAN200005290",68,"Debut game for Jim Mann"2000LAN.EVN.regular.comment.csv",7

"LAN200006080",61,"ej,aloum001,P,mealj901,Call at 1B Moises Alou ejected by 1B umpire Jerry Meals"2000LAN.EVN.regular.comment.csv",8

"LAN200006160",6,"DWS: that's what two accounts say.  Hmmm"2000LAN.EVN.regular.comment.csv",9

"LAN200006160",77,"Debut game for Adam Melhuse"2000LAN.EVN.regular.comment.csv",10

"LAN200006280",79,"showed as DGR on Sports Center - not touch 2nd?"2000LAN.EVN.regular.comment.csv",11

"LAN200007130",83,"$left fielder Erstad positioned at 2B bag"2000LAN.EVN.regular.comment.csv",12

"LAN200007130",84,"$Erstad back in LF"2000LAN.EVN.regular.comment.csv",13

"LAN200007160",0,"$Mgr Dave Johnson in hospital"2000LAN.EVN.regular.comment.csv",14

"LAN200007170",0,"$Mgr Dave Johnson in hospital"2000LAN.EVN.regular.comment.csv",15

"LAN200007180",0,"$Mgr Dave Johnson in hospital"2000LAN.EVN.regular.comment.csv",16

"LAN200007180",13,"FLE2 somewhere in this inning"2000LAN.EVN.regular.comment.csv",17

"LAN200007190",0,"$Dodgers Manager Davey Johnson in the hospital"2000LAN.EVN.regular.comment.csv",18

"LAN200007190",41,"ej,walkl001,P,higgs901,Called third strike Larry Walker ejected by HP umpire Scott Higgins"2000LAN.EVN.regular.comment.csv",19

"LAN200007200",0,"$Mgr Dave Johnson back after missing four games while in hospital"2000LAN.EVN.regular.comment.csv",20

"LAN200007230",57,"Apparently batter tagged and runner out on very unusual reverse force double play."2000LAN.EVN.regular.comment.csv",21

"LAN200008080",51,"$Dreifort is the first pitcher since Derek Lilliquist in 1990 to have a multi-HR game"2000LAN.EVN.regular.comment.csv",22

"LAN200008180",72,"ej,hundt001,P,everm901,Called third strike Todd Hundley ejected HP umpire Mike Everitt"2000LAN.EVN.regular.comment.csv",23

"LAN200008200",77,"$ball thrown away during rundown"2000LAN.EVN.regular.comment.csv",24

"LAN200008210",67,"This appears to be GDP 3 unassisted"2000LAN.EVN.regular.comment.csv",25

"LAN200009040",65,"Debut game for Luke Prokopec"2000LAN.EVN.regular.comment.csv",26

"LAN200009220",0,"rain delays of 1:53 in the fourth and 39 minutes in the seventh"2000LAN.EVN.regular.comment.csv",27

"LAN200009280",73,"ej,shefg001,P,guccc901,Called third strike Gary Sheffield ejected by HP umpire Chris Guccione"2000LAN.EVN.regular.comment.csv",28

