"BOS200904070",5,"$reigning MVP Pedroia's first at bat of the season","FILENAME_TX","LINE_NUMBER_CT"
"BOS200904190",10,"Orioles center fielder Adam Jones left the game due to a sore right hamstring","2009BOS.EVA.regular.comment.csv",2
"BOS200904200",30,"Red Sox right fielder Rocco Baldelli left the game due to an injured leg","2009BOS.EVA.regular.comment.csv",3
"BOS200904200",82,"Debut game for Hunter Jones","2009BOS.EVA.regular.comment.csv",4
"BOS200904221",69,"$game called because of continuing steady rain","2009BOS.EVA.regular.comment.csv",5
"BOS200904240",90,"$the ball went over the LF wall at the CF end, which is the deepest part of the park for a home run","2009BOS.EVA.regular.comment.csv",6
"BOS200904240",107,"$over the LF wall and the Monster Seats into the street","2009BOS.EVA.regular.comment.csv",7
"BOS200904250",21,"$off the RF pole","2009BOS.EVA.regular.comment.csv",8
"BOS200904260",24,"$Ellsbury took off for 3B as soon as Berroa threw the ball to 1B","2009BOS.EVA.regular.comment.csv",9
"BOS200904260",47,"$as Pettitte started his windup, Ellsbury took off for the plate and almost beat the pitch there","2009BOS.EVA.regular.comment.csv",10
"BOS200904260",48,"$into the seats just past the RF pole","2009BOS.EVA.regular.comment.csv",11
"BOS200904260",62,"Debut game for Mark Melancon","2009BOS.EVA.regular.comment.csv",12
"BOS200904260",78,"$the tenth consecutive victory for the Red Sox, who swept a nine-game homestand","2009BOS.EVA.regular.comment.csv",13
"BOS200905070",60,"$the Red Sox score 12 runs before making an out to set a new AL record","2009BOS.EVA.regular.comment.csv",14
"BOS200905190",58,"$the popup fell between Dustin Pedroia and Jeff Bailey","2009BOS.EVA.regular.comment.csv",15
"BOS200905200",42,"$over the LF Monster Seats onto Lansdowne Street","2009BOS.EVA.regular.comment.csv",16
"BOS200905200",43,"$into the Monster Seats","2009BOS.EVA.regular.comment.csv",17
"BOS200905200",81,"$the 12th putout of the game by CF Jacoby Ellsbury to tie the major league record","2009BOS.EVA.regular.comment.csv",18
"BOS200905210",10,"$the 11th consecutive homer by Jason Bay with at least one runner on base to set a new Red Sox team record","2009BOS.EVA.regular.comment.csv",19
"BOS200905220",31,"Mets right fielder Ryan Church left the game due to an injured leg","2009BOS.EVA.regular.comment.csv",20
"BOS200905230",67,"replay,9,santo001,NYN,westj901,BOS07,O,Y,I,,H $Omir Santos hit the ball to the top of the LF wall and it was called in play by 3B umpire Paul Nauert; the umpires conferred and then watched the replay; crew chief Joe West reversed the ruling and called it a home run","2009BOS.EVA.regular.comment.csv",21
"BOS200905240",6,"36-minute rain delay","2009BOS.EVA.regular.comment.csv",22
"BOS200905240",47,"replay,5,youkk001,BOS,westj901,BOS07,F,N,I,,H $Kevin Youkilis hit a ball down the LF line that was called foul by 3B umpire and crew chief Joe West; West looked at a replay and upheld the call","2009BOS.EVA.regular.comment.csv",23
"BOS200906060",11,"replay,2,lowem001,BOS,kellj901,BOS07,O,Y,I,,H $Mike Lowell's fly ball hit just over the wall off the facing of the first row of Monster Seats; the ball was ruled in play by 3B umpire (and acting crew chief) Jeff Kellogg; after a discussion with 3B coach DeMarlo Hale and manager Terry Francona, Kellogg watched the replay and reversed the call to a home run","2009BOS.EVA.regular.comment.csv",24
"BOS200906070",35,"$Ellsbury made a diving catch on the warning track and scraped his arm when he landed","2009BOS.EVA.regular.comment.csv",25
"BOS200906070",48,"Red Sox center fielder Jacoby Ellsbury left the game due to an injured neck/shoulder","2009BOS.EVA.regular.comment.csv",26
