"OAK199704020",59,"Debut game for Steve Kline"FILENAME_TX","LINE_NUMBER_CT"

"OAK199705120",40,"ej,fiscb801,C,shulj901,Call at 1B Athletics coach Brad Fischer ejected by 1B umpire John Shulock"1997OAK.EVA.regular.comment.csv",2

"OAK199705180",20,"Debut game for Scott Sheldon"1997OAK.EVA.regular.comment.csv",3

"OAK199706280",1,"Debut game for Brad Rigby"1997OAK.EVA.regular.comment.csv",4

"OAK199706300",33,"ej,clucb801,C,culbf901,Check swing Athletics coach Bob Cluck ejected by 3B umpire Fieldin Culbreth sometime in fourth inning"1997OAK.EVA.regular.comment.csv",5

"OAK199707010",81,"ej,clucb801,C,mcclt901,Balls and strikes $Athletics coach Cluck ejected by HP umpire McClelland for arguing balls and strikes after Gwynn's singe"1997OAK.EVA.regular.comment.csv",6

"OAK199707160",78,"Debut game for Tim Kubinski"1997OAK.EVA.regular.comment.csv",7

"OAK199707160",79,"Debut game for Ryan Long"1997OAK.EVA.regular.comment.csv",8

"OAK199707160",83,"Debut game for Gary Haught"1997OAK.EVA.regular.comment.csv",9

"OAK199707200",66,"ej,howea001,M,cobld901,Called third strike $Athletics manager Howe ejected by HP umpire Coble for arguing called third strike on Bellhorn"1997OAK.EVA.regular.comment.csv",10

"OAK199708230",8,"ej,cansj001,P,millb901,Balls and strikes Jose Canseco ejected by HP umpire Bill Miller"1997OAK.EVA.regular.comment.csv",11

"OAK199708270",14,"Debut game for Miguel Tejada"1997OAK.EVA.regular.comment.csv",12

"OAK199709030",6,"Debut game for Ben Grieve"1997OAK.EVA.regular.comment.csv",13

"OAK199709190",75,"Debut game for Giomar Guevara"1997OAK.EVA.regular.comment.csv",14

