"LAN198810150",7,"$both teams warned by HP umpire Doug Harvey","FILENAME_TX","LINE_NUMBER_CT"
"LAN198810150",36,"$Dave Parker called for interference for running in fair territory","1988WS.EVE.post.comment.csv",2
"OAK198810190",31,"$Mike Scioscia injured on stolen base attempt","1988WS.EVE.post.comment.csv",3
