"DET199004120",32,"$Wes Gardner hurt elbow","FILENAME_TX","LINE_NUMBER_CT"
"DET199004120",33,"Debut game for Dana Kiecker","1990DET.EVA.regular.comment.csv",2
"DET199004120",36,"$Ken Williams hit in head","1990DET.EVA.regular.comment.csv",3
"DET199004120",56,"$Mike Heath awarded 3B on fan interference","1990DET.EVA.regular.comment.csv",4
"DET199004130",9,"umpchange,1,umphome,coont901 umpchange,1,ump2b,(None) $HP umpire Derryl Cousins left with back sprain; Terry Cooney to HP","1990DET.EVA.regular.comment.csv",5
"DET199004140",61,"Debut game for Steve Wapnick","1990DET.EVA.regular.comment.csv",6
"DET199004170",12,"$Roberto Kelly 5th in ML history with two CS in same inning","1990DET.EVA.regular.comment.csv",7
"DET199004290",41,"$Robin Yount hit apparent double, out for missing 1B","1990DET.EVA.regular.comment.csv",8
"DET199004290",53,"$squeeze, throw home late, got Diaz at first","1990DET.EVA.regular.comment.csv",9
"DET199004290",55,"ej,robij002,P,,Fighting ej,bayld001,C,,Fighting $Brewers coach Baylor and Tigers Robinson, not in game, ejected by HP umpire Denkinger for fighting while Sheffield at bat","1990DET.EVA.regular.comment.csv",10
"DET199005110",24,"ej,andes101,M,roe-r901,Called third strike ej,trama001,P,roe-r901,Called third strike Alan Trammell and Tigers manager Sparky anderson ejected by HP umpire Rocky Roe","1990DET.EVA.regular.comment.csv",11
"DET199005210",40,"$into the 3rd deck","1990DET.EVA.regular.comment.csv",12
"DET199005230",68,"Debut game for John Hoover","1990DET.EVA.regular.comment.csv",13
"DET199005250",69,"$Ed Romero slips on wet turf fielding Ron Karkovice's bunt","1990DET.EVA.regular.comment.csv",14
"DET199006100",72,"ej,willk001,P,shulj901,Balls and strikes Ken Williams ejected by HP umpire John Shulock","1990DET.EVA.regular.comment.csv",15
"DET199006160",11,"ej,nunee001,P,brinj901,Refusing to return to bullpen $Tigers Nunez, not in game, ejected by 3B umpire Brinkman for refusing to leave the field; Nunez and other relievers were seated on benchs intended for the grounds crew because the bullpen dugout was so hot; after the ejection, the other pitchers returned to the bullpen","1990DET.EVA.regular.comment.csv",16
"DET199006180",58,"$Scott Lusader injured chasing foul ball","1990DET.EVA.regular.comment.csv",17
"DET199006190",83,"ej,mcgwm001,P,garcr901,Called third strike ej,welcb001,P,garcr901,Bench jockeying Mark McGwire ejected by HP umpire Richie Garcia; pitcher Bob Welch ejected by Garcia for bench jockeying; Welch was not in the game","1990DET.EVA.regular.comment.csv",18
"DET199007050",94,"DWS: invented play","1990DET.EVA.regular.comment.csv",19
"DET199007070",14,"Debut game for Travis Fryman","1990DET.EVA.regular.comment.csv",20
"DET199007080",36,"$Kevin Seitzer called for interference","1990DET.EVA.regular.comment.csv",21
"DET199007130",0,"55 minute rain delay before start","1990DET.EVA.regular.comment.csv",22
"DET199007140",59,"$Nolan Ryan left with tightness in back","1990DET.EVA.regular.comment.csv",23
"DET199007160",38,"$Steve Lyons performed his famous 'drop the pants' routine","1990DET.EVA.regular.comment.csv",24
"DET199007180",0,"16-minute rain delay at start","1990DET.EVA.regular.comment.csv",25
"DET199007180",49,"Upper deck homer for Fielder","1990DET.EVA.regular.comment.csv",26
"DET199007180",62,"ej,torbj101,M,cobld901,Balls and strikes $White Sox manager Torborg ejected by HP umpire Coble for arguing balls and strikes after 1st two pitches to Ventura","1990DET.EVA.regular.comment.csv",27
"DET199007230",70,"ej,lemoc001,P,hirsj901,Called third strike $Lemon ejected by HP umpire Hirschbeck for arguing called third strike","1990DET.EVA.regular.comment.csv",28
"DET199007230",79,"ej,heatm001,P,hirsj901,Balls and strikes (Bumped umpire) Mike Heath ejected by HP umpire John Hirschbeck; they were arguing about the strike zone when Heath bumped Hirschbeck","1990DET.EVA.regular.comment.csv",29
"DET199008210",24,"$Pete Coachman out rounding 3B too far","1990DET.EVA.regular.comment.csv",30
"DET199008220",1,"DWS: we have a sheet with pitches for this game","1990DET.EVA.regular.comment.csv",31
"DET199008250",41,"$over LF roof; third ever, first for Tiger","1990DET.EVA.regular.comment.csv",32
"DET199009040",16,"Debut game for Tom Quinlan","1990DET.EVA.regular.comment.csv",33
"DET199009060",0,"22 minute rain delay at start of game","1990DET.EVA.regular.comment.csv",34
"DET199009060",48,"Game called for rain","1990DET.EVA.regular.comment.csv",35
"DET199009130",54,"$Mike Heath left because he was hit by Mel Hall's foul ball","1990DET.EVA.regular.comment.csv",36
"DET199009270",1,"$Milt Cuyler caught spike running; removed on a stretcher","1990DET.EVA.regular.comment.csv",37
