"PHA194604170",45,"pbp account ends here, rest deduced","FILENAME_TX","LINE_NUMBER_CT"
"PHA194604170",53,"Squeeze play and nobody covers first","1946PHA.EVA.regular.comment.csv",2
"PHA194604170",56,"Squeeze bunt with two strikes, throw to plate is late","1946PHA.EVA.regular.comment.csv",3
"PHA194604180",45,"pbp account ends here, rest deduced","1946PHA.EVA.regular.comment.csv",4
"PHA194604260",0,"Weather: cold, dark, and drizzled during parts of the game","1946PHA.EVA.regular.comment.csv",5
"PHA194604260",13,"$Major League debut for Eddie McGah","1946PHA.EVA.regular.comment.csv",6
"PHA194604260",60,"Benson: spectacular catch robbed Ferriss","1946PHA.EVA.regular.comment.csv",7
"PHA194604300",60,"pbp account ends here, rest deduced","1946PHA.EVA.regular.comment.csv",8
"PHA194605020",65,"pbp account ends here, rest deduced","1946PHA.EVA.regular.comment.csv",9
"PHA194605060",35,"$SS Lake charged with error for missing second base on what looked like a DP","1946PHA.EVA.regular.comment.csv",10
"PHA194605070",23,"Hall makes running catch of short fly with back to the plate","1946PHA.EVA.regular.comment.csv",11
"PHA194605070",60,"Guess at Tebbetts error, could have been elsewhere","1946PHA.EVA.regular.comment.csv",12
"PHA194605100",98,"$Lewis broke for second, saw he would be an easy out, retreated as Robertson broke from third and was tagged by Kell.","1946PHA.EVA.regular.comment.csv",13
"PHA194605100",134,"$Hit in ribs","1946PHA.EVA.regular.comment.csv",14
"PHA194605100",136,"$game called for 1:00 AM AL curfew","1946PHA.EVA.regular.comment.csv",15
"PHA194605121",3,"umpchange,1,umphome,mcgob901 umpchange,1,ump1b,rue-j901 umpchange,1,ump3b,(None) $a foul ball by Mickey Vernon dislocated HP umpire Art Passarella's jaw; he was taken to the field house and missed the rest of the double header; it was the first and last day of Passarella's experiment with a new type of mask","1946PHA.EVA.regular.comment.csv",16
"PHA194606050",36,"Trucks left game due to indigestion (AP in NY Times)","1946PHA.EVA.regular.comment.csv",17
"PHA194606050",45,"Kell leaves game due to pulled leg muscle (Detroit Times)","1946PHA.EVA.regular.comment.csv",18
"PHA194606080",50,"$Frank Mancuso hurt his arm on the throw to 2B","1946PHA.EVA.regular.comment.csv",19
"PHA194607071",11,"$Joe DiMaggio sprained his left ankle and injured his left knee cartilage sliding into 2B","1946PHA.EVA.regular.comment.csv",20
"PHA194607110",44,"Nobody covered third","1946PHA.EVA.regular.comment.csv",21
"PHA194607110",51,"RF Valo tries for diving catch to preserve no-hitter, plays single into double","1946PHA.EVA.regular.comment.csv",22
"PHA194607120",22,"DWS: no CS on error in 1946","1946PHA.EVA.regular.comment.csv",23
"PHA194607130",6,"Caromed off Knerr's glove to Suder","1946PHA.EVA.regular.comment.csv",24
"PHA194607130",75,"Into lower LF stands","1946PHA.EVA.regular.comment.csv",25
"PHA194607170",20,"$perhaps this was a deflection","1946PHA.EVA.regular.comment.csv",26
"PHA194608140",18,"pbp account ends here, rest deduced","1946PHA.EVA.regular.comment.csv",27
"PHA194608140",30,"$This reaching on error could be either of the next 2 batter","1946PHA.EVA.regular.comment.csv",28
"PHA194608140",54,"$McCosky jarred the ball out of York's glove during tag","1946PHA.EVA.regular.comment.csv",29
"PHA194608220",8,"$McCosky hurt his back chasing the double by Edwards in the top of the first and had to be replaced","1946PHA.EVA.regular.comment.csv",30
"PHA194608252",11,"arbitrary 64 to 54","1946PHA.EVA.regular.comment.csv",31
"PHA194608260",55,"$37 minute rain delay at this point","1946PHA.EVA.regular.comment.csv",32
"PHA194608280",0,"An additional 9,281 Ladies' Day guests also attended","1946PHA.EVA.regular.comment.csv",33
"PHA194608280",31,"Stevens hurt chasing foul","1946PHA.EVA.regular.comment.csv",34
"PHA194608280",40,"Infield hit","1946PHA.EVA.regular.comment.csv",35
"PHA194609050",71,"NY Sun does not have last of ninth. Put outs based on needed plays to get to the defensive data, but may have been by different hitters","1946PHA.EVA.regular.comment.csv",36
"PHA194609251",20,"Derry fumbled","1946PHA.EVA.regular.comment.csv",37
"PHA194609292",56,"$game called for darkness","1946PHA.EVA.regular.comment.csv",38
