"PHI200904050",4,"$into second deck"FILENAME_TX","LINE_NUMBER_CT"

"PHI200904050",11,"Debut game for Jordan Schafer $first major league at bat for Schafer"2009PHI.EVN.regular.comment.csv",2

"PHI200904050",17,"$a fan reached over the wall and touched the ball in play"2009PHI.EVN.regular.comment.csv",3

"PHI200904050",22,"$a fan interfered with the ball as it rolled along the wall in foul territory"2009PHI.EVN.regular.comment.csv",4

"PHI200904190",46,"Cabrera injured bone in hand on foul ball in 6th inning AB"2009PHI.EVN.regular.comment.csv",5

"PHI200904230",23,"Phillies pitcher Cole Hamels left the game due to an injured left shoulder after being struck by a Prince Fielder line drive"2009PHI.EVN.regular.comment.csv",6

"PHI200904280",39,"Phillies pitcher Cole Hamels left the game due to an injured ankle"2009PHI.EVN.regular.comment.csv",7

"PHI200905020",34,"Debut game for Ken Takahashi"2009PHI.EVN.regular.comment.csv",8

"PHI200905120",64,"$as catcher Martin returned the ball to the pitcher, Werth took off for steal of home; Werth stole second, third and home in the same inning"2009PHI.EVN.regular.comment.csv",9

"PHI200905140",40,"$Error on pickoff try after strikeout"2009PHI.EVN.regular.comment.csv",10

"PHI200905260",29,"Marlins shortstop Hanley Ramirez left the game due to an injured groin"2009PHI.EVN.regular.comment.csv",11

"PHI200905260",61,"Debut game for Christopher Leroux"2009PHI.EVN.regular.comment.csv",12

"PHI200905270",44,"Phillies pitcher Brett Myers left the game due to an injured leg"2009PHI.EVN.regular.comment.csv",13

"PHI200906130",14,"Rain delay of 1:35"2009PHI.EVN.regular.comment.csv",14

"PHI200906180",1,"Debut game for Brad Mills"2009PHI.EVN.regular.comment.csv",15

"PHI200906180",21,"$The walk and stolen base are a continuous play as Blanton did not pay attention to Scutaro after the walk"2009PHI.EVN.regular.comment.csv",16

"PHI200906210",59,"ej,manuc101,M,vanol901,Call at 1B Phillies Manager Charlie Manuel ejected by 1B umpire Larry Vanover"2009PHI.EVN.regular.comment.csv",17

"PHI200907030",59,"fan interference"2009PHI.EVN.regular.comment.csv",18

"PHI200907080",37,"Phillies pitcher Rodrigo Lopez left the game due to an injured neck/shoulder"2009PHI.EVN.regular.comment.csv",19

"PHI200907090",64,"Debut game for Robert Manuel"2009PHI.EVN.regular.comment.csv",20

"PHI200907220",57,"ej,manuc101,M,iassd901,Foul tip call Phillies Manager Charlie Manuel ejected by HP umpire Dan Iassogna for arguing that the foul tip strike three actually hit the ground"2009PHI.EVN.regular.comment.csv",21

"PHI200908060",47,"Rockies pitcher Aaron Cook left the game due to an injured foot/ankle"2009PHI.EVN.regular.comment.csv",22

"PHI200908090",56,"ej,victs001,P,rapue901,Balls and strikes (gesturing from CF) $Phillies CF Victorino ejected by HP umpire Rapuano for arguing balls and strikes after 3rd pitch to Helms; Victorino made gesture while standingcin CF"2009PHI.EVN.regular.comment.csv",23

"PHI200908090",78,"Marlins pitcher Kiko Calero left the game due to an injured knee"2009PHI.EVN.regular.comment.csv",24

"PHI200908280",13,"$rain delay at 7:31 for 63 minutes"2009PHI.EVN.regular.comment.csv",25

"PHI200908280",17,"$rain delay at 8:41 for 45 minutes. Total of 1:48 for game"2009PHI.EVN.regular.comment.csv",26

"PHI200908290",35,"Braves first baseman Adam LaRoche left the game due to an injured leg"2009PHI.EVN.regular.comment.csv",27

"PHI200908290",73,"$Game called for rain"2009PHI.EVN.regular.comment.csv",28

"PHI200909132",8,"$Utley hit the ball off the wall, but Rollins had held at 2B so Victorino had to wait to avoid passing him; Rollins was able to score, but Victorino had to stop at 2B, so the hit was only a single"2009PHI.EVN.regular.comment.csv",29

"PHI200909132",17,"Mets left fielder Fernando Tatis left the game due to an injured hand/wrist"2009PHI.EVN.regular.comment.csv",30

"PHI200909160",59,"$On last pitch of inning, Park tore hamstring"2009PHI.EVN.regular.comment.csv",31

"PHI200909170",16,"$Nieves pulled hamstring as he lunged for first base on close play"2009PHI.EVN.regular.comment.csv",32

"PHI200909170",17,"Nationals catcher Wil Nieves left the game due to a pulled hamstring"2009PHI.EVN.regular.comment.csv",33

"PHI200909290",66,"Phillies pitcher Jamie Moyer left the game due to an injured groin"2009PHI.EVN.regular.comment.csv",34

"PHI200909300",12,"replay,2,towlj001,HOU,tscht901,PHI13,O,Y,I,,H $the ball landed in the flower beds and bounced back onto the field; it was ruled in play; Astros acting manager Dave Clark asked about the call so crew chief Tim Tschida watched the replay and overturned his own call to a home run"2009PHI.EVN.regular.comment.csv",35

"PHI200910030",35,"Marlins shortstop Hanley Ramirez left the game due to an injured knee"2009PHI.EVN.regular.comment.csv",36

"PHI200910030",50,"Marlins first baseman Jorge Cantu left the game due to an injured foot/ankle"2009PHI.EVN.regular.comment.csv",37

