"COL201504210",74,"$when Andrew Cashner was called out on a pickoff attempt, Padres manager Bud Black challenged the ruling; the call was overturned by replay","FILENAME_TX","LINE_NUMBER_CT"
"COL201504240",73,"ej,bochb002,M,tumpj901,Called third strike Giants Manager Bruce Bochy ejected by HP umpire John Tumpane","2015COL.EVN.regular.comment.csv",2
"COL201504250",45,"replay,6,maxwj002,SFN,hirsj901,DEN02,O,Y,U,,H $Justin Maxwell's fly to RF struck the top of the scoreboard and caromed back onto the field; the ball was ruled in play; Maxwell ran the bases as if it was a home run but was tagged before he reached HP; crew chief John Hirschbeck requested a review which overturned the call to a home run","2015COL.EVN.regular.comment.csv",3
"COL201505062",19,"ej,weisw001,M,millb901,Called third strike Rockies Manager Walt Weiss ejected by HP umpire Bill Miller","2015COL.EVN.regular.comment.csv",4
"COL201505080",43,"replay,5,dickc002,COL,everm901,DEN02,,N,M,COL,A $when Charlie Blackmon was called out at HP, Rockies manager Walt Weiss challenged the ruling; the call was upheld by replay","2015COL.EVN.regular.comment.csv",5
"COL201505080",47,"$Game called for rain","2015COL.EVN.regular.comment.csv",6
"COL201505100",17,"replay,3,rollj001,LAN,everm901,DEN02,,N,M,LAN,C $when Jimmy Rollins was called out at 1B, Dodgers manager Don Mattingly challenged the ruling; the call was upheld by replay","2015COL.EVN.regular.comment.csv",7
"COL201505100",54,"replay,6,kendh001,LAN,everm901,DEN02,,Y,M,COL,C $when Joc Pederson was called safe at 3B, Rockies manager Walt Weiss challenged the ruling; the call was overturned by replay","2015COL.EVN.regular.comment.csv",8
"COL201505180",2,"replay,1,galvf001,COL,laynj901,DEN02,,Y,M,PHI,C replay,1,galvf001,PHI,laynj901,DEN02,,N,U,,Q $when Freddy Galvis was called out at 1B, Phillies manager Ryne Sandberg challenged the ruling; the call was overturned because Wilin Rosario never stepped on 1B before throwing to 2B; Rockies manager Walt Weiss asked about the call at 2B which was upheld because the throw was wide; crew chief Jerry Layne requested a rules check during this stoppage in play","2015COL.EVN.regular.comment.csv",9
"COL201505180",68,"replay,8,gonzc001,COL,laynj901,DEN02,,N,M,PHI,A $when Nolan Arenado was called safe at HP, Phillies manager Ryne Sandberg challenged the ruling; the call was upheld by replay","2015COL.EVN.regular.comment.csv",10
"COL201505180",70,"ej,hundn001,P,wendh902,Checked swing Rockies catcher Nick Hundley ejected by 1B umpire Hunter Wendelstedt","2015COL.EVN.regular.comment.csv",11
"COL201505190",65,"replay,8,herro001,PHI,laynj901,DEN02,,N,M,COL,I $when Odubel Herrera was ruled to have been hit by a pitch, Rockies manager Walt Weiss challenged the ruling; the call was upheld by replay","2015COL.EVN.regular.comment.csv",12
"COL201505210",22,"$originally scored as E3, changed to single on 06-01-2015","2015COL.EVN.regular.comment.csv",13
"COL201505210",32,"replay,3,barnb002,COL,laynj901,DEN02,,N,M,COL,P $when Troy Tulowitzki was called out at HP, Rockies manager Walt Weiss challenged the ruling; the call was upheld by replay","2015COL.EVN.regular.comment.csv",14
"COL201505210",67,"$originally scored as single, changed to error on 06-01-2015, making run unearned","2015COL.EVN.regular.comment.csv",15
"COL201505220",44,"replay,6,pench001,SFN,demud901,DEN02,,N,M,SFN,C $when Hunter Pence was called out at 1B, Giants manager Bruce Bochy challenged the ruling; the call was upheld by replay","2015COL.EVN.regular.comment.csv",16
"COL201505220",55,"$the line drive struck 2B umpire Paul Nauert on the right hand","2015COL.EVN.regular.comment.csv",17
"COL201505220",57,"umpchange,7,ump2b,(None) $2B umpire Paul Nauert left due to the injured hand","2015COL.EVN.regular.comment.csv",18
"COL201505231",24,"replay,4,pagaa001,SFN,demud901,DEN02,,Y,M,COL,C $when Angel Pagan was called safe at 1B, Rockies manager Walt Weiss challenged the ruling; the call was overturned by replay","2015COL.EVN.regular.comment.csv",19
"COL201505231",74,"replay,8,hundn001,COL,demud901,DEN02,,Y,M,SFN,A $when Wilin Rosario was called safe at 2B, Giants manager Bruce Bochy challenged the ruling; the call was overturned by replay","2015COL.EVN.regular.comment.csv",20
"COL201505232",38,"replay,5,aokin001,SFN,nauep901,DEN02,,Y,M,COL,A $when Casey McGehee was called safe at HP, Rockies manager Walt Weiss challenged the ruling; the call was overturned by replay","2015COL.EVN.regular.comment.csv",21
"COL201505240",20,"replay,3,blacc001,COL,demud901,DEN02,,Y,M,COL,I $when Charlie Blackmon was ruled not hit by pitch, Rockies manager Walt Weiss challenged the ruling; the call was overturned by replay","2015COL.EVN.regular.comment.csv",22
"COL201506010",63,"replay,7,barnb002,COL,nelsj901,DEN02,,Y,M,COL,C $when Brandon Barnes was called out at 1B, Rockies manager Walt Weiss challenged the ruling; the call was overturned by replay","2015COL.EVN.regular.comment.csv",23
"COL201506010",76,"replay,8,rosaw001,COL,nelsj901,DEN02,,N,M,COL,A $when Wilin Rosario was called out at 2B, Rockies manager Walt Weiss challenged the ruling; the call was upheld by replay","2015COL.EVN.regular.comment.csv",24
"COL201506021",36,"replay,5,herne001,LAN,nelsj901,DEN02,,Y,M,COL,C $when Enrique Hernandez was called safe at 1B, Rockies manager Walt Weiss challenged the ruling; the call was overturned by replay","2015COL.EVN.regular.comment.csv",25
"COL201506021",75,"replay,9,ethia001,LAN,nelsj901,DEN02,,Y,M,COL,C $when Justin Turner was called safe at 2B, Rockies manager Walt Weiss challenged the ruling; the call was overturned by replay","2015COL.EVN.regular.comment.csv",26
"COL201506060",59,"Marlins pitcher Bryan Morris left the game due to an injured back","2015COL.EVN.regular.comment.csv",27
"COL201506070",52,"replay,7,hundn001,COL,cuzzp901,DEN02,,Y,M,MIA,C $when Nolan Arenado was called safe at 3B, Marlins manager Dan Jennings challenged the ruling; the call was overturned by replay","2015COL.EVN.regular.comment.csv",28
"COL201506080",20,"Cardinals left fielder Matt Holliday left the game due to an injured leg","2015COL.EVN.regular.comment.csv",29
"COL201506090",69,"replay,8,mckem001,COL,welkt901,DEN02,,N,M,COL,A $when Ben Paulsen was called out at 1B, Rockies manager Walt Weiss challenged the ruling; the call was upheld by replay","2015COL.EVN.regular.comment.csv",30
"COL201506170",28,"replay,3,lemad001,COL,laynj901,DEN02,,Y,M,HOU,A ej,weisw001,M,laynj901,Replay ruling $when Charlie Blackmon was called safe at 2B, Astros manager A.J. Hinch challenged the ruling; the call was overturned by replay because Blackmon came off the bag while the tag was still applied; Rockies Manager Walt Weiss ejected by 2B umpire Jerry Layne claiming that Hinch could no longer challenge the play after the hitter, D.J. LeMahieu, was in the; box; LeMahieu yelled at Layne and had to be restrained by coach Stu Cole","2015COL.EVN.regular.comment.csv",31
"COL201506170",66,"replay,8,gatte001,HOU,laynj901,DEN02,,N,M,HOU,C $when Evan Gattis was called out at 1B, Astros manager A.J. Hinch challenged the ruling; the call was upheld by replay","2015COL.EVN.regular.comment.csv",32
"COL201506180",72,"Astros center fielder Jake Marisnick left the game due to an injured leg","2015COL.EVN.regular.comment.csv",33
"COL201506190",1,"replay,1,seguj002,MIL,millb901,DEN02,,N,M,MIL,C $when Jean Segura was called out at 1B, Brewers manager Craig Counsell challenged the ruling; the call was upheld by replay","2015COL.EVN.regular.comment.csv",34
"COL201506200",19,"replay,3,parrg001,MIL,millb901,DEN02,,N,M,COL,A $when Jean Segura was called safe at 2B, Rockies manager Walt Weiss challenged the ruling; the call was upheld by replay","2015COL.EVN.regular.comment.csv",35
"COL201506210",37,"Rockies right fielder Carlos Gonzalez left the game due to an injured wrist","2015COL.EVN.regular.comment.csv",36
"COL201506230",21,"replay,3,lambj001,ARI,nelsj901,DEN02,,N,M,COL,A $when A.J. Pollock was called safe at 1B on a pickoff attempt, Rockies manager Walt Weiss challenged the ruling; the call was upheld by replay","2015COL.EVN.regular.comment.csv",37
"COL201506230",65,"replay,8,hilla001,ARI,nelsj901,DEN02,,Y,M,ARI,C $when Aaron Hill was called out at 1B, D-Backs manager Chip Hale challenged the ruling; the call was overturned by replay","2015COL.EVN.regular.comment.csv",38
"COL201506240",20,"replay,3,polla001,ARI,nelsj901,DEN02,,Y,M,ARI,C $when A.J. Pollock was called out at 1B, D-Backs manager Chip Hale challenged the ruling; the call was overturned by replay","2015COL.EVN.regular.comment.csv",39
"COL201506240",71,"replay,7,rosaw001,COL,nelsj901,DEN02,,N,M,COL,C $when Wilin Rosario was called out at 1B, Rockies manager Walt Weiss challenged the ruling; the call was upheld by replay","2015COL.EVN.regular.comment.csv",40
"COL201506250",40,"Rockies pitcher Jorge De La Rosa left the game due to an injured hand","2015COL.EVN.regular.comment.csv",41
"COL201507080",69,"replay,8,descd001,COL,wintm901,DEN02,,Y,M,COL,C $when Daniel Descalso was called out at 1B, Rockies manager Walt Weiss challenged the ruling; the call was overturned by replay","2015COL.EVN.regular.comment.csv",42
"COL201507100",59,"replay,7,simma001,ATL,kellj901,DEN02,,Y,M,COL,A $when Jonny Gomes was called safe at 2B, Rockies manager Walt Weiss challenged the ruling; the call was overturned by replay","2015COL.EVN.regular.comment.csv",43
"COL201507110",63,"replay,8,johnc003,ATL,kellj901,DEN02,,N,M,ATL,A $when Chris Johnson was called out at 2B, Braves manager Fredi Gonzalez challenged the ruling; the call was upheld by replay","2015COL.EVN.regular.comment.csv",44
"COL201507110",65,"replay,8,johnk003,ATL,kellj901,DEN02,,N,M,COL,A $when Nick Markakis was called safe at 3B, Rockies manager Walt Weiss challenged the ruling; the call was upheld by replay","2015COL.EVN.regular.comment.csv",45
"COL201507110",75,"$Grilli ruptured left Achilles covering first on this play, out for season","2015COL.EVN.regular.comment.csv",46
"COL201507200",77,"replay,9,deshd002,TEX,hallt901,DEN02,,Y,M,COL,C $when Delino DeShields was called safe at 1B, Rockies manager Walt Weiss challenged the ruling; the call was overturned by replay","2015COL.EVN.regular.comment.csv",47
"COL201507210",16,"replay,2,odorr001,TEX,hallt901,DEN02,,Y,M,COL,A $when Delino DeShields was called safe at 2B, Rockies manager Walt Weiss challenged the ruling; the call was overturned by replay","2015COL.EVN.regular.comment.csv",48
"COL201507240",79,"replay,9,lemad001,COL,wendh902,DEN02,,Y,M,COL,A $when Charlie Blackmon was called out at 2B, Rockies manager Walt Weiss challenged the ruling; the call was overturned by replay","2015COL.EVN.regular.comment.csv",49
"COL201507250",16,"replay,3,hamib001,CIN,wendh902,DEN02,,Y,M,CIN,C $when Billy Hamilton was called out at 1B, Reds manager Bryan Price challenged the ruling; the call was overturned by replay","2015COL.EVN.regular.comment.csv",50
"COL201507250",32,"replay,4,vottj001,CIN,wendh902,DEN02,,Y,M,CIN,A $when Billy Hamilton was called out at HP, Reds manager Bryan Price challenged the ruling; the call was overturned by replay","2015COL.EVN.regular.comment.csv",51
"COL201508040",68,"replay,8,millb002,SEA,davig901,DEN02,,N,M,COL,A $when Brad Miller was called safe at 2B, Rockies manager Walt Weiss challenged the ruling; the call was upheld by replay","2015COL.EVN.regular.comment.csv",52
"COL201508050",56,"replay,7,canor001,SEA,davig901,DEN02,,N,M,COL,A $when Nelson Cruz was called safe at 2B, Rockies manager Walt Weiss challenged the ruling; the call was upheld by replay","2015COL.EVN.regular.comment.csv",53
"COL201508050",60,"replay,7,zunim001,SEA,davig901,DEN02,,Y,U,,A $when Austin Jackson was called safe at 2B, crew chief Gerry Davis requested a review; the call was overturned by replay","2015COL.EVN.regular.comment.csv",54
"COL201508140",81,"$Matt Kemp hit for the cycle","2015COL.EVN.regular.comment.csv",55
"COL201508150",30,"$originally scored as POCS, changed to PO on 08-17-2015","2015COL.EVN.regular.comment.csv",56
"COL201508150",73,"replay,9,spanc001,SDN,scotd901,DEN02,,Y,M,SDN,C $when Cory Spangenberg was called out at 1B, Padres interim manager Pat Murphy challenged the ruling; the call was overturned by replay","2015COL.EVN.regular.comment.csv",57
"COL201508160",38,"ej,murpp801,M,iassd901,Balk non-call (reversed) $a balk was called by 2B umpire John Tumpane, scoring a run; the umpires huddled and reversed the call; Padres Interim Manager Pat Murphy ejected by 3B umpire Dan Iassogna","2015COL.EVN.regular.comment.csv",58
"COL201508160",51,"replay,7,mckem001,COL,iassd901,DEN02,,N,M,SDN,A $when D.J. LeMahieu was called safe at HP, Padres acting manager Dave Roberts challenged the ruling; the call was upheld by replay","2015COL.EVN.regular.comment.csv",59
"COL201508180",53,"Rockies right fielder Carlos Gonzalez left the game due to an injured knee","2015COL.EVN.regular.comment.csv",60
"COL201508200",56,"replay,7,gonzc001,COL,cedeg901,DEN02,,N,M,WAS,A $when Jose Reyes was called safe at 1B on a pickoff attempt, Nationals manager Matt Williams challenged the ruling; the call was upheld by replay","2015COL.EVN.regular.comment.csv",61
"COL201508210",7,"replay,1,reyej001,NYN,culbf901,DEN02,,Y,M,NYN,A $when Charlie Blackmon was called safe at 1B on a pickoff attempt, Mets manager Terry Collins challenged the ruling; the call was overturned by replay","2015COL.EVN.regular.comment.csv",62
"COL201508210",56,"replay,5,parkk001,COL,culbf901,DEN02,,N,M,COL,A $when Nick Hundley was called out at HP, Rockies manager Walt Weiss challenged the ruling; the call was upheld by replay","2015COL.EVN.regular.comment.csv",63
"COL201508210",70,"replay,7,murpd006,NYN,culbf901,DEN02,,N,U,,A $when Curtis Granderson was called safe at 2B, crew chief Fieldin Culbreth requested a review; the call was upheld by replay","2015COL.EVN.regular.comment.csv",64
"COL201508310",6,"replay,1,reyej001,COL,everm901,DEN02,,Y,M,COL,A $when Charlie Blackmon was called out at 2B, Rockies manager Walt Weiss challenged the ruling; the call was overturned by replay","2015COL.EVN.regular.comment.csv",65
"COL201508310",72,"replay,8,barnb002,COL,everm901,DEN02,,Y,M,ARI,A $when Nick Hundley was called safe at 1B on a pickoff attempt, D-Backs manager Chip Hale challenged the ruling; the call was overturned by replay","2015COL.EVN.regular.comment.csv",66
"COL201508310",80,"replay,9,arenn001,COL,everm901,DEN02,O,N,U,,H $Nolan Arenado's fly to LF struck the yellow line at the top of the fence and was ruled in play; acting crew chief Mike Everitt requested a review, which upheld the call","2015COL.EVN.regular.comment.csv",67
"COL201508310",82,"$originally scored as single plus throwing error, changed to two errors on 09-15-2015, making last two runs of inning now unearned","2015COL.EVN.regular.comment.csv",68
"COL201509011",1,"replay,1,incie001,ARI,everm901,DEN02,,Y,M,ARI,C $when Ender Inciarte was called out at 1B, D-Backs manager Chip Hale challenged the ruling; the call was overturned by replay","2015COL.EVN.regular.comment.csv",69
"COL201509011",10,"replay,2,saltj001,ARI,everm901,DEN02,F,Y,U,,H ej,halec001,M,timmt901,Balls and strikes $Jarrod Saltalamacchia's fly to LF was ruled a foul ball; acting crew chief Mike Everitt requested a review, which overturned the call to a home run; D-Backs manager Chip Hale ejected by HP umpire Tim Timmons for yelling about the strike zone","2015COL.EVN.regular.comment.csv",70
"COL201509012",53,"Diamondbacks third baseman Aaron Hill left the game due to an injured leg","2015COL.EVN.regular.comment.csv",71
"COL201509020",17,"replay,2,andec001,ARI,everm901,DEN02,,Y,M,COL,C $when Chase Anderson was called safe at 1B, Rockies manager Walt Weiss challenged the ruling; the call was overturned by replay","2015COL.EVN.regular.comment.csv",72
"COL201509020",49,"replay,6,lambj001,ARI,everm901,DEN02,,N,M,COL,A $when Jake Lamb was called safe at 2B, Rockies manager Walt Weiss challenged the ruling; the call was upheld by replay","2015COL.EVN.regular.comment.csv",73
"COL201509040",6,"replay,1,gonzc001,COL,joycj901,DEN02,F,N,U,,H $Carlos Gonzalez' fly on the 3-1 pitch down the RF line was ruled a foul ball; crew chief Jim Joyce requested a review, which upheld the call; CarGo hit the next pitch for a homer","2015COL.EVN.regular.comment.csv",74
"COL201509040",23,"replay,4,duffm002,SFN,joycj901,DEN02,,N,M,SFN,C $when Angel Pagan was called out at 1B, Giants manager Bruce Bochy challenged the ruling; the call was upheld by replay","2015COL.EVN.regular.comment.csv",75
"COL201509040",64,"replay,9,byrdm001,SFN,joycj901,DEN02,,N,M,COL,C $when Marlon Byrd was called safe at 1B, Rockies manager Walt Weiss challenged the ruling; the call was upheld by replay","2015COL.EVN.regular.comment.csv",76
"COL201509050",2,"replay,1,blang001,SFN,joycj901,DEN02,,N,M,SFN,T $Carlos Gonzalez made a diving catch and doubled off Angel Pagan at 2B; Giants manager Bruce Bochy challenged the ruling on the catch; the call was upheld by replay;Bochy then asked about the call on the catch, which wa upheld by replay","2015COL.EVN.regular.comment.csv",77
"COL201509050",31,"Giants catcher Hector Sanchez left the game due to an injured ankle","2015COL.EVN.regular.comment.csv",78
"COL201509060",31,"replay,4,rosaw001,COL,joycj901,DEN02,,N,M,COL,C $when Wilin Rosario was called out at 1B, Rockies manager Walt Weiss challenged the ruling; the call was upheld by replay","2015COL.EVN.regular.comment.csv",79
"COL201509060",48,"Rockies catcher Nick Hundley left the game due to an injured neck","2015COL.EVN.regular.comment.csv",80
"COL201509190",27,"Rockies pitcher Yohan Flande left the game due to an injured knee","2015COL.EVN.regular.comment.csv",81
"COL201509210",53,"replay,6,marts002,PIT,vanol901,DEN02,O,N,U,,H $Starling Marte's fly to CF struck the yellow stripe at the top of the wall; the ball was ruled in play; crew chief Larry Vanover requested a review, which upheld the call","2015COL.EVN.regular.comment.csv",82
"COL201509220",54,"Pirates third baseman Aramis Ramirez left the game due to an injured groin","2015COL.EVN.regular.comment.csv",83
"COL201509220",62,"replay,7,mercj002,PIT,vanol901,DEN02,,N,M,PIT,A $when Keon Broxton was called out at 2B, Pirates manager Clint Hurdle challenged the ruling; the call was upheld by replay","2015COL.EVN.regular.comment.csv",84
"COL201509230",56,"Rockies left fielder Brandon Barnes left the game due to an injured leg","2015COL.EVN.regular.comment.csv",85
"COL201509240",18,"replay,3,deckj001,PIT,vanol901,DEN02,,Y,M,COL,C $when Jaff Decker was called safe at 1B, Rockies manager Walt Weiss challenged the ruling; the call was overturned by replay","2015COL.EVN.regular.comment.csv",86
"COL201509240",39,"replay,5,marts002,PIT,vanol901,DEN02,,N,M,PIT,A $when Starling Marte was called out at 2B, Pirates manager Clint Hurdle challenged the ruling; the call was upheld by replay","2015COL.EVN.regular.comment.csv",87
"COL201509240",41,"$originally scored as single, changed to dropped catch error on 09-30-2015, making run unearned","2015COL.EVN.regular.comment.csv",88
"COL201509250",48,"replay,5,ynoar001,COL,westj901,DEN02,,Y,M,LAN,A $when Tom Murphy was called safe at 1B on a pickoff attempt, Dodgers manager Don Mattingly challenged the ruling; the call was overturned by replay","2015COL.EVN.regular.comment.csv",89
"COL201509270",16,"Rockies shortstop Cristhian Adames left the game due to an injured neck","2015COL.EVN.regular.comment.csv",90
