"MIN201204110",35,"Twins LF Josh Willingham hit the wall and fell"FILENAME_TX","LINE_NUMBER_CT"

"MIN201204120",74,"Angels pitcher Scott Downs left the game due to an injured ankle when Denard Span stepped on his ankle when crossing 1B"2012MIN.EVA.regular.comment.csv",2

"MIN201204140",49,"Twins pitcher Nick Blackburn left the game due to an injured shoulder"2012MIN.EVA.regular.comment.csv",3

"MIN201204140",83,"originally scored E6, changed to single on 4-18"2012MIN.EVA.regular.comment.csv",4

"MIN201204250",52,"Red Sox Cody Ross left the game due to an injured knee"2012MIN.EVA.regular.comment.csv",5

"MIN201205080",17,"fan interference"2012MIN.EVA.regular.comment.csv",6

"MIN201205090",20,"$Joe Mauer's throw hit Albert Pujols on the back and caromed away; Pujols stumbled into the bag and seemed to hurt his ankle but remained in the game"2012MIN.EVA.regular.comment.csv",7

"MIN201205090",66,"ej,sciom001,M,holbs901,Balls and strikes Angels Manager Mike Scioscia ejected by HP umpire Sam Holbrook for arguing balls and strikes"2012MIN.EVA.regular.comment.csv",8

"MIN201205110",0,"$Rain delay of 1:51 at start of game"2012MIN.EVA.regular.comment.csv",9

"MIN201205120",40,"replay,6,bautj002,TOR,tscht901,MIN04,O,Y,I,,H $Jose Bautista's line drive just cleared the LF fence and hit the concrete wall behind the flowers; the ball rebounded back onto the field and was ruled in play; Bautista stopped at 2B but the Blue Jays were all yelling that the ball cleared the fence; crew chief Tim Tschida watched the replay and overturned the call to a home run"2012MIN.EVA.regular.comment.csv",10

"MIN201205250",78,"ej,carrj001,P,porta901,Call at 1B ej,gardr001,M,porta901,Call at 1B Twins 3B Jamey Carroll and Manager Ron Gardenhire ejected by 1B umpire Alan Porter; Porter called Carroll out when he beat pitcher Joaquin Benoit to the bag"2012MIN.EVA.regular.comment.csv",11

"MIN201206100",75,"Originally scored E5, but changed to single on 06-13-2012; makes two runs now earned"2012MIN.EVA.regular.comment.csv",12

"MIN201206160",76,"replay,9,mastd002,MIN,gormb901,MIN04,F,N,I,,H $Darin Mastroianni's fly down the LF line was ruled foul by 3B umpire Brian Gorman; after the Twins asked about the call, Gorman, the crew chief, watched the replay and upheld the call"2012MIN.EVA.regular.comment.csv",13

"MIN201206170",63,"Twins catcher Joe Mauer left the game due to an injured leg"2012MIN.EVA.regular.comment.csv",14

"MIN201206260",21,"replay,3,spand001,MIN,welkt901,MIN04,F,N,I,,H $Denard Span hit the 3-2 pitch down the RF line and the ball was ruled foul by 1B umpire Paul Schreiber; Twins manager Ron Gardenhire asked about the call, so crew chief Tim Welke watched the replay and upheld the call"2012MIN.EVA.regular.comment.csv",15

"MIN201206270",57,"replay,7,piera001,CHA,welkt901,MIN04,O,N,I,,H $A.J. Pierzynski's fly hit the top of the wall and caromed back onto the field; Denard Span hit the wall hard and the ball was retrieved by RF Ben Revere; the ball was ruled in play but the White Sox asked about the call so crew chief Tim Welke watched the replay and upheld the call"2012MIN.EVA.regular.comment.csv",16

"MIN201207170",72,"$originally scored as single plus E6, changed to error all the way on 7-19-2012; two runs now unearned"2012MIN.EVA.regular.comment.csv",17

"MIN201208100",73,"$originally scored as S6, changed to E1 on 8-21-2012; one run now becomes unearned"2012MIN.EVA.regular.comment.csv",18

"MIN201208150",62,"fan interference"2012MIN.EVA.regular.comment.csv",19

"MIN201208290",30,"$originally scored E3, changed to double on 9-05-2012"2012MIN.EVA.regular.comment.csv",20

"MIN201208290",32,"fan interference"2012MIN.EVA.regular.comment.csv",21

"MIN201209080",12,"$originally scored as single, changed to error on 9-11-2012"2012MIN.EVA.regular.comment.csv",22

"MIN201209090",60,"Indians designated hitter Asdrubal Cabrera left the game due to an injured hand"2012MIN.EVA.regular.comment.csv",23

"MIN201209120",79,"$originally scored as SB, changed to DI on 9-18-2012"2012MIN.EVA.regular.comment.csv",24

"MIN201209130",76,"ej,butlb003,P,estam901,Balls and strikes Royals designated hitter Billy Butler ejected by HP umpire Mike Estabrook after ignoring two warnings to stop arguing during at bat; Butler thought the fourth pitch was high"2012MIN.EVA.regular.comment.csv",25

"MIN201209280",53,"Twins shortstop Eduardo Escobar left the game due to an injured elbow"2012MIN.EVA.regular.comment.csv",26

