"NYA200510070",65,"Angels catcher Bengie Molina left the game due to an injured elbow"FILENAME_TX","LINE_NUMBER_CT"

"ANA200510100",8,"$Bartolo Colon left with sore shoulder"2005ALD2.EVE.post.comment.csv",2

"ANA200510100",46,"$Robinson Cano called for interference for running in fair territory"2005ALD2.EVE.post.comment.csv",3

