"SEA197904040",0,"Debut for umpires Roy Dreke, George Eshelman and Jay Levet"FILENAME_TX","LINE_NUMBER_CT"

"SEA197904040",52,"Debut game for Mark Clear"1979SEA.EVA.regular.comment.csv",2

"SEA197904060",0,"Debut for umpire Dave Perez"1979SEA.EVA.regular.comment.csv",3

"SEA197904060",78,"Debut game for Tom Donohue"1979SEA.EVA.regular.comment.csv",4

"SEA197904060",84,"Debut game for Rafael Vasquez"1979SEA.EVA.regular.comment.csv",5

"SEA197904070",0,"Debut for umpire Gale Miller"1979SEA.EVA.regular.comment.csv",6

"SEA197904110",0,"Debut for umpire Homer Bishop"1979SEA.EVA.regular.comment.csv",7

"SEA197904110",18,"$Mickey Klutts wandered off 3B after late throw to the bag"1979SEA.EVA.regular.comment.csv",8

"SEA197904110",70,"ej,honer001,P,hendt901,Intentional HBP Rick Honeycutt ejected by HP umpire Ted Hendry"1979SEA.EVA.regular.comment.csv",9

"SEA197904120",0,"Debut for umpire Dick Feaser"1979SEA.EVA.regular.comment.csv",10

"SEA197904130",0,"Debut for umpire Charles Jackson"1979SEA.EVA.regular.comment.csv",11

"SEA197904140",0,"Debut for umpire Bud Brown"1979SEA.EVA.regular.comment.csv",12

"SEA197904250",29,"$the ball hit a speaker 106 feet above the ground"1979SEA.EVA.regular.comment.csv",13

"SEA197904250",57,"$the ball landed in the third deck (1st row, 2 seats fair)"1979SEA.EVA.regular.comment.csv",14

"SEA197904290",0,"Debut for umpire Fred Mabbott"1979SEA.EVA.regular.comment.csv",15

"SEA197905140",34,"ej,johnd106,M,levej901,Call at 1B Mariners Manager Darrell Johnson ejected by 1B umpire Jay Levet"1979SEA.EVA.regular.comment.csv",16

"SEA197905160",73,"ej,patef101,P,parkd901,Call at 2B Freddie Patek ejected by 2B umpire Dallas Parks"1979SEA.EVA.regular.comment.csv",17

"SEA197905180",0,"Debut for umpire Jimmy Marino"1979SEA.EVA.regular.comment.csv",18

"SEA197905180",62,"ej,farme101,P,esheg901,Balls and strikes Ed Farmer ejected by HP umpire George Eshelman after being removed from game"1979SEA.EVA.regular.comment.csv",19

"SEA197905200",36,"ej,corrp102,M,pered901,Call at HP Rangers manager Pat Corrales ejected by HP umpire Dave Perez"1979SEA.EVA.regular.comment.csv",20

"SEA197905310",25,"$Bobby Grich called for obstruction"1979SEA.EVA.regular.comment.csv",21

"SEA197906050",69,"$Willie Horton's long drive to LF hit a speaker; it would have been the 300th home run of Horton's career"1979SEA.EVA.regular.comment.csv",22

"SEA197906060",10,"$Willie Horton's 300th career home run"1979SEA.EVA.regular.comment.csv",23

"SEA197907060",57,"ej,hortw101,P,reilm901,Charging the mound $Willie Horton charged the mound and tackled Dick Drago; both benches cleared; Horton ejected by HP umpire Mike Reilly"1979SEA.EVA.regular.comment.csv",24

"SEA197907070",42,"ej,johnd106,M,pales901,Home run call Mariners Manager Darrell Johnson ejected by 2B umpire Steve Palermo"1979SEA.EVA.regular.comment.csv",25

"SEA197907110",52,"ej,martb105,M,bremn901,Call at 1B Yankees Manager Billy Martin ejected by 1B umpire Nick Bremigan"1979SEA.EVA.regular.comment.csv",26

"SEA197908070",4,"previous two plays occured together"1979SEA.EVA.regular.comment.csv",27

"SEA197908140",39,"umpchange,5,umphome,brinj901 umpchange,5,ump2b,(None) $HP umpire Derryl Cousins hit in throat by foul and replaced by 2B umpire Joe Brinkman with a 2-1 count on Larry Cox"1979SEA.EVA.regular.comment.csv",28

"SEA197909030",39,"$Bruce Bochte caught the ball off a speaker in foul territory"1979SEA.EVA.regular.comment.csv",29

"SEA197909050",34,"ej,corrp102,M,neudj901,Call at 2B Rangers manager Pat Corrales ejected by 2B umpire Jerry Neudecker"1979SEA.EVA.regular.comment.csv",30

"SEA197909080",35,"ej,meyed001,P,malog901,Call at 2B ej,johnd106,M,malog901,Call at 2B Dan Meyer and Mariners Manager Darrell Johnson ejected by 2B umpire George Maloney"1979SEA.EVA.regular.comment.csv",31

"SEA197909090",52,"ej,johnd106,M,malog901,Call at 1B Mariners Manager Darrell Johnson ejected by 1B umpire George Maloney"1979SEA.EVA.regular.comment.csv",32

