"BRO191804240",6,"ej,mccal102,P,klemb901,Call at HP McCarty ejected by Klem for arguing play at plate.","FILENAME_TX","LINE_NUMBER_CT"
"BRO191804250",9,"$Johnston hit by own batted ball.","1918BRO.EVN.regular.comment.csv",2
"BRO191804250",46,"Texas leaguer and no one covered third.","1918BRO.EVN.regular.comment.csv",3
"BRO191805030",0,"Also used Phil. Evening Bulletin.","1918BRO.EVN.regular.comment.csv",4
"BRO191805040",0,"Also used Phil. Evening Bulletin.","1918BRO.EVN.regular.comment.csv",5
"BRO191805060",0,"Also used Phil. Even. Bulletin.","1918BRO.EVN.regular.comment.csv",6
"BRO191806010",21,"$Not SH","1918BRO.EVN.regular.comment.csv",7
"BRO191806100",47,"Source 73 has this at E6","1918BRO.EVN.regular.comment.csv",8
"BRO191806140",65,"$Roush sprained ankle.","1918BRO.EVN.regular.comment.csv",9
"BRO191806150",71,"Over the fence.","1918BRO.EVN.regular.comment.csv",10
"BRO191806170",17,"Moran entered game as base umpire.","1918BRO.EVN.regular.comment.csv",11
"BRO191806180",7,"hit into the left field alley","1918BRO.EVN.regular.comment.csv",12
"BRO191806190",12,"$Pitch got away from Miller","1918BRO.EVN.regular.comment.csv",13
"BRO191806200",65,"Hehl's sole ML game.","1918BRO.EVN.regular.comment.csv",14
"BRO191807272",4,"$Only career appearance for Heitman - faced 4 batters, all score","1918BRO.EVN.regular.comment.csv",15
"BRO191807272",67,"pbp account ends here, rest deduced; Brooklyn Times-Union very helpful","1918BRO.EVN.regular.comment.csv",16
"BRO191807290",70,"pbp account ends here, rest deduced","1918BRO.EVN.regular.comment.csv",17
"BRO191808031",72,"ej,nealg101,P,byrol901,Called third strike Neale ejected by Byron for arguing called third strike","1918BRO.EVN.regular.comment.csv",18
"BRO191808070",5,"Tried to advance when pitch got away from catcher.","1918BRO.EVN.regular.comment.csv",19
"BRO191808080",36,"Marquard injured back.","1918BRO.EVN.regular.comment.csv",20
"BRO191808090",46,"Pick tried to advance when pitch got away.","1918BRO.EVN.regular.comment.csv",21
"BRO191808102",40,"O'Mara ejected.","1918BRO.EVN.regular.comment.csv",22
"BRO191808131",35,"Hit and run.","1918BRO.EVN.regular.comment.csv",23
"BRO191808131",70,"Olson made bad throw trying for double play, would not be scored as double play today","1918BRO.EVN.regular.comment.csv",24
"BRO191808140",30,"Johnston made wild throw.","1918BRO.EVN.regular.comment.csv",25
"BRO191808280",73,"pbp account ends here, rest deduced","1918BRO.EVN.regular.comment.csv",26
