"ATL197105200",99,"$Bob Priddy dropped Jim Gosger's pop-up"FILENAME_TX","LINE_NUMBER_CT"

"ATL197106010",0,"Debut for umpire John McSherry"1971ATL.EVN.regular.comment.csv",2

"ATL197106070",92,"ej,cepeo101,P,engeb901,Call at 1B Orlando Cepeda ejected by 1B umpire Bob Engel"1971ATL.EVN.regular.comment.csv",3

"ATL197106080",65,"$ball hit third base bag; after Williams threw wildly to first, Cepeda retrieved the ball and threw wildly home, allowing runner on first and batter to score"1971ATL.EVN.regular.comment.csv",4

"ATL197106090",54,"$Frank Linzy and Bob Burda collided chasing a foul grounder Ralph Garr; both left with injuries, Linzy on a stretcher"1971ATL.EVN.regular.comment.csv",5

"ATL197106230",2,"$Debut game for Stan Swanson"1971ATL.EVN.regular.comment.csv",6

"ATL197106230",51,"$Debut game for Tom House"1971ATL.EVN.regular.comment.csv",7

"ATL197106270",43,"$40 minute rain delay"1971ATL.EVN.regular.comment.csv",8

"ATL197107160",61,"ej,garrr101,P,pelec901,Called third strike $Garr ejected by HP umpire Pelekoudas for arguing called third strike"1971ATL.EVN.regular.comment.csv",9

