"NYA191608122",33,"Tried to advance when pitch eluded Haley.","1916NYA.EVA.regular.comment.csv",68
"NYA191608150",62,"Into the seats.","1916NYA.EVA.regular.comment.csv",69
"NYA191608170",66,"Bottom of 8th to end from NY Times.","1916NYA.EVA.regular.comment.csv",70
"NYA191608210",48,"Into the upper deck seats.","1916NYA.EVA.regular.comment.csv",71
"NYA191608220",8,"Into the seats.","1916NYA.EVA.regular.comment.csv",72
"NYA191608220",44,"Into the seats.","1916NYA.EVA.regular.comment.csv",73
"NYA191608241",77,"Nunamaker hurt arm throwing in 8th.","1916NYA.EVA.regular.comment.csv",74
"NYA191608242",22,"IPHR to deep right centerfield.","1916NYA.EVA.regular.comment.csv",75
"NYA191608242",28,"Magee had to hold third base.","1916NYA.EVA.regular.comment.csv",76
"NYA191608242",59,"Runner held at third base.","1916NYA.EVA.regular.comment.csv",77
"NYA191608242",61,"Top of eighth inning to end from Post Dispatch/Times/RBS.","1916NYA.EVA.regular.comment.csv",78
"NYA191608242",63,"Attempted sacrifice.","1916NYA.EVA.regular.comment.csv",79
"NYA191608242",73,"PO1 invented, Shawkey did not have an bat.","1916NYA.EVA.regular.comment.csv",80
"NYA191608260",32,"$Babe Borton in as a courtesy runner","1916NYA.EVA.regular.comment.csv",81
"NYA191608260",64,"Fisher hurt shoulder sliding home.","1916NYA.EVA.regular.comment.csv",82
"NYA191608292",42,"Hit and run.","1916NYA.EVA.regular.comment.csv",83
"NYA191608292",48,"Into the seats.","1916NYA.EVA.regular.comment.csv",84
"NYA191608300",54,"Bottom of 6th only from Evening Telegram.","1916NYA.EVA.regular.comment.csv",85
"NYA191609010",51,"Balance of game from Evening Mail.","1916NYA.EVA.regular.comment.csv",86
"NYA191609020",73,"Into the stands.","1916NYA.EVA.regular.comment.csv",87
"NYA191609041",53,"Into the seats.","1916NYA.EVA.regular.comment.csv",88
"NYA191609041",63,"Lewis stole 3rd on pickoff throw to first.","1916NYA.EVA.regular.comment.csv",89
"NYA191610030",96,"Bottom of tenth inning to end (11) from Post/Times/RBS.","1916NYA.EVA.regular.comment.csv",90
"NYA191610030",106,"$Game called for darkness","1916NYA.EVA.regular.comment.csv",91
