"BSN193704191",46,"$the throw hit Jimmy Wilson on the back","FILENAME_TX","LINE_NUMBER_CT"
"BSN193704191",46,"$Wally Berger left with a broken finger from batting practice","1937BSN.EVN.regular.comment.csv",2
"BSN193704191",55,"$fan interference","1937BSN.EVN.regular.comment.csv",3
"BSN193705010",30,"$Al Lopez called for interference for running into his own bunt","1937BSN.EVN.regular.comment.csv",4
"BSN193705030",31,"$missed squeeze","1937BSN.EVN.regular.comment.csv",5
"BSN193705110",43,"$Al Todd ran towards 2B; Al Lopez bluffed a throw to 2B and then picked Arky Vaughan off 3B","1937BSN.EVN.regular.comment.csv",6
"BSN193705110",65,"$the throw struck Gus Suhr","1937BSN.EVN.regular.comment.csv",7
"BSN193705130",25,"$John Bottarini suffered a split finger when struck by a foul ball","1937BSN.EVN.regular.comment.csv",8
"BSN193705130",27,"$Frank Demaree missed a shoestring catch; Vince DiMaggio held up thinking the ball might be caught","1937BSN.EVN.regular.comment.csv",9
"BSN193706091",13,"$Hub Walker broke his collarbone making a diving catch","1937BSN.EVN.regular.comment.csv",10
"BSN193706132",11,"$Warstler missed second base on what should have been an inning-ending double play.","1937BSN.EVN.regular.comment.csv",11
"BSN193706290",52,"$Max Butcher threw to 3B without looking at Gene Moore who had held at 2B","1937BSN.EVN.regular.comment.csv",12
"BSN193706290",82,"DWS: pbp ends here, rest deduced","1937BSN.EVN.regular.comment.csv",13
"BSN193706302",38,"$Roy Johnson twisted his knee sliding into 2B in a collision with Tony Cuccinello","1937BSN.EVN.regular.comment.csv",14
"BSN193706302",40,"ej,phelb101,P,searz901,Balls and strikes (Threw mask) Babe Phelps ejected by HP umpire Ziggy Sears after throwing his mask and chest protector to the ground","1937BSN.EVN.regular.comment.csv",15
"BSN193706302",47,"DWS: pbp ends here, rest deduced","1937BSN.EVN.regular.comment.csv",16
"BSN193707010",63,"$Rabbit Warstler called for interference for running into his own batted ball","1937BSN.EVN.regular.comment.csv",17
"BSN193707100",8,"$Chuck Klein left with a cold and sore throat","1937BSN.EVN.regular.comment.csv",18
"BSN193707112",26,"$busted squeeze play","1937BSN.EVN.regular.comment.csv",19
"BSN193707182",1,"$Al Lopez left with a broken right index finger suffered when struck by a foul ball","1937BSN.EVN.regular.comment.csv",20
"BSN193707211",12,"$Mickey Owen advanced to 2B with Pepper Martin already occupying  the base; Owen was thrown out trying to get back to 1B","1937BSN.EVN.regular.comment.csv",21
"BSN193707240",3,"$Debs Garms made a poor throw to the infield","1937BSN.EVN.regular.comment.csv",22
"BSN193707240",14,"$over the 425-foot wall in CF","1937BSN.EVN.regular.comment.csv",23
"BSN193708130",65,"$Heinie Manush failed to make a shoestring catch","1937BSN.EVN.regular.comment.csv",24
"BSN193708170",11,"$Harry Danning fell as he rounded 1B","1937BSN.EVN.regular.comment.csv",25
"BSN193709011",26,"$the throw struck Lew Riggs near HP","1937BSN.EVN.regular.comment.csv",26
"BSN193709081",30,"$on the double steal attempt, Pinky Whitney was trapped off 3B but Al Lopez dropped a throw","1937BSN.EVN.regular.comment.csv",27
"BSN193709081",56,"$the throw to 3B struck Chuck Klein","1937BSN.EVN.regular.comment.csv",28
"BSN193709302",46,"DWS: pbp ends here, rest deduced","1937BSN.EVN.regular.comment.csv",29
