"NYA196804100",0,"$start of game delayed due to Martin Luther King's funeral","FILENAME_TX","LINE_NUMBER_CT"
"NYA196804100",52,"Debut game for Tom Burgmeier","1968NYA.EVA.regular.comment.csv",2
"NYA196804130",69,"$the Yankees disputed the home run ruling, saying that the ball hit the railing","1968NYA.EVA.regular.comment.csv",3
"NYA196804140",22,"$missed squeeze attempt","1968NYA.EVA.regular.comment.csv",4
"NYA196804140",28,"$Joe Pepitone suffered hairline fracture of left elbow on throw","1968NYA.EVA.regular.comment.csv",5
"NYA196804140",77,"Debut game for Bobby Cox","1968NYA.EVA.regular.comment.csv",6
"NYA196804150",0,"Lights on at start of game","1968NYA.EVA.regular.comment.csv",7
"NYA196804282",1,"Debut game for Les Cain","1968NYA.EVA.regular.comment.csv",8
"NYA196805080",33,"ej,michg101,P,drumc901,Fighting ej,hortt101,P,drumc901,Fighting $after a pickoff attempt, there was some jostling and Gene Michael threw a punch at Tony Horton; both benches cleared; as Michael was being restrained by Yankees coach Whitey Ford, Michael threw another punch at Horton; Michael and Horton ejected by 1B umpire Cal Drummond","1968NYA.EVA.regular.comment.csv",9
"NYA196805080",41,"$Mickey Mantle called for interference when he ran into his own batted ball","1968NYA.EVA.regular.comment.csv",10
"NYA196805080",60,"$Jose Cardenal ran inside the base line and was called out for interference","1968NYA.EVA.regular.comment.csv",11
"NYA196805100",69,"400 feet","1968NYA.EVA.regular.comment.csv",12
"NYA196805240",52,"$missed squeeze play","1968NYA.EVA.regular.comment.csv",13
"NYA196805261",17,"Debut game for Ellie Rodriguez","1968NYA.EVA.regular.comment.csv",14
"NYA196805262",46,"Horace Clarke left injured","1968NYA.EVA.regular.comment.csv",15
"NYA196805262",56,"$Dick Howser fell going to 3B","1968NYA.EVA.regular.comment.csv",16
"NYA196805301",8,"upperdeck","1968NYA.EVA.regular.comment.csv",17
"NYA196806040",8,"$Rich Rollins hit on lip and left game","1968NYA.EVA.regular.comment.csv",18
"NYA196806060",55,"Dave Boswell left with heat exhaustion","1968NYA.EVA.regular.comment.csv",19
"NYA196806071",69,"$Fritz Peterson: 105 pitches","1968NYA.EVA.regular.comment.csv",20
"NYA196806091",0,"$Memorial for Senator Robert Kennedy today","1968NYA.EVA.regular.comment.csv",21
"NYA196806250",20,"23 minute rain delay","1968NYA.EVA.regular.comment.csv",22
"NYA196806250",33,"34 minute rain delay","1968NYA.EVA.regular.comment.csv",23
"NYA196806250",46,"2 rain delays totaling 42 minutes","1968NYA.EVA.regular.comment.csv",24
"NYA196806291",30,"missing play in NYA196806291","1968NYA.EVA.regular.comment.csv",25
"NYA196806291",79,"missing play in NYA196806291","1968NYA.EVA.regular.comment.csv",26
"NYA196807162",31,"ej,bryab101,P,hallb901,Call at HP Billy Bryan ejected by HP umpire Bill Haller","1968NYA.EVA.regular.comment.csv",27
"NYA196808020",13,"$Paul Blair out on appeal for leaving 3B too soon","1968NYA.EVA.regular.comment.csv",28
"NYA196808030",70,"failed squeeze","1968NYA.EVA.regular.comment.csv",29
"NYA196808040",60,"ej,houkr101,M,honoj901,Call at HP Yankees Manager Ralph Houk ejected by HP umpire Jim Honochick","1968NYA.EVA.regular.comment.csv",30
"NYA196808050",52,"$Paul Blair slipped and the ball rolled to the monuments","1968NYA.EVA.regular.comment.csv",31
"NYA196808071",25,"Rain delay","1968NYA.EVA.regular.comment.csv",32
"NYA196808071",29,"1:19 rain delay","1968NYA.EVA.regular.comment.csv",33
"NYA196808072",59,"Debut game for Joe Keough $Home run in first ML at-bat","1968NYA.EVA.regular.comment.csv",34
"NYA196808090",33,"ej,ermec101,M,chyln901,Interference non-call Twins Manager Cal Ermer ejected by HP umpire Nestor Chylak","1968NYA.EVA.regular.comment.csv",35
"NYA196808090",44,"Dave Boswell left with blister","1968NYA.EVA.regular.comment.csv",36
"NYA196808090",84,"ej,mantm101,P,soarh901,Fair/foul call Mickey Mantle ejected by 3B umpire Hank Soar","1968NYA.EVA.regular.comment.csv",37
"NYA196808100",0,"Lights on at start of game","1968NYA.EVA.regular.comment.csv",38
"NYA196808231",47,"$Earl Wilson struck on right shoulder","1968NYA.EVA.regular.comment.csv",39
"NYA196808232",150,"$Game called due to 1 a.m. curfew; the game was replayed as part of a double header on 8/25","1968NYA.EVA.regular.comment.csv",40
"NYA196808251",26,"$Steve Barber called for interference at 2B; Horace Clarke out","1968NYA.EVA.regular.comment.csv",41
"NYA196808252",80,"$a foul ball struck Al Kaline on the foot","1968NYA.EVA.regular.comment.csv",42
"NYA196808261",71,"$Fritz Peterson: 102 pitches","1968NYA.EVA.regular.comment.csv",43
