"SLN198404140",40,"Second error added... Thompson missing an error this inning","FILENAME_TX","LINE_NUMBER_CT"
"SLN198404212",17,"ej,herrt001,P,grege901,Called third strike Tommy Herr ejected by HP umpire Eric Gregg","1984SLN.EVN.regular.comment.csv",2
"SLN198404212",39,"game called for rain","1984SLN.EVN.regular.comment.csv",3
"SLN198405050",49,"game called for rain","1984SLN.EVN.regular.comment.csv",4
"SLN198405100",19,"Debut game for Tom Nieto","1984SLN.EVN.regular.comment.csv",5
"SLN198405190",40,"Debut game for Eric Davis","1984SLN.EVN.regular.comment.csv",6
"SLN198405230",6,"ej,herzw101,M,froeb901,HBP call Cardinals manager Whitey Herzog ejected by HP umpire Bruce Froemming","1984SLN.EVN.regular.comment.csv",7
"SLN198406050",44,"ej,virgo001,P,grege901,Charging mound $Virgil ejected by HP umpire Gregg for charging mound; both teams warned","1984SLN.EVN.regular.comment.csv",8
"SLN198406050",54,"ej,anduj001,P,grege901,Throwing near batter after warning $Pitcher Andujar ejected by HP umpire Gregg for throwing near batter after warning","1984SLN.EVN.regular.comment.csv",9
"SLN198406150",7,"$no one covered 2B on steal attempt","1984SLN.EVN.regular.comment.csv",10
"SLN198406270",39,"missing play in SLN198406270 DWS: fielding credit invented","1984SLN.EVN.regular.comment.csv",11
"SLN198407130",86,"ej,gossr001,P,froeb901,Balls and strikes Rich Gossage ejected by HP umpire Bruce Froemming","1984SLN.EVN.regular.comment.csv",12
"SLN198407170",16,"ej,greed001,P,willb901,Arguing check swing strike 3 $Green ejected by HP umpire Williams for arguing check swing strike 3","1984SLN.EVN.regular.comment.csv",13
"SLN198407180",13,"Debut game for Terry Pendleton","1984SLN.EVN.regular.comment.csv",14
"SLN198407180",69,"$Brad Wellman called for interference","1984SLN.EVN.regular.comment.csv",15
"SLN198407190",6,"$Candy Maldonado had stopped but Andy Van Slyke's throw got away; Maldonado then out trying to score","1984SLN.EVN.regular.comment.csv",16
"SLN198407200",77,"injury?","1984SLN.EVN.regular.comment.csv",17
"SLN198407220",61,"$pop over drawn-in infield","1984SLN.EVN.regular.comment.csv",18
"SLN198407220",64,"$chopped off carpet, came down too late for play","1984SLN.EVN.regular.comment.csv",19
"SLN198407220",81,"$Dodgers use two pinch-runners as Mike Vail ran out to 2B by mistake and then came back as Bob Bailor was sent in; Dodgers argued that Vail had not actually entered game, but HP umpire Joe West ruled that he had","1984SLN.EVN.regular.comment.csv",20
"SLN198408050",29,"ej,owenp801,M,tatat901,Interference non-cal) $Phillies manager Owens ejected by HP umpire Tata for; arguing that Jorgensen had interfered with catcher on steal","1984SLN.EVN.regular.comment.csv",21
"SLN198408060",10,"Debut game for Denny Gonzalez","1984SLN.EVN.regular.comment.csv",22
"SLN198408130",61,"prev two plays missing in SLN198408130","1984SLN.EVN.regular.comment.csv",23
"SLN198408140",67,"Debut game for Ron Robinson","1984SLN.EVN.regular.comment.csv",24
"SLN198409010",22,"$Astroturf bounce over Jerry Mumphrey","1984SLN.EVN.regular.comment.csv",25
"SLN198409010",70,"ej,smito001,P,ripps901,Call at 1B (Bumped umpire) $Ozzie Smith yelled at 1B umpire Steve Rippley as Smith left the field; Lonnie Smith tried to intervene; Ozzie stepped on Rippley's foot and Lonnie's elbow pushed Rippley, who fell; Ozzie ejected by Rippley; Ozzie was suspended and fined","1984SLN.EVN.regular.comment.csv",26
"SLN198409020",13,"Debut game for Glenn Davis","1984SLN.EVN.regular.comment.csv",27
"SLN198409020",49,"Debut game for Jeff Calhoun","1984SLN.EVN.regular.comment.csv",28
"SLN198409040",76,"Debut game for Kevin Mitchell","1984SLN.EVN.regular.comment.csv",29
"SLN198409140",54,"Debut game for Mike Bielecki","1984SLN.EVN.regular.comment.csv",30
"SLN198409231",2,"$Dernier went past 2nd trying to advance, then missed base on way back and then was too late","1984SLN.EVN.regular.comment.csv",31
"SLN198409231",3,"ej,connb101,C,crawj901,Balls and strikes $Cubs coach Connors ejected by HP umpire Crawford for arguing balls and strikes while Matthews at bat","1984SLN.EVN.regular.comment.csv",32
"SLN198409231",16,"$Smith out for interference at 2nd base","1984SLN.EVN.regular.comment.csv",33
