"WS1192604160",84,"ej,harrb106,P,nalld901,Call at 2B (Pushed umpire) Bucky Harris ejected by 1B umpire Dick Nallin arguing that he beat Walt French to the 2B bag after catching the line drive; Harris pushed Nallin","FILENAME_TX","LINE_NUMBER_CT"
"WS1192605170",60,"$George Burns left with a knee injury","1926WS1.EVA.regular.comment.csv",2
"WS1192605180",4,"$Joe Sewell fumbled the relay from LF and threw to 3B for out","1926WS1.EVA.regular.comment.csv",3
"WS1192605180",41,"rain delay","1926WS1.EVA.regular.comment.csv",4
"WS1192605230",55,"ej,millb110,P,rowlp801,Call at 1B Bing Miller ejected by 1B umpire Pants Rowland","1926WS1.EVA.regular.comment.csv",5
"WS1192606260",47,"Not clear when McNeely entered.","1926WS1.EVA.regular.comment.csv",6
"WS1192606270",63,"Not certain when McNeely entered.","1926WS1.EVA.regular.comment.csv",7
"WS1192607020",51,"$Dutch Ruether stepped back and allowed the popup to drop in","1926WS1.EVA.regular.comment.csv",8
"WS1192607130",0,"$20 minute rain delay at start of game","1926WS1.EVA.regular.comment.csv",9
"WS1192607211",4,"$Goslin was pulled from the field for 'indifferent playing' of Heilmann's hit","1926WS1.EVA.regular.comment.csv",10
"WS1192607211",53,"$Myer's ball richocheted off Wells's instep and deflected to Blue","1926WS1.EVA.regular.comment.csv",11
"WS1192607211",55,"$Wells left the game because of his injured foot","1926WS1.EVA.regular.comment.csv",12
"WS1192608111",63,"ej,harrb106,P,owenb901,Call at 2B Bucky Harris ejected by 3B umpire Brick Owens","1926WS1.EVA.regular.comment.csv",13
"WS1192608112",0,"$Bucky Harris unable to play due to ejection in game 1","1926WS1.EVA.regular.comment.csv",14
"WS1192608112",31,"$Myer left after head-on collision with Gehrig","1926WS1.EVA.regular.comment.csv",15
"WS1192608150",52,"ej,simma101,P,dinnb101,Call at HP Al Simmons ejected by HP umpire Bill Dinneen","1926WS1.EVA.regular.comment.csv",16
"WS1192608150",52,"Not certain when Welch entered.","1926WS1.EVA.regular.comment.csv",17
"WS1192608261",7,"$no SH awarded","1926WS1.EVA.regular.comment.csv",18
"WS1192608261",42,"$Willie Kamm and Red Faber let the ball roll, hoping it would go foul","1926WS1.EVA.regular.comment.csv",19
"WS1192608262",60,"pbp account ends here, rest deduced","1926WS1.EVA.regular.comment.csv",20
"WS1192608262",73,"$Kamm tried to steal third while Coveleski was talking on mound with manager Harris, but Covelski saw him and made good throw to third for the out","1926WS1.EVA.regular.comment.csv",21
"WS1192608270",35,"$Bluege injured while running in previous inning","1926WS1.EVA.regular.comment.csv",22
