"NYA198304130",43,"ej,winfd001,P,fordd901,Charging mound after brushback $a pitch was over Dave Winfield's head; he charged the mound and swung at Dave Rozema; Winfield ejected by HP umpire Dale Ford","FILENAME_TX","LINE_NUMBER_CT"
"NYA198304150",8,"ej,martb105,M,voltv901,Balls and strikes Yankees manager Billy Martin ejected by HP umpire Vic Voltaggio","1983NYA.EVA.regular.comment.csv",2
"NYA198304150",12,"SB may be Collins at bat","1983NYA.EVA.regular.comment.csv",3
"NYA198304150",56,"SB may be with Mumphrey or Nettles at bat","1983NYA.EVA.regular.comment.csv",4
"NYA198304170",49,"$Dave Collins crashed into wall making the catch","1983NYA.EVA.regular.comment.csv",5
"NYA198305140",59,"$Lou Piniella rounded 2B too far","1983NYA.EVA.regular.comment.csv",6
"NYA198305150",60,"$two runners score on sac fly","1983NYA.EVA.regular.comment.csv",7
"NYA198305270",2,"SB may be with Almon at bat","1983NYA.EVA.regular.comment.csv",8
"NYA198305270",9,"ej,winfd001,P,cousd901,Fight after brushback pitch Dave Winfield ejected by HP umpire Derryl Cousins for charging the mound after brushback","1983NYA.EVA.regular.comment.csv",9
"NYA198305270",20,"SB may be later","1983NYA.EVA.regular.comment.csv",10
"NYA198305270",51,"Perhaps Lopes did not advance on the ground out","1983NYA.EVA.regular.comment.csv",11
"NYA198305270",59,"WP may be with Baylor at bat","1983NYA.EVA.regular.comment.csv",12
"NYA198305270",66,"Debut game for Luis Quinones","1983NYA.EVA.regular.comment.csv",13
"NYA198305280",30,"WP may be later","1983NYA.EVA.regular.comment.csv",14
"NYA198305290",38,"SB2 may be with Almon at bat","1983NYA.EVA.regular.comment.csv",15
"NYA198305290",48,"ej,murpd002,P,shulj901,Complaining about field conditions ej,boyec102,C,shulj901,Field conditions - brought umpbrella $Athletics Murphy and coach Boyer ejected by HP umpire Shulock for arguing about playing conditions; Boyer came out with umbrella","1983NYA.EVA.regular.comment.csv",16
"NYA198305300",26,"35 minute rain delay","1983NYA.EVA.regular.comment.csv",17
"NYA198305300",43,"Either or both SB may be later","1983NYA.EVA.regular.comment.csv",18
"NYA198305300",81,"ej,loped001,P,cousd901,Call at 1B $Athletics Lopes ejected by 1B umpire Cousins for Arguing that Campaneris was out at 1st","1983NYA.EVA.regular.comment.csv",19
