"ATL198004200",11,"$Ray Knight left with cut on shin needing 27 stitches"FILENAME_TX","LINE_NUMBER_CT"

"ATL198004270",51,"ej,cox-b103,M,kiblj901,Call at 1B ej,aarot101,C,kiblj901,Call at 1B Braves manager Bobby Cox and coach Tommie Aaron ejected by 1B umpire John Kibler"1980ATL.EVN.regular.comment.csv",2

"ATL198005130",53,"ej,bowal001,P,fiels901,Balls and strikes Larry Bowa ejected by HP umpire Steve Fields"1980ATL.EVN.regular.comment.csv",3

"ATL198007060",77,"$Phil Niekro's 30th and last save"1980ATL.EVN.regular.comment.csv",4

"ATL198007160",2,"$Frank Taveras called for batter interference"1980ATL.EVN.regular.comment.csv",5

"ATL198008040",80,"Debut game for Rafael Ramirez"1980ATL.EVN.regular.comment.csv",6

"ATL198008060",13,"$Don Sutton called for interference"1980ATL.EVN.regular.comment.csv",7

"ATL198008060",71,"ej,cox-b103,M,dalej901,Call at 2B (Spitting in umpire's face) Braves Manager Bobby Cox ejected by 2B umpire Jerry Dale for arguing the call at 2B; Cox spat at Dale"1980ATL.EVN.regular.comment.csv",8

"ATL198008220",62,"$Terry Kennedy caught the ball over the wall, bringing back a home run"1980ATL.EVN.regular.comment.csv",9

"ATL198008230",49,"$Garry Templeton left with undisplaced break of the right index finger"1980ATL.EVN.regular.comment.csv",10

"ATL198009120",6,"Debut game for Terry Harper"1980ATL.EVN.regular.comment.csv",11

"ATL198009140",17,"$Doyle Alexander out on appeal for missing 3B"1980ATL.EVN.regular.comment.csv",12

"ATL198009150",48,"Debut game for Fernando Valenzuela"1980ATL.EVN.regular.comment.csv",13

"ATL198009250",29,"46 minute rain delay sometime this inning"1980ATL.EVN.regular.comment.csv",14

"ATL198009250",46,"ej,cox-b103,M,froeb901,Balls and strikes Braves Manager Bobby Cox ejected by HP umpire Bruce Froemming"1980ATL.EVN.regular.comment.csv",15

