"PIT201904010",10,"Mound Visit"FILENAME_TX","LINE_NUMBER_CT"

"PIT201904010",22,"Injury Delay"2019PIT.EVN.regular.comment.csv",2

"PIT201904010",33,"$Pirates challenged call that Fowler was safe at 2nd; call was overturne - caught stealing"2019PIT.EVN.regular.comment.csv",3

"PIT201904010",51,"Injury Delay"2019PIT.EVN.regular.comment.csv",4

"PIT201904010",53,"Mound Visit"2019PIT.EVN.regular.comment.csv",5

"PIT201904010",54,"Mound Visit"2019PIT.EVN.regular.comment.csv",6

"PIT201904010",59,"On-field Delay umpchange,7,umphome,carav901 umpchange,7,ump2b,(None) $Plate umpire Layne left after taking two pitches on mask, 2B umpire Carapazza went behind plate and game was finished with 3 umpires"2019PIT.EVN.regular.comment.csv",7

"PIT201904010",63,"Mound Visit"2019PIT.EVN.regular.comment.csv",8

"PIT201904010",64,"Mound Visit"2019PIT.EVN.regular.comment.csv",9

"PIT201904010",70,"Mound Visit"2019PIT.EVN.regular.comment.csv",10

"PIT201904010",93,"ej,carpm002,P,carav901,Arguing 3rd strike $Carpenter eject by plate umpire Carapazza for arguing 3rd strike"2019PIT.EVN.regular.comment.csv",11

"PIT201904010",96,"Mound Visit"2019PIT.EVN.regular.comment.csv",12

"PIT201904010",97,"Mound Visit"2019PIT.EVN.regular.comment.csv",13

"PIT201904030",28,"Mound Visit"2019PIT.EVN.regular.comment.csv",14

"PIT201904030",35,"$fan interference"2019PIT.EVN.regular.comment.csv",15

"PIT201904030",42,"Injury Delay"2019PIT.EVN.regular.comment.csv",16

"PIT201904030",61,"Mound Visit Mound Visit"2019PIT.EVN.regular.comment.csv",17

"PIT201904030",64,"Mound Visit"2019PIT.EVN.regular.comment.csv",18

"PIT201904030",71,"Mound Visit $Cardinals challenged call that Gonzalez was safe at 2nd; call was upheld - stolen base"2019PIT.EVN.regular.comment.csv",19

"PIT201904030",75,"Mound Visit"2019PIT.EVN.regular.comment.csv",20

"PIT201904030",76,"Mound Visit"2019PIT.EVN.regular.comment.csv",21

"PIT201904030",77,"Mound Visit"2019PIT.EVN.regular.comment.csv",22

"PIT201904030",85,"Mound Visit"2019PIT.EVN.regular.comment.csv",23

"PIT201904030",86,"Mound Visit"2019PIT.EVN.regular.comment.csv",24

"PIT201904030",87,"Mound Visit"2019PIT.EVN.regular.comment.csv",25

"PIT201904040",35,"Mound Visit"2019PIT.EVN.regular.comment.csv",26

"PIT201904040",46,"Mound Visit"2019PIT.EVN.regular.comment.csv",27

"PIT201904040",55,"Mound Visit"2019PIT.EVN.regular.comment.csv",28

"PIT201904040",58,"$Reds challenged call that Puig was out at 1st; call was upheld - ground out"2019PIT.EVN.regular.comment.csv",29

"PIT201904040",61,"Mound Visit"2019PIT.EVN.regular.comment.csv",30

"PIT201904040",68,"Mound Visit"2019PIT.EVN.regular.comment.csv",31

"PIT201904050",46,"Mound Visit"2019PIT.EVN.regular.comment.csv",32

"PIT201904050",49,"Mound Visit"2019PIT.EVN.regular.comment.csv",33

"PIT201904050",55,"$Reds challenged call that Shuck was safe at 1st; call was upheld - single"2019PIT.EVN.regular.comment.csv",34

"PIT201904050",64,"$Umpire review confirms ground out to end game"2019PIT.EVN.regular.comment.csv",35

"PIT201904060",14,"Mound Visit"2019PIT.EVN.regular.comment.csv",36

"PIT201904060",16,"$Reds challenged call that Newman was safe at home; call was overturned - out at home on fielder's choice"2019PIT.EVN.regular.comment.csv",37

"PIT201904060",21,"Mound Visit"2019PIT.EVN.regular.comment.csv",38

"PIT201904060",23,"Mound Visit"2019PIT.EVN.regular.comment.csv",39

"PIT201904060",24,"$Pirates challenged call that Puig was safe at 2nd; call was overturned - out to complete double play"2019PIT.EVN.regular.comment.csv",40

"PIT201904060",48,"Mound Visit"2019PIT.EVN.regular.comment.csv",41

"PIT201904060",52,"Mound Visit"2019PIT.EVN.regular.comment.csv",42

"PIT201904060",53,"Mound Visit Mound Visit"2019PIT.EVN.regular.comment.csv",43

"PIT201904060",55,"Mound Visit"2019PIT.EVN.regular.comment.csv",44

"PIT201904060",63,"$Umpire review of ball hit by Votto; call was upheld - homer"2019PIT.EVN.regular.comment.csv",45

"PIT201904060",76,"$Reds challenged call that Reyes was safe at 1st; call was overturned - out on pickoff"2019PIT.EVN.regular.comment.csv",46

"PIT201904070",10,"Mound Visit"2019PIT.EVN.regular.comment.csv",47

"PIT201904070",25,"On-field Delay"2019PIT.EVN.regular.comment.csv",48

"PIT201904070",25,"ej,belld002,M,kellj901,Fighting ej,puigy001,P,kellj901,Fighting ej,garra001,P,kellj901,Fighting ej,kelak001,P,kellj901,Fighting ej,rivef001,P,kellj901,Fighting $Reds manager Bell and players Puig and Garrett ejected by HP umpire Kellogg along with Pirates Kela and Velazquez for fighting; incident started when first pitch to Dietrich was behind him in retaliation for his admiring a long home run in previous at bat"2019PIT.EVN.regular.comment.csv",49

"PIT201904070",32,"Mound Visit"2019PIT.EVN.regular.comment.csv",50

"PIT201904070",34,"Mound Visit"2019PIT.EVN.regular.comment.csv",51

"PIT201904070",44,"Mound Visit"2019PIT.EVN.regular.comment.csv",52

"PIT201904070",69,"Mound Visit"2019PIT.EVN.regular.comment.csv",53

"PIT201904190",10,"Mound Visit"2019PIT.EVN.regular.comment.csv",54

"PIT201904190",47,"$Lyles left with injured hand"2019PIT.EVN.regular.comment.csv",55

"PIT201904190",51,"Mound Visit"2019PIT.EVN.regular.comment.csv",56

"PIT201904190",57,"Injury Delay"2019PIT.EVN.regular.comment.csv",57

"PIT201904190",58,"Mound Visit"2019PIT.EVN.regular.comment.csv",58

"PIT201904190",59,"Mound Visit"2019PIT.EVN.regular.comment.csv",59

"PIT201904200",34,"Mound Visit"2019PIT.EVN.regular.comment.csv",60

"PIT201904200",35,"Mound Visit"2019PIT.EVN.regular.comment.csv",61

"PIT201904200",41,"$Game called for rain"2019PIT.EVN.regular.comment.csv",62

"PIT201904210",12,"Mound Visit"2019PIT.EVN.regular.comment.csv",63

"PIT201904210",42,"On-field Delay"2019PIT.EVN.regular.comment.csv",64

"PIT201904210",50,"Mound Visit"2019PIT.EVN.regular.comment.csv",65

"PIT201904210",57,"On-field Delay"2019PIT.EVN.regular.comment.csv",66

"PIT201904210",70,"Mound Visit"2019PIT.EVN.regular.comment.csv",67

"PIT201904220",8,"Mound Visit"2019PIT.EVN.regular.comment.csv",68

"PIT201904220",42,"Mound Visit"2019PIT.EVN.regular.comment.csv",69

"PIT201904220",45,"Mound Visit"2019PIT.EVN.regular.comment.csv",70

"PIT201904220",50,"Mound Visit"2019PIT.EVN.regular.comment.csv",71

"PIT201904220",55,"Mound Visit"2019PIT.EVN.regular.comment.csv",72

"PIT201904220",56,"Mound Visit"2019PIT.EVN.regular.comment.csv",73

"PIT201904220",56,"Mound Visit"2019PIT.EVN.regular.comment.csv",74

"PIT201904220",61,"Mound Visit"2019PIT.EVN.regular.comment.csv",75

"PIT201904220",62,"Mound Visit"2019PIT.EVN.regular.comment.csv",76

"PIT201904220",70,"Injury Delay"2019PIT.EVN.regular.comment.csv",77

"PIT201904220",70,"$Burdi collapsed to ground in tears after 2nd pitch to Dyson; diagnosis was injured elbow/biceps; Liriano completed walk charged to Burdi"2019PIT.EVN.regular.comment.csv",78

"PIT201904230",24,"Mound Visit"2019PIT.EVN.regular.comment.csv",79

"PIT201904230",29,"Injury Delay Reynolds left with an injured leg"2019PIT.EVN.regular.comment.csv",80

"PIT201904230",40,"Mound Visit"2019PIT.EVN.regular.comment.csv",81

"PIT201904230",41,"$Diamondbacks challenged call that Dyson was out at home; call was overturned - safe on fielder's choice"2019PIT.EVN.regular.comment.csv",82

"PIT201904230",51,"Mound Visit"2019PIT.EVN.regular.comment.csv",83

"PIT201904230",61,"Mound Visit"2019PIT.EVN.regular.comment.csv",84

"PIT201904230",70,"Mound Visit"2019PIT.EVN.regular.comment.csv",85

"PIT201904240",16,"Mound Visit"2019PIT.EVN.regular.comment.csv",86

"PIT201904240",43,"Mound Visit"2019PIT.EVN.regular.comment.csv",87

"PIT201904240",58,"Mound Visit"2019PIT.EVN.regular.comment.csv",88

"PIT201904240",68,"Mound Visit"2019PIT.EVN.regular.comment.csv",89

"PIT201904250",61,"Mound Visit"2019PIT.EVN.regular.comment.csv",90

"PIT201905030",12,"Injury Delay"2019PIT.EVN.regular.comment.csv",91

"PIT201905030",13,"Mound Visit"2019PIT.EVN.regular.comment.csv",92

"PIT201905030",26,"Mound Visit"2019PIT.EVN.regular.comment.csv",93

"PIT201905030",27,"Mound Visit"2019PIT.EVN.regular.comment.csv",94

"PIT201905030",37,"Mound Visit"2019PIT.EVN.regular.comment.csv",95

