"SLN196704150",73,"Debut game for Bruce Brubaker","FILENAME_TX","LINE_NUMBER_CT"
"SLN196704280",16,"$Matty Alou rounded 1B too far","1967SLN.EVN.regular.comment.csv",2
"SLN196706050",46,"missing fielding in SLN196706050","1967SLN.EVN.regular.comment.csv",3
"SLN196706240",5,"$Lou Brock called for interference when he ran into his own batted ball","1967SLN.EVN.regular.comment.csv",4
"SLN196706240",16,"Tim McCarver left with injured finger","1967SLN.EVN.regular.comment.csv",5
"SLN196707030",25,"$Don Nottebart decked Julian Javier","1967SLN.EVN.regular.comment.csv",6
"SLN196707030",35,"$Bob Gibson decked Tony Perez","1967SLN.EVN.regular.comment.csv",7
"SLN196707030",36,"ej,lee-b104,P,,Fighting $as Tony Perez crossed the diamond going back to the bench, he said something to Bob Gibson; both benches cleared and Orlando Cepeda got between Perez and Gibson; a brawl ensued; Bob Lee ran in from the bullpen and punched Cepeda; Lee ejected by HP umpire Frank Secory","1967SLN.EVN.regular.comment.csv",8
"SLN196707130",8,"$Bobby Tolan called for interference when he ran into his own batted ball","1967SLN.EVN.regular.comment.csv",9
"SLN196707150",24,"$Bob Gibson suffered a broken leg when struck by the line drive; he faced three more batters","1967SLN.EVN.regular.comment.csv",10
"SLN196707240",51,"51 minute rain delay top of 7th","1967SLN.EVN.regular.comment.csv",11
"SLN196708080",6,"ej,cepeo101,P,lands901,Balls and strikes (Profanity) Orlando Cepeda ejected by HP umpire Stan Landes","1967SLN.EVN.regular.comment.csv",12
"SLN196708160",75,"ej,santr102,P,steim901,Call at 1B ej,durol101,M,steim901,Call at 1B $Cubs Santo and manager Durocher ejected by 1B umpire Steiner for arguing that Javier was out at 1st","1967SLN.EVN.regular.comment.csv",13
"SLN196709010",8,"Julian Javier left with back spasms","1967SLN.EVN.regular.comment.csv",14
"SLN196709030",3,"$Don Wilson injured his arm warming up","1967SLN.EVN.regular.comment.csv",15
"SLN196709030",42,"$Dave Adlesh called for interference when he ran into his own batted ball","1967SLN.EVN.regular.comment.csv",16
"SLN196709120",16,"missed squeeze","1967SLN.EVN.regular.comment.csv",17
