"PHA192305240",41,"$Hit on the elbow","FILENAME_TX","LINE_NUMBER_CT"
"PHA192305250",31,"$Schang actually had made it back to 3B safely, but Ward also was approaching 3B, forcing Schang off the bag again.","1923PHA.EVA.regular.comment.csv",2
"PHA192305250",66,"$BOUNCE HR","1923PHA.EVA.regular.comment.csv",3
"PHA192306080",15,"$Pat Collins in as a courtesy runner as Homer Ezzell needed to go to the bathroom","1923PHA.EVA.regular.comment.csv",4
"PHA192306180",8,"Matthews kicked lustily on Holmes' decision and was ejected","1923PHA.EVA.regular.comment.csv",5
"PHA192306190",74,"pbp account ends here, rest deduced","1923PHA.EVA.regular.comment.csv",6
"PHA192306190",75,"$Heimach left with an injured back","1923PHA.EVA.regular.comment.csv",7
"PHA192308011",67,"$Matthews picked up the first ball pitched and showed it to Moriarty.  Danforth was immediately ejected because ball had been tampered with.  The Browns rushed in and protested the decision but to no avail.","1923PHA.EVA.regular.comment.csv",8
"PHA192308080",78,"pbp account ends here, rest deduced","1923PHA.EVA.regular.comment.csv",9
"PHA192308090",37,"$overthrow of 1st so no continuous play and no DP","1923PHA.EVA.regular.comment.csv",10
"PHA192308090",72,"pbp account ends here, rest deduced","1923PHA.EVA.regular.comment.csv",11
"PHA192309251",60,"$Wamby collided with Hauser, forcing him to drop the foul pop.  Ump Moriarty ordered him out for interference.","1923PHA.EVA.regular.comment.csv",12
