"LAN196604120",35,"$Robin Roberts called for interference for running into his own bunt"FILENAME_TX","LINE_NUMBER_CT"

"LAN196604140",1,"Debut game for Don Sutton"1966LAN.EVN.regular.comment.csv",2

"LAN196604140",54,"Debut game for Nate Colbert"1966LAN.EVN.regular.comment.csv",3

"LAN196604160",38,"Tommy Davis left with pulled leg muscle"1966LAN.EVN.regular.comment.csv",4

"LAN196604260",54,"Debut game for Jimy Williams"1966LAN.EVN.regular.comment.csv",5

"LAN196604270",26,"Debut game for Herb Hippauf"1966LAN.EVN.regular.comment.csv",6

"LAN196605170",103,"$Ollie Brown threw into the Dodger dugout trying to get Maury Wills"1966LAN.EVN.regular.comment.csv",7

"LAN196605180",72,"$missed squeeze play"1966LAN.EVN.regular.comment.csv",8

"LAN196605190",43,"$overthrow to 2B backed up by Willie Davis"1966LAN.EVN.regular.comment.csv",9

"LAN196605200",39,"ej,kennj105,P,gormt101,Balls and strikes (ejected from bench) $Dodgers Kennedy, not in game, ejected by HP umpire Gorman from dugout for arguing balls and strikes while Pagliaroni at bat"1966LAN.EVN.regular.comment.csv",10

"LAN196605230",68,"ej,paglj101,P,willb901,Balls and strikes Jim Pagliaroni ejected by HP umpire Bill Williams"1966LAN.EVN.regular.comment.csv",11

"LAN196605270",39,"Ron Fairly left with bruised rib under left armpit"1966LAN.EVN.regular.comment.csv",12

"LAN196605280",27,"$Lou Johnson called for interference for running into his own bunt"1966LAN.EVN.regular.comment.csv",13

"LAN196606130",78,"$Tommy Davis called for interference for running outside baseline"1966LAN.EVN.regular.comment.csv",14

"LAN196606180",19,"Debut game for Dick Dietz"1966LAN.EVN.regular.comment.csv",15

"LAN196607050",15,"Debut game for Jim Barbieri"1966LAN.EVN.regular.comment.csv",16

"LAN196607250",22,"$Don Sutton spiked Tony Taylor at 1B"1966LAN.EVN.regular.comment.csv",17

"LAN196607250",29,"ej,johnl104,P,engeb901,Called third strike (threw bat) $Johnson ejected by HP umpire Engel for arguing called strike 3 and throwing bat"1966LAN.EVN.regular.comment.csv",18

"LAN196607270",38,"ej,rojac101,P,burkk101,Called third strike $Cookie Rojas ejected by HP umpire Ken Burkhart for arguing called third strike"1966LAN.EVN.regular.comment.csv",19

"LAN196607270",83,"$Bob Uecker ran Willie Davis back to 3B where Wes Parker had advanced"1966LAN.EVN.regular.comment.csv",20

"LAN196608120",43,"ej,durol101,M,jackb901,Balls and strikes $Cubs manager Durocher ejected by HP umpire Jackowski for arguing called strike to Williams"1966LAN.EVN.regular.comment.csv",21

"LAN196608130",72,"$Ron Santo out on appeal; he had run past 2B and failed to retouch it"1966LAN.EVN.regular.comment.csv",22

"LAN196609050",20,"Don Sutton left with injured forearm"1966LAN.EVN.regular.comment.csv",23

"LAN196609050",58,"$Willie Mays had Junior Gilliam doubled off 1B, but threw wildly; Mays hurt groin on play"1966LAN.EVN.regular.comment.csv",24

"LAN196609070",71,"Debut game for Frank Johnson"1966LAN.EVN.regular.comment.csv",25

"LAN196609090",62,"Debut game for Bob Watson"1966LAN.EVN.regular.comment.csv",26

"LAN196609112",6,"ej,gillj102,P,engeb901,Called strike 3 $Gilliam ejected by HP umpire Engel for arguing strike 3"1966LAN.EVN.regular.comment.csv",27

"LAN196609112",60,"ej,fox-n101,C,secof101,Call at 1B ej,batej102,P,secof101,Call at 1B ej,hattg101,M,secof101,Call at 1B $Astros coach Fox, catcher Batemen (not in game) and manager Hatton ejected by 1B umpire Secory for arguing Staub was safe"1966LAN.EVN.regular.comment.csv",28

"LAN196609120",51,"$Bud Harrelson caught Lou Johnson with the hidden ball trick"1966LAN.EVN.regular.comment.csv",29

"LAN196609150",59,"Debut game for Jim Shellenback"1966LAN.EVN.regular.comment.csv",30

"LAN196609160",68,"Debut game for Tom Hutton"1966LAN.EVN.regular.comment.csv",31

"LAN196609200",69,"Debut game for Jim Campanis"1966LAN.EVN.regular.comment.csv",32

