"CHA198904140",19,"$Greg Walker reaggravated his pulled hip muscle","FILENAME_TX","LINE_NUMBER_CT"
"CHA198904140",57,"$Luis Polonia scored on popup when Steve Lyons did not pay attention","1989CHA.EVA.regular.comment.csv",2
"CHA198904150",69,"$Barry Jones pulled muscle","1989CHA.EVA.regular.comment.csv",3
"CHA198904170",36,"$Eddie Williams called out for running into catcher Lacne Parrish after bunt","1989CHA.EVA.regular.comment.csv",4
"CHA198904210",5,"$Dave Gallagher called for interference with catcher after bunt","1989CHA.EVA.regular.comment.csv",5
"CHA198904210",15,"$pop fly dropped in","1989CHA.EVA.regular.comment.csv",6
"CHA198904220",36,"$missed squeeze play","1989CHA.EVA.regular.comment.csv",7
"CHA198905230",16,"$botched pickoff","1989CHA.EVA.regular.comment.csv",8
"CHA198905230",30,"Debut game for Jack Hardy","1989CHA.EVA.regular.comment.csv",9
"CHA198905310",1,"Debut game for Greg Hibbard","1989CHA.EVA.regular.comment.csv",10
"CHA198905310",20,"$Jeff Robinson injured on ball 4 to Dave Gallagher","1989CHA.EVA.regular.comment.csv",11
"CHA198905310",72,"rain delay during Pettis' at bat","1989CHA.EVA.regular.comment.csv",12
"CHA198906020",0,"Debut for umpire Gary Cederstrom","1989CHA.EVA.regular.comment.csv",13
"CHA198906190",78,"Debut game for Dana Williams","1989CHA.EVA.regular.comment.csv",14
"CHA198907190",43,"ej,elial101,C,younl901,Call at 3B Yankees coach Lee Elia ejected by 3B umpire Larry Young","1989CHA.EVA.regular.comment.csv",15
"CHA198908060",1,"ej,mormr001,P,pales901,Call at 1B Russ Morman ejected by 1B umpire Steve Palermo","1989CHA.EVA.regular.comment.csv",16
"CHA198908080",24,"46 minute rain delay","1989CHA.EVA.regular.comment.csv",17
"CHA198908100",11,"$Tony Phillips batted out of turn in Hassey's place but made an out","1989CHA.EVA.regular.comment.csv",18
"CHA198908100",15,"$Tony Phillips batted out of turn again; this time for Gallego","1989CHA.EVA.regular.comment.csv",19
"CHA198908100",56,"$Ozzie Guillen bunted ball over infield for base hit","1989CHA.EVA.regular.comment.csv",20
"CHA198908160",15,"No advance on pop fly single, fearing it might be caught","1989CHA.EVA.regular.comment.csv",21
"CHA198908190",83,"$Steve Buechele let popped up bunt drop, got double play","1989CHA.EVA.regular.comment.csv",22
"CHA198909010",10,"$Bob Milacki messed up rundown, hit runner with throw","1989CHA.EVA.regular.comment.csv",23
"CHA198909040",15,"60 minute rain delay","1989CHA.EVA.regular.comment.csv",24
"CHA198909040",71,"$Lee Mazzilli hurt going to 3B","1989CHA.EVA.regular.comment.csv",25
"CHA198909151",11,"$Claudell Washington lost the ball in the sun","1989CHA.EVA.regular.comment.csv",26
"CHA198909160",13,"umpchange,2,ump1b,pales901 umpchange,2,ump2b,(None) $1B umpire Joyce left when hit on wrist by ground ball; 2B umpire Palermo moved to 1st","1989CHA.EVA.regular.comment.csv",27
"CHA198909160",25,"umpchange,4,ump1b,joycj901 umpchange,4,ump2b,pales901 $Umpire Joyce returned to 1st and Palermo back to 2nd","1989CHA.EVA.regular.comment.csv",28
"CHA198909250",67,"$foul tip hit catcher Brian Harper on the wrist","1989CHA.EVA.regular.comment.csv",29
