"PIT195504270",7,"Off Sauer's glove after lunging for it"FILENAME_TX","LINE_NUMBER_CT"

"PIT195504270",23,"Merriman fumbled"1955PIT.EVN.regular.comment.csv",2

"PIT195504270",31,"Off Miksis' glove"1955PIT.EVN.regular.comment.csv",3

"PIT195504280",69,"ej,freeg101,P,balll901,Called strike 3 $Pirate Freese ejected by HP umpire Ballanfant after game ended for arguing called strike 3 on Long"1955PIT.EVN.regular.comment.csv",4

"PIT195505011",48,"Into RF stands"1955PIT.EVN.regular.comment.csv",5

"PIT195505012",65,"Skipped past Virdon and rolled to the wall"1955PIT.EVN.regular.comment.csv",6

"PIT195505050",43,"$Roberto Clemente rounded 3B too far"1955PIT.EVN.regular.comment.csv",7

"PIT195505050",48,"ej,grimc101,M,dixoh901,Balls and strikes Braves Manager Charlie Grimm ejected by HP umpire Hal Dixon sometime in sixth"1955PIT.EVN.regular.comment.csv",8

"PIT195505222",77,"rain delay at 6:32 until 6:58, when the game was called for Sunday curfew; ruled a rain-shortened game"1955PIT.EVN.regular.comment.csv",9

"PIT195505240",67,"ej,newcd101,P,secof101,Balls and strikes Don Newcombe ejected by HP umpire Frank Secory"1955PIT.EVN.regular.comment.csv",10

"PIT195505260",54,"ej,alstw101,M,goetl901,Call at HP Dodgers Manager Walter Alston ejected by HP umpire Larry Goetz"1955PIT.EVN.regular.comment.csv",11

"PIT195505260",71,"$pitchout on an attempted squeeze; the ball got away from catcher Jack Shepard"1955PIT.EVN.regular.comment.csv",12

"PIT195505270",12,"$Dick Littlefield left with a sore arm"1955PIT.EVN.regular.comment.csv",13

"PIT195505280",6,"ej,semia101,P,donaa901,Called third strike Andy Seminick ejected by HP umpire Augie Donatelli"1955PIT.EVN.regular.comment.csv",14

"PIT195505280",90,"$Roman Mejias hit what was thought to be a game-winning single to CF but Gene Freese forgot to touch 2B before celebrating; Freese out on appeal, costing Mejias a hit"1955PIT.EVN.regular.comment.csv",15

"PIT195505291",0,"$Start of game delayed 40 minutes by rain"1955PIT.EVN.regular.comment.csv",16

"PIT195505291",11,"$Rain delay of 22 minutes"1955PIT.EVN.regular.comment.csv",17

"PIT195505291",24,"To the exit gate"1955PIT.EVN.regular.comment.csv",18

"PIT195505291",36,"Over the scoreboard"1955PIT.EVN.regular.comment.csv",19

"PIT195505292",0,"Suspend=19550708,,3,8,41"1955PIT.EVN.regular.comment.csv",20

"PIT195505292",64,"$Roberto Clemente removed to rest an injured ankle"1955PIT.EVN.regular.comment.csv",21

"PIT195505292",66,"umpchange,7,umphome,barla901 umpchange,7,ump1b,jackb901 umpchange,7,ump2b,lands901 umpchange,7,ump3b,balll901 suspended,19550708,PIT06,curfew $Game suspended at this point due to 7:00 PM curfew; resumed 7/8 with new umpires"1955PIT.EVN.regular.comment.csv",22

"PIT195505292",67,"rest of plays deduced from newspaper accounts"1955PIT.EVN.regular.comment.csv",23

"PIT195506051",68,"$Stan Palys rounded 1B too far"1955PIT.EVN.regular.comment.csv",24

"PIT195506070",50,"Debut game for Dave Hillman"1955PIT.EVN.regular.comment.csv",25

"PIT195506070",76,"$Cubs claimed Roberto Clemente swung when hit by pitch"1955PIT.EVN.regular.comment.csv",26

"PIT195506070",77,"9 minute rain delay"1955PIT.EVN.regular.comment.csv",27

"PIT195506110",45,"$Del Crandall fell into the Braves' dugout"1955PIT.EVN.regular.comment.csv",28

"PIT195506122",60,"$Johnny Logan called for interference for running into his own batted ball"1955PIT.EVN.regular.comment.csv",29

"PIT195506122",61,"$Nellie King struck on the chin"1955PIT.EVN.regular.comment.csv",30

"PIT195507061",34,"$lights turned on"1955PIT.EVN.regular.comment.csv",31

"PIT195507160",41,"$off top of LF tower"1955PIT.EVN.regular.comment.csv",32

"PIT195507160",47,"$Johnny O'Brien pulled leg muscle on double"1955PIT.EVN.regular.comment.csv",33

"PIT195507190",12,"strikeout could be later"1955PIT.EVN.regular.comment.csv",34

"PIT195507190",30,"strikeout could be later"1955PIT.EVN.regular.comment.csv",35

"PIT195508190",42,"$Willie Mays called for interference for bumping Dick Groat in basepath"1955PIT.EVN.regular.comment.csv",36

"PIT195508200",0,"10,401 Little League & Pony League guests also attended"1955PIT.EVN.regular.comment.csv",37

"PIT195508200",49,"Clemente dove and collided with E.O'Brien"1955PIT.EVN.regular.comment.csv",38

"PIT195508200",73,"Bounced off top of LCF fence, 410' away"1955PIT.EVN.regular.comment.csv",39

"PIT195508200",92,"$Giants 3bman Thompson slipped and fell between railing and tarp, was knocked unconscious, but remained in game"1955PIT.EVN.regular.comment.csv",40

"PIT195508200",94,"Gordon caught it near the scoreboard"1955PIT.EVN.regular.comment.csv",41

"PIT195508250",36,"$Walker Cooper rounded 1B too far"1955PIT.EVN.regular.comment.csv",42

"PIT195508250",37,"$Hardy Peterson suffered broken arm in collision at HP"1955PIT.EVN.regular.comment.csv",43

"PIT195508260",37,"FO could also be at 3B"1955PIT.EVN.regular.comment.csv",44

"PIT195508310",5,"$Stan Musial was in starting lineup to keep his consecutive game streak alive"1955PIT.EVN.regular.comment.csv",45

"PIT195509010",50,"$Jack Shepard's throw hit Bill Sarni in back of head during rundown"1955PIT.EVN.regular.comment.csv",46

"PIT195509250",46,"$Frank Kellert missed 3B and had to return"1955PIT.EVN.regular.comment.csv",47

