"CHN201610080",49,"replay,6,baezj001,CHN,hirsj901,CHI11,,Y,M,SFN,A $when Javier Baez was called safe at 2B, Giants manager Bruce Bochy challenged the ruling; the call was overturned by replay"FILENAME_TX","LINE_NUMBER_CT"

"SFN201610100",51,"replay,6,gillc001,SFN,hirsj901,SFO03,,N,M,SFN,C $when Conor Gillaspie was called out at 1B, Giants manager Bruce Bochy challenged the ruling; the call was upheld by replay"2016NLD1.EVE.post.comment.csv",2

"SFN201610100",97,"replay,12,almoa002,CHN,hirsj901,SFO03,,Y,M,SFN,D $when Denard Span was ruled not to have caught the sinking liner, Giants manager Bruce Bochy challenged the ruling; the call was overturned by replay"2016NLD1.EVE.post.comment.csv",3

"SFN201610100",106,"replay,13,rossd001,CHN,hirsj901,SFO03,,N,M,CHN,C $when David Ross was called out at 1B, Cubs manager Joe Maddon challenged the ruling; the call was upheld by replay"2016NLD1.EVE.post.comment.csv",4

"SFN201610110",21,"replay,3,spand001,SFN,hirsj901,SFO03,,Y,M,SFN,C $when Denard Span was called out at 1B, Giants manager Bruce Bochy challenged the ruling; the call was overturned by replay"2016NLD1.EVE.post.comment.csv",5

"SFN201610110",42,"replay,5,crawb001,SFN,hirsj901,SFO03,,N,U,,H $Brandon Crawford's fly to RF struck the concrete at the top of the wall and caromed back onto the field; the ball was ruled in play but crew chief John Hirschbeck requested a review; the call was upheld by replay"2016NLD1.EVE.post.comment.csv",6

