"WS1195104201",56,"Debut game for Gil McDougald"FILENAME_TX","LINE_NUMBER_CT"

"WS1195104202",1,"Debut game for Tom Morgan"1951WS1.EVA.regular.comment.csv",2

"WS1195104210",24,"Debut game for Alton Brown"1951WS1.EVA.regular.comment.csv",3

"WS1195104210",63,"$Gene Verble called for obstruction"1951WS1.EVA.regular.comment.csv",4

"WS1195105220",29,"$Bob Kuzava collided with Nellie Fox; Kuzava spiked on right heel"1951WS1.EVA.regular.comment.csv",5

"WS1195106120",52,"ej,yoste101,P,hubbc901,Balls and strikes Eddie Yost ejected by HP umpire Cal Hubbard"1951WS1.EVA.regular.comment.csv",6

"WS1195106141",46,"ej,minom101,P,papaj901,Call at 2B $Minoso ejected by 1B umpire Paparella for arguing he was safe on pickoff; he went out to right field, ready to start the next inning, but the umpire followed him and made the ejection there"1951WS1.EVA.regular.comment.csv",7

"WS1195107060",77,"ej,fainf101,P,mcgob901,Arguing foul ball $Fain ejected by HP umpire McGowan after striking out for arguing about ball called foul earlier in at bat"1951WS1.EVA.regular.comment.csv",8

"WS1195107260",48,"ej,grasm101,P,hurle901,Balls and strikes Mickey Grasso ejected by HP umpire Eddie Hurley"1951WS1.EVA.regular.comment.csv",9

"WS1195107291",4,"Debut game for Ben Taylor"1951WS1.EVA.regular.comment.csv",10

"WS1195108160",33,"Debut game for Dan Porter"1951WS1.EVA.regular.comment.csv",11

"WS1195109110",14,"Debut game for Frank Campos"1951WS1.EVA.regular.comment.csv",12

"WS1195109110",33,"ej,guerm102,P,hubbc901,Interference non-call Mike Guerra ejected by HP umpire Cal Hubbard claiming that Hubbard interfered with the throw to 2B"1951WS1.EVA.regular.comment.csv",13

"WS1195109110",35,"$Five Senators ordered from bench by HP umpire Hubbard for continuing to complain about Guerra's ejection; they not ejected and were eligible to return; they were: Johnson, Porterfield, Verble, Dente, and Hudson"1951WS1.EVA.regular.comment.csv",14

"WS1195109110",41,"ej,coang101,P,hubbc901,Bench jockeying $Gil Coan ejected by HP umpire Cal Hubbard"1951WS1.EVA.regular.comment.csv",15

"WS1195109110",70,"ej,richp101,M,hubbc901,Balls and strikes $White Sox Manager Paul Richards ejected by HP umpire Cal Hubbard sometime in eighth"1951WS1.EVA.regular.comment.csv",16

"WS1195109260",15,"Debut game for Sammy White"1951WS1.EVA.regular.comment.csv",17

