"ATL198804050",87,"$Gerald Perry called for interference when catcher Jody Davis' throw bounced off Perry's helmet to SS","FILENAME_TX","LINE_NUMBER_CT"
"ATL198804120",66,"Debut game for Gary Eave","1988ATL.EVN.regular.comment.csv",2
"ATL198804130",33,"ej,lanih101,M,davib902,Balk Astros manager Hal Lanier ejected by 1B umpire Bob Davidson","1988ATL.EVN.regular.comment.csv",3
"ATL198804220",34,"44 minute rain delay; bank of lights out as play resumes","1988ATL.EVN.regular.comment.csv",4
"ATL198804270",32,"$Darryl Strawberry lost ball in the sun","1988ATL.EVN.regular.comment.csv",5
"ATL198804270",33,"$infield in","1988ATL.EVN.regular.comment.csv",6
"ATL198805110",58,"$Johnny Paredes beaned","1988ATL.EVN.regular.comment.csv",7
"ATL198805270",67,"$Terry Pendleton pulled hamstring rounding 3B","1988ATL.EVN.regular.comment.csv",8
"ATL198805310",71,"15 minute delay due to power outage","1988ATL.EVN.regular.comment.csv",9
"ATL198806180",0,"35 minute rain delay at start","1988ATL.EVN.regular.comment.csv",10
"ATL198806190",68,"$Dennis Walling left with back spasms","1988ATL.EVN.regular.comment.csv",11
"ATL198806250",47,"40 minute rain delay","1988ATL.EVN.regular.comment.csv",12
"ATL198806260",44,"ej,browc002,P,hallt901,Called third strike Chris Brown ejected by HP umpire Tom Hallion","1988ATL.EVN.regular.comment.csv",13
"ATL198806280",1,"Debut game for German Jimenez","1988ATL.EVN.regular.comment.csv",14
"ATL198807050",41,"$Lance Parrish left with back strain","1988ATL.EVN.regular.comment.csv",15
"ATL198807060",43,"$Luis Aguayo called for obstruction on Jerry Royster","1988ATL.EVN.regular.comment.csv",16
"ATL198807100",18,"$Otis Nixon called for interference for being out of batters box while bunting","1988ATL.EVN.regular.comment.csv",17
"ATL198807150",56,"$Jerry Royster left game due to a back injury","1988ATL.EVN.regular.comment.csv",18
"ATL198807150",77,"ej,dyksl001,P,davib902,Call at 2B Lenny Dykstra ejected by 2B umpire Bob Davidson","1988ATL.EVN.regular.comment.csv",19
"ATL198807160",44,"$Lenny Dykstra tried to go back to 1B; called for interference on throw","1988ATL.EVN.regular.comment.csv",20
"ATL198807160",71,"$ball hit Paul Assenmacher on his left hand","1988ATL.EVN.regular.comment.csv",21
"ATL198807170",49,"$warnings issued to both benches","1988ATL.EVN.regular.comment.csv",22
"ATL198807170",52,"$Andres Thomas missed bag at 2B on DP attempt","1988ATL.EVN.regular.comment.csv",23
"ATL198807280",47,"$Bruce Benedict missed squeeze","1988ATL.EVN.regular.comment.csv",24
"ATL198808050",43,"Debut game for Jeff Brantley","1988ATL.EVN.regular.comment.csv",25
"ATL198808100",133,"$Marvel Wynne and Tony Gwynn collided","1988ATL.EVN.regular.comment.csv",26
"ATL198808110",23,"ej,morek001,P,bonig901,Checked swing for strike three Keith Moreland ejected by 1B umpire Greg Bonin arguing the checked swing for strike three","1988ATL.EVN.regular.comment.csv",27
"ATL198808270",41,"$infield in on Palmeiro's roller and Dawson can't score","1988ATL.EVN.regular.comment.csv",28
"ATL198808290",15,"$Terry Blocker called for interference; he swung and missed and got in the catcher's way","1988ATL.EVN.regular.comment.csv",29
"ATL198809020",18,"$Barry Bonds called for interference","1988ATL.EVN.regular.comment.csv",30
"ATL198809050",6,"DWS: FLE3 invented","1988ATL.EVN.regular.comment.csv",31
"ATL198809060",25,"Alfredo Griffin and Kirk Gibson thought ball four; Griffin out easily","1988ATL.EVN.regular.comment.csv",32
"ATL198809060",60,"Paul Assenmacher failed to cover 1B","1988ATL.EVN.regular.comment.csv",33
"ATL198809171",12,"Debut game for M Lemke","1988ATL.EVN.regular.comment.csv",34
"ATL198809200",1,"Debut game for L Blankenship","1988ATL.EVN.regular.comment.csv",35
"ATL198809230",16,"$Jose Rijo hurt shoulder","1988ATL.EVN.regular.comment.csv",36
"ATL198809250",20,"$Norm Charlton called for interference for running into his own bunt","1988ATL.EVN.regular.comment.csv",37
"ATL198809280",21,"$Casey Candaele's hit rolled away from Ron Gant to the dugout","1988ATL.EVN.regular.comment.csv",38
"ATL198809280",41,"$Tom Glavine missed suicide squeeze","1988ATL.EVN.regular.comment.csv",39
"ATL198809290",54,"$Gerald Young out for running out of baseline","1988ATL.EVN.regular.comment.csv",40
