"SLA194404260",48,"pbp account ends here, rest deduced"FILENAME_TX","LINE_NUMBER_CT"

"SLA194404270",49,"pbp account ends here, rest deduced"1944SLA.EVA.regular.comment.csv",2

"SLA194405020",7,"$Sundra left game with sore arm"1944SLA.EVA.regular.comment.csv",3

"SLA194405020",55,"pbp account ends here, rest deduced"1944SLA.EVA.regular.comment.csv",4

"SLA194405030",50,"pbp account ends here, rest deduced"1944SLA.EVA.regular.comment.csv",5

"SLA194405040",29,"$During Ross's at bat catcher Hayworth had his throwing hand injured by a foul; he left the game two innings later"1944SLA.EVA.regular.comment.csv",6

"SLA194405040",54,"pbp account ends here, rest deduced"1944SLA.EVA.regular.comment.csv",7

"SLA194405250",50,"pbp account ends here, rest deduced"1944SLA.EVA.regular.comment.csv",8

"SLA194405270",68,"pbp account ends here, rest deduced"1944SLA.EVA.regular.comment.csv",9

"SLA194405290",42,"pbp account ends here, rest deduced"1944SLA.EVA.regular.comment.csv",10

"SLA194405310",92,"$Myatt made a nice stop to his left and tried to roll the ball to Spence, but was off-target, allowing McQuinn to score"1944SLA.EVA.regular.comment.csv",11

"SLA194406010",51,"pbp account ends here, rest deduced"1944SLA.EVA.regular.comment.csv",12

"SLA194406030",62,"$Mills split his finger on a foul by Christman"1944SLA.EVA.regular.comment.csv",13

"SLA194406240",74,"3B dropped pop fly"1944SLA.EVA.regular.comment.csv",14

"SLA194407200",32,"ej,pottn102,P,hubbc901,Doctored ball (Spit ball) $Potter ejected by HP umpire Hubbard after several warnings about wetting his fingers between pitches; fans threw bottles on the field; after a 15 minute delay, play resumed."1944SLA.EVA.regular.comment.csv",15

"SLA194407232",63,"$Ball was deflected by 1bman (ruled a hit) and retrieved by 2bman who got runner from second at the plate"1944SLA.EVA.regular.comment.csv",16

"SLA194407240",42,"pbp account ends here, rest deduced"1944SLA.EVA.regular.comment.csv",17

"SLA194407240",54,"$Hubbard first called Zarilla out, then safe when Lake dropped the ball; Red Sox protested strenuously"1944SLA.EVA.regular.comment.csv",18

"SLA194409041",32,"Mack muffs throw and ball rolls to the stands"1944SLA.EVA.regular.comment.csv",19

"SLA194409041",44,"Post Distpatch says Kreevich hurt his shoulder when he hit RF wall, but does not say when. Gold Democrat says he Keltner's fly in 5th."1944SLA.EVA.regular.comment.csv",20

"SLA194409250",11,"$Major League debut for Babe Martin"1944SLA.EVA.regular.comment.csv",21

"SLA194409291",65,"$onto the pavillion roof"1944SLA.EVA.regular.comment.csv",22

"SLA194409291",67,"$Snuffy Stirnweiss failed to cover 2B"1944SLA.EVA.regular.comment.csv",23

"SLA194410010",63,"$onto the pavillion roof"1944SLA.EVA.regular.comment.csv",24

