"TOR200604070",44,"Devil Rays third baseman Jorge Cantu left the game due to an injured foot/ankle","FILENAME_TX","LINE_NUMBER_CT"
"TOR200604210",34,"Blue Jays pitcher A.J. Burnett left the game due to an injured elbow","2006TOR.EVA.regular.comment.csv",2
"TOR200605220",1,"fan interference","2006TOR.EVA.regular.comment.csv",3
"TOR200605220",65,"originally scored as FC, changed next day","2006TOR.EVA.regular.comment.csv",4
"TOR200605230",10,"fan interference","2006TOR.EVA.regular.comment.csv",5
"TOR200605300",51,"Blue Jays catcher Bengie Molina left the game due to an injured hand/wrist","2006TOR.EVA.regular.comment.csv",6
"TOR200605310",58,"Red Sox third baseman Mike Lowell left the game due to an injured leg","2006TOR.EVA.regular.comment.csv",7
"TOR200606130",27,"Orioles right fielder Jay Gibbons left the game due to an injured knee","2006TOR.EVA.regular.comment.csv",8
"TOR200606230",64,"Sanchez left after two pitches with 'jolt of pain' that went from his neck to fingertips","2006TOR.EVA.regular.comment.csv",9
"TOR200606240",11,"$Carlos Delgado out on appeal","2006TOR.EVA.regular.comment.csv",10
"TOR200606240",20,"$the first pitch to Troy Glaus was inside; HP umpire CB Bucknor warned both teams, which angered Orlando Hernandez; both managers went onto the fieldand Mets manager Willie Randolph talked to Hernandez to calm him down; since pitching coach Rick Peterson had already been to the mound, this was considered the second trip and Hernandez had to be removed from the game","2006TOR.EVA.regular.comment.csv",11
"TOR200606240",26,"Mets catcher Paul Lo Duca left the game due to an injured hand/wrist","2006TOR.EVA.regular.comment.csv",12
"TOR200606270",63,"fan interference","2006TOR.EVA.regular.comment.csv",13
"TOR200606290",35,"Nationals pitcher John Patterson left the game due to an injured arm","2006TOR.EVA.regular.comment.csv",14
"TOR200606300",38,"Blue Jays center fielder Vernon Wells left the game due to an injured leg","2006TOR.EVA.regular.comment.csv",15
"TOR200607160",32,"Blue Jays third baseman Troy Glaus left the game due to an injured knee","2006TOR.EVA.regular.comment.csv",16
"TOR200607180",66,"originally scored as E1, changed to single on 8-10","2006TOR.EVA.regular.comment.csv",17
"TOR200608050",30,"White Sox third baseman Joe Crede left the game due to an injured back","2006TOR.EVA.regular.comment.csv",18
"TOR200608260",32,"ej,bellb001,M,westj901,Check swing $Royals manager Bell ejected by HP umpire West for arguing a check swing ball called on Rios","2006TOR.EVA.regular.comment.csv",19
"TOR200609180",39,"ej,damoj001,P,millb901,Balls and strikes (from on deck circle) Yankees center fielder Johnny Damon ejected by HP umpire Bill Miller while Damon was in the on deck circle","2006TOR.EVA.regular.comment.csv",20
"TOR200609190",47,"Yankees first baseman Jason Giambi left the game due to an injured hand/wrist","2006TOR.EVA.regular.comment.csv",21
"TOR200609190",61,"Blue Jays pitcher Jason Frasor left the game due to an injured leg","2006TOR.EVA.regular.comment.csv",22
"TOR200609200",27,"Blue Jays pitcher Roy Halladay left the game due to an injured arm","2006TOR.EVA.regular.comment.csv",23
"TOR200609230",47,"ej,frant001,M,eddid901,Call at 2B $Red Sox manager Francona ejected by 2B umpire Eddings for arguing call that 2bman Pedroia was off bag when he caught ball","2006TOR.EVA.regular.comment.csv",24
