"LAN199604270",76,"ej,amalj101,C,davib902,Balk call Dodgers coach Joey Amalfitano ejected by 3B umpire Bob Davidson","FILENAME_TX","LINE_NUMBER_CT"
"LAN199605180",45,"$Roger Cedeno called for interference","1996LAN.EVN.regular.comment.csv",2
"LAN199607110",80,"Debut game for Dax Jones","1996LAN.EVN.regular.comment.csv",3
"LAN199608030",91,"ej,cox-b103,M,davib902,Called third strike ej,jonec004,P,davib902,Called third strike Chipper Jones and Braves manager Bobby Cox ejected by HP umpire Bob Davidson","1996LAN.EVN.regular.comment.csv",4
"LAN199609070",51,"Debut game for Rich Loiselle","1996LAN.EVN.regular.comment.csv",5
"LAN199609130",69,"ej,russb001,M,darlg901,Call at HP ej,wallt001,P,darlg901,Call at HP Tim Wallach and Dodgers manager Bill Russell ejected by HP umpire Gary Darling","1996LAN.EVN.regular.comment.csv",6
"LAN199609130",72,"ej,guthm001,P,darlg901,Call at HP Mark Guthrie ejected by HP umpire Gary Darling arguing the call at HP previously in the inning","1996LAN.EVN.regular.comment.csv",7
"LAN199609240",15,"Debut game for Wilson Delgado","1996LAN.EVN.regular.comment.csv",8
