"ATL199204090",80,"Debut game for Ben Rivera","FILENAME_TX","LINE_NUMBER_CT"
"ATL199204090",81,"Debut game for Jim McNamara","1992ATL.EVN.regular.comment.csv",2
"ATL199204270",54,"Ryne Sandberg left with bruised left knee","1992ATL.EVN.regular.comment.csv",3
"ATL199204290",10,"ej,trebt801,P,wendh901,Obstruction non-call $Cubs coach Trebelhorn ejected by 3B umpire Wendelstedt for arguing 3bman obstructed Grace before throwing him out","1992ATL.EVN.regular.comment.csv",4
"ATL199205010",14,"Vince Coleman left with strained left rib cage muscle","1992ATL.EVN.regular.comment.csv",5
"ATL199205020",54,"Ball hit off Glavine's leg","1992ATL.EVN.regular.comment.csv",6
"ATL199205030",64,"Eddie Murray's 400th career home run","1992ATL.EVN.regular.comment.csv",7
"ATL199205130",58,"ej,leylj801,M,hirsm901,Calls from previous game (Bumped umpire) $Pirates manager Leyland ejected by 3B umpire Hirschbeck for arguing balls and strikes from previous game; both became very agitated and were restrained; Leyland bumped Hirschbeck","1992ATL.EVN.regular.comment.csv",8
"ATL199205150",3,"Mike Bielecki left with lower back muscle spasms","1992ATL.EVN.regular.comment.csv",9
"ATL199205150",55,"$Damon Berryhill called for interference with catcher Gary Carter on steal attempt","1992ATL.EVN.regular.comment.csv",10
"ATL199206020",78,"ej,fregj101,M,wendh901,Call at HP $Phillies manager Fregosi ejected by HP umpire Wendelstedt for arguing Hollins was safe at home","1992ATL.EVN.regular.comment.csv",11
"ATL199206030",1,"49-minute rain delay","1992ATL.EVN.regular.comment.csv",12
"ATL199206120",0,"Debut for umpire Kerwin Danley","1992ATL.EVN.regular.comment.csv",13
"ATL199206170",25,"David Justice left with sore knee","1992ATL.EVN.regular.comment.csv",14
"ATL199206210",6,"Mark Lemke left with upset stomach","1992ATL.EVN.regular.comment.csv",15
"ATL199207050",33,"ej,cox-b103,M,hohnb901,Called third strike Braves manager Bobby Cox ejected by HP umpire Bill Hohn","1992ATL.EVN.regular.comment.csv",16
"ATL199207060",24,"ej,bonib001,P,wendh901,Balls and strikes Bobby Bonilla ejected by HP umpire Harry Wendelstedt after three pitches","1992ATL.EVN.regular.comment.csv",17
"ATL199207260",1,"Debut game for Paul Wagner","1992ATL.EVN.regular.comment.csv",18
"ATL199207260",38,"Deion Sanders removed to ice down hand","1992ATL.EVN.regular.comment.csv",19
"ATL199207290",4,"Eric Anthony left with a sore left elbow","1992ATL.EVN.regular.comment.csv",20
"ATL199208050",9,"Bip Roberts injured crashing into CF wall","1992ATL.EVN.regular.comment.csv",21
"ATL199208050",18,"Rafael Belliard dislocated little finger left hand","1992ATL.EVN.regular.comment.csv",22
"ATL199208080",13,"Tom Candiotti left with pain in his left knee","1992ATL.EVN.regular.comment.csv",23
"ATL199208080",77,"ej,smitl002,P,davig901,Checked swing Lonnie Smith ejected by HP umpire Gerry Davis arguing the check swing call for strike three","1992ATL.EVN.regular.comment.csv",24
"ATL199208100",40,"1 minute sprinker delay","1992ATL.EVN.regular.comment.csv",25
"ATL199208110",51,"1:10 rain delay at 9:26","1992ATL.EVN.regular.comment.csv",26
"ATL199208260",45,"52-minute rain delay","1992ATL.EVN.regular.comment.csv",27
"ATL199208260",67,"$ball was popup that hit ground first and runners held","1992ATL.EVN.regular.comment.csv",28
"ATL199209060",53,"Debut game for Keith Shepherd","1992ATL.EVN.regular.comment.csv",29
"ATL199209060",74,"ej,fregj101,M,bonig901,Call at 3B $Phillies manager Fregosi ejected by 3B umpire Bonin for arguing Amaro was safe at 3rd","1992ATL.EVN.regular.comment.csv",30
"ATL199209180",37,"Greg Olson fractured right ankle in collision at HP","1992ATL.EVN.regular.comment.csv",31
"ATL199209180",81,"Debut game for Javy Lopez","1992ATL.EVN.regular.comment.csv",32
"ATL199210022",42,"Craig Shipley and Jerald Clark injured in collision","1992ATL.EVN.regular.comment.csv",33
"ATL199210022",86,"Debut game for Pedro Borbon","1992ATL.EVN.regular.comment.csv",34
"ATL199210030",42,"Game called for rain after 1:20 delay","1992ATL.EVN.regular.comment.csv",35
