"ALS196007110",0,"$Managers: Walter Alston (NL Los Angeles), Al Lopez (AL Chicago); Rosters 30, not 25; starters chosen by managers, players and coaches; no voting for own team; reserves and pitchers chosen by Alston and Lopez"FILENAME_TX","LINE_NUMBER_CT"

"ALS196007110",46,"umpchange,5,umphome,boggd901 umpchange,5,ump1b.chyln901 umpchange,5,ump2b,gormt101 umpchange,5,ump3b,honoj901 $the umpires changed positions"1960AS.EVE.asg.comment.csv",2

"ALS196007110",53,"$the ball fell between Bill Mazeroski and Henry Aaron"1960AS.EVE.asg.comment.csv",3

"ALS196007110",77,"$Ken Boyer got to 3B but was returned to 2B because of fan interference"1960AS.EVE.asg.comment.csv",4

"ALS196007130",0,"$Managers: Walter Alston (NL Los Angeles), Al Lopez (AL Chicago)"1960AS.EVE.asg.comment.csv",5

"ALS196007130",37,"umpchange,5,umphome,gormt101 umpchange,5,ump1b,honoj901 umpchange,5,ump2b,boggd901 umpchange,5,ump3b,chyln901 $the umpires changed positions"1960AS.EVE.asg.comment.csv",6

