"ANA201204160",36,"originally scored as single and error, changed to double on 4-18"FILENAME_TX","LINE_NUMBER_CT"

"ANA201204180",63,"$Bartolo Colon threw 38 consecutive strikes from the fifth through the seventh innings"2012ANA.EVA.regular.comment.csv",2

"ANA201204220",42,"ej,showb801,M,campa901,Balls and strikes $the Orioles, especially Nick Markakis, had been upset with the strike zone during this series; after the first pitcher to Nick Markakis was called a strike, Markakis stepped out of the batter's box and walked around; Orioles Manager Buck Showalter came out of the dugout talking and was told by HP umpire Angel Campos to go back; when Showalter kept walking, he was ejected by Campos; Showalter, Campos and crew chief Dale Scott talk for a few minutes before Showalter left the field"2012ANA.EVA.regular.comment.csv",3

"ANA201204300",47,"Twins designated hitter Justin Morneau left the game due to an injured wrist"2012ANA.EVA.regular.comment.csv",4

"ANA201205020",0,"$Jered Weaver threw a no hitter, allowing one runner on a passed ball and one on a walk"2012ANA.EVA.regular.comment.csv",5

"ANA201205280",3,"Angels pitcher Jered Weaver left the game due to an injured back"2012ANA.EVA.regular.comment.csv",6

"ANA201206020",43,"$originally scored as E3, changed to double on 6-04-2012; then changed to single plus error on 6-07-2012; one run from earned to unearned"2012ANA.EVA.regular.comment.csv",7

"ANA201206020",61,"ej,torry001,P,mcclt901,Call at HP (threw mask) $Rangers catcher Yorvit Torrealba had to catch the throw on the 1B side of the plate and sweep a tag around; the tag appeared to be late and HP umpire Tim McClelland called Mike Trout safe; Torrealba threw his mask and was ejected by McClelland"2012ANA.EVA.regular.comment.csv",8

"ANA201206040",3,"$Angels catcher Bobby Wilson hit on the mask by a foul ball on the fifth pitch to Kyle Seager"2012ANA.EVA.regular.comment.csv",9

"ANA201206040",19,"Angels catcher Bobby Wilson left the game due to an injured head"2012ANA.EVA.regular.comment.csv",10

"ANA201206040",77,"$Originally scored as K+WP, changed to PB on 6-12-2012, makes subsequent run unearned"2012ANA.EVA.regular.comment.csv",11

"ANA201206220",63,"Angels pitcher Hisanori Takahashi left the game due to an injured hip"2012ANA.EVA.regular.comment.csv",12

"ANA201206240",46,"ej,sciom001,M,iassd901,Call at 3B Angels Manager Mike Scioscia ejected by 3B umpire Dan Iassogna"2012ANA.EVA.regular.comment.csv",13

"ANA201207210",66,"Angels shortstop Erick Aybar left the game due to an injured foot"2012ANA.EVA.regular.comment.csv",14

"ANA201207220",75,"$originally scored as E1, changed to single on 7-26-2012; makes run earned"2012ANA.EVA.regular.comment.csv",15

"ANA201207250",40,"ej,hochl001,P,davib902,Intentional HBP Royals pitcher Luke Hochevar ejected by HP umpire Bob Davidson"2012ANA.EVA.regular.comment.csv",16

"ANA201207270",17,"fan interference"2012ANA.EVA.regular.comment.csv",17

"ANA201208120",3,"ej,butcm001,C,estam901,Balls and strikes Angels Pitching Coach Mike Butcher ejected by HP umpire Mike Estabrook"2012ANA.EVA.regular.comment.csv",18

"ANA201208130",51,"Angels pitcher C. J. Wilson left the game due to an injured hand"2012ANA.EVA.regular.comment.csv",19

"ANA201208150",43,"umpchange,5,umphome,gonzm901 umpchange,5,ump1b,davig901 umpchange,5,ump2b,(None) $Torii Hunter attempted unsucessfully to dive around catcher Carlos Santana and avoid the tag; as Hunter reached out to touch HP, his feet swung around and the cleat on the heel of his left shoe struck HP umpire Greg Gibson at the left eye; Gibson fell on his stomach and after a few seconds lifted his head; the Angels trainers treated Gibson, who was bleeding around the eye, before taking him off the field; Gibson was stitched up and taken to the hospital for x-rays; no call was made on the play at HP until after Gibson left the field; 1B umpire Manny Gonzalez moved behind the plate and 2B umpire Gerry Davis moved to 1B"2012ANA.EVA.regular.comment.csv",20

"ANA201208160",8,"replay,2,zobrb001,TBA,cousd901,ANA01,I,N,I,,H Ben Zobrist's fly ball was touched by a fan over the wall and the ball caromed back onto the field; it was ruled a home run but the Angels asked about the call; crew chief Derryl Cousins watched the replay and upheld the call"2012ANA.EVA.regular.comment.csv",21

"ANA201208300",26,"Angels second baseman Howard Kendrick left the game due to an injured knee"2012ANA.EVA.regular.comment.csv",22

