"BAL201410100",70,"$Alex Gordon was struck on the neck"FILENAME_TX","LINE_NUMBER_CT"

"BAL201410110",54,"Royals pitcher Yordano Ventura left the game due to an injured shoulder"2014ALCS.EVE.post.comment.csv",2

"KCA201410140",40,"$Mike Moustakas fell into the dugout suites as he caught the ball"2014ALCS.EVE.post.comment.csv",3

