"MIL200304140",50,"Brewers Todd Ritchie left with injured neck/shoulder"FILENAME_TX","LINE_NUMBER_CT"

"MIL200304140",67,"Debut game for Kevin Ohme"2003MIL.EVN.regular.comment.csv",2

"MIL200304170",39,"Brewers Eric Young left the game due to an injured elbow."2003MIL.EVN.regular.comment.csv",3

"MIL200304190",65,"Brewers Alex Sanchez left the game due to an injured leg"2003MIL.EVN.regular.comment.csv",4

"MIL200305040",59,"ej,vandj001,P,iassd901,Balls and strikes Brewers John Vander Wal ejected by HP umpire Dan Iassogna"2003MIL.EVN.regular.comment.csv",5

"MIL200305150",129,"Debut game for Todd Wellemeyer"2003MIL.EVN.regular.comment.csv",6

"MIL200305230",0,"18 minute rain delay during game"2003MIL.EVN.regular.comment.csv",7

"MIL200306070",14,"$Red Sox Casey Fossum left the game due to an injured neck/shoulder"2003MIL.EVN.regular.comment.csv",8

"MIL200306100",24,"Infild Fly rule"2003MIL.EVN.regular.comment.csv",9

"MIL200306100",71,"Infild Fly rule"2003MIL.EVN.regular.comment.csv",10

"MIL200306180",24,"Brewers Wes Helms left the game due to an injured knee"2003MIL.EVN.regular.comment.csv",11

"MIL200306190",15,"Debut game for Bo Hart"2003MIL.EVN.regular.comment.csv",12

"MIL200306220",0,"10 minute delay during game"2003MIL.EVN.regular.comment.csv",13

"MIL200306220",48,"Twins pitcher Kenny Rogers left the game due to an injured leg"2003MIL.EVN.regular.comment.csv",14

"MIL200307040",18,"$Stynes left the game due to an injured arm on the hit by pitch in the first inning"2003MIL.EVN.regular.comment.csv",15

"MIL200307040",82,"ej,estrl001,P,carlm901,Balls and strikes ej,yoste001,M,carlm901,Balls and strikes $Pitcher Estrella and Brewers manager Yost ejected by HP umpire Carlson for arguing balls and strikes as Estrella was relieved"2003MIL.EVN.regular.comment.csv",16

"MIL200307070",8,"Brewers Scott Podsednik left the game due to an injured head He was cut under his right eye sliding into Kendall, took 6 stitches to close"2003MIL.EVN.regular.comment.csv",17

"MIL200307080",74,"ej,wills801,C,froeb901,Fair/foul call Pirates Coach Spin Williams ejected by HP umpire Bruce Froemming for arguing a foul ball call"2003MIL.EVN.regular.comment.csv",18

"MIL200307080",83,"ej,mccll001,M,wintm901,Checked swing Pirates Manager Lloyd McClendon ejected by 3B umpire Mike Winters for arguing a check swing call"2003MIL.EVN.regular.comment.csv",19

"MIL200308060",55,"Brewers Geoff Jenkins left the game due to an injured knee"2003MIL.EVN.regular.comment.csv",20

"MIL200308190",9,"Brewers Ben Sheets left the game due to an injured arm"2003MIL.EVN.regular.comment.csv",21

"MIL200308200",0,"19 minute delay during game"2003MIL.EVN.regular.comment.csv",22

"MIL200309030",1,"Debut game for Luis Martinez"2003MIL.EVN.regular.comment.csv",23

"MIL200309050",16,"$Bill Hall batted out of turn for the first pitch, then Keith Osik came up (correct batter) with 1-0 count"2003MIL.EVN.regular.comment.csv",24

"MIL200309050",37,"$Ben Sheets called for interference"2003MIL.EVN.regular.comment.csv",25

"MIL200309050",55,"Debut game for Peter Zoccolillo"2003MIL.EVN.regular.comment.csv",26

"MIL200309240",66,"ej,vinaf001,P,hollm901,Called third strike Cardinals Fernando Vina ejected by HP umpire Matt Hollowell"2003MIL.EVN.regular.comment.csv",27

