"CHN197704070",65,"Debut game for Mike Gordon","FILENAME_TX","LINE_NUMBER_CT"
"CHN197704090",52,"Debut game for Willie Hernandez","1977CHN.EVN.regular.comment.csv",2
"CHN197704240",56,"$George Foster collided with 3B coach George Scherger and fell","1977CHN.EVN.regular.comment.csv",3
"CHN197705060",34,"Debut game for Dave Campbell","1977CHN.EVN.regular.comment.csv",4
"CHN197705070",49,"$Ray Burris injured on bunt try when ball hit right index finger","1977CHN.EVN.regular.comment.csv",5
"CHN197705250",9,"$Bobby Murcer called out because 3B coach Peanuts Lowrey grabbed Murcer as he rounded 3B and was called for interference","1977CHN.EVN.regular.comment.csv",6
"CHN197705270",61,"$Frank Taveras called for interference for being out of box when he hit the ball","1977CHN.EVN.regular.comment.csv",7
"CHN197705290",13,"PO1(13E6)","1977CHN.EVN.regular.comment.csv",8
"CHN197706080",30,"54 minute rain delay","1977CHN.EVN.regular.comment.csv",9
"CHN197706080",64,"ej,suttd001,P,steld901,Throwing ball at umpire Don Sutton ejected by 3B umpire Dick Stello for throwing the ball at the umpire when he wanted to look at it","1977CHN.EVN.regular.comment.csv",10
"CHN197706260",30,"ej,pignj101,C,monte901,Call at 1B $Mets coach Pignatano ejected by 1B umpire Montague for arguing that Youngblood was safe at 1st","1977CHN.EVN.regular.comment.csv",11
"CHN197707041",31,"$missed squeeze;  two runners ended on 3B","1977CHN.EVN.regular.comment.csv",12
"CHN197707041",85,"ej,franh101,M,tatat901,Warning to pitcher ej,hundr101,C,tatat901,Warning to pitcher Cubs Manager Herman Franks and Cubs Coach Randy Hundley ejected by HP umpire Terry Tata arguing the warning given to pitcher Larry Biittner for throwing close to Del Unser","1977CHN.EVN.regular.comment.csv",13
"CHN197707042",17,"umpchange,2,umphome,froeb901 umpchange,2,ump2b,(None) $HP umpire Ed Sudol injured by a foul ball that struck his collar bone; he left and 2B umpire Bruce Froemming moved to HP","1977CHN.EVN.regular.comment.csv",14
"CHN197707042",78,"ej,dawsa001,P,steld901,Call at 2B Andre Dawson ejected by 1B umpire Dick Stello","1977CHN.EVN.regular.comment.csv",15
"CHN197707050",49,"ej,vernm101,C,tatat901,Call at 1B Expos coach Mickey Vernon ejected by 1B umpire Terry Tata","1977CHN.EVN.regular.comment.csv",16
"CHN197707260",67,"$Dan Driessen left with left cornea abraision from foul ball","1977CHN.EVN.regular.comment.csv",17
"CHN197707271",29,"$Mike Krukow hit on right arm by Mike Lum liner","1977CHN.EVN.regular.comment.csv",18
"CHN197707280",32,"$Pedro Borbon called for interference","1977CHN.EVN.regular.comment.csv",19
"CHN197707280",94,"$Dave Rosello and Jose Cardenal switch 2B and SS based on batter's hand","1977CHN.EVN.regular.comment.csv",20
"CHN197707280",96,"ej,franh101,M,crawj901,Call at 1B Cubs Manager Herman Franks ejected by 1B umpire Jerry Crawford","1977CHN.EVN.regular.comment.csv",21
"CHN197707280",125,"OA really part of previous play","1977CHN.EVN.regular.comment.csv",22
"CHN197708072",12,"ej,kellm101,P,rungp901,Fight after double-play takeout slide ej,kingd001,P,rungp901,Fight after double-play takeout slide $Dave Kingman took out Mick Kelleher with a slide and the two fought; both benches cleared; it took more than 5 minutes to restore order; Kingman and Kelleher ejected by 2B umpire Paul Runge","1977CHN.EVN.regular.comment.csv",23
"CHN197708120",31,"Garry Maddox injured","1977CHN.EVN.regular.comment.csv",24
"CHN197708130",77,"ej,franh101,M,kiblj901,Checked swing Cubs Manager Herman Franks ejected by 1B umpire John Kibler","1977CHN.EVN.regular.comment.csv",25
"CHN197708180",60,"Debut game for Mike Sember","1977CHN.EVN.regular.comment.csv",26
"CHN197708210",1,"Debut game for Dennis Lamp","1977CHN.EVN.regular.comment.csv",27
"CHN197708230",78,"$Ivan DeJesus called for interference for running inside baseline and hit by throw","1977CHN.EVN.regular.comment.csv",28
"CHN197709230",54,"45 minute rain delay with 0-1 count on Phil Garner","1977CHN.EVN.regular.comment.csv",29
"CHN197709240",67,"ej,parkd001,P,willb901,Called third strike $Parker ejected by HP umpire Williams for arguing called third strike","1977CHN.EVN.regular.comment.csv",30
"CHN197709280",49,"ej,bowal001,P,colon901,Bench Call at 2B $Phillies Bowa, not in game, ejected by 2B umpire Colosi for arguing that SS did touch bag for force out","1977CHN.EVN.regular.comment.csv",31
