"CIN195704160",0,"Debut for umpire Vinnie Smith"FILENAME_TX","LINE_NUMBER_CT"

"CIN195704240",11,"ej,drotd101,P,lands901,Bringing wheelchair to HP $Moe Drabowsky claimed to be struck on the foot by a pitch; Dick Drott brought a wheelchair out to HP to give Drabowsky a ride to 1B; Drott ejected by HP umpire Stan Landes"1957CIN.EVN.regular.comment.csv",2

"CIN195704240",43,"ej,collj102,P,lands901,Balls and strikes Jackie Collum ejected by HP umpire Stan Landes"1957CIN.EVN.regular.comment.csv",3

"CIN195704260",43,"$Hersh Freeman threw four straight pitches at Joe Adcock hitting him on the right knee with the fourth"1957CIN.EVN.regular.comment.csv",4

"CIN195704280",0,"$30 minute rain delay before start of game"1957CIN.EVN.regular.comment.csv",5

"CIN195705140",77,"$no one stopped Bob Bowman's throw back to infield"1957CIN.EVN.regular.comment.csv",6

"CIN195705170",19,"$Ozzie Virgil left with injured ankle"1957CIN.EVN.regular.comment.csv",7

"CIN195705191",73,"ej,freeg102,P,lands901,Called third strike Gene Freese ejected by HP umpire Stan Landes"1957CIN.EVN.regular.comment.csv",8

"CIN195705210",52,"missing play in CIN195705210"1957CIN.EVN.regular.comment.csv",9

"CIN195705220",35,"ej,postw101,P,secof101,Balls and strikes Wally Post ejected by HP umpire Frank Secory"1957CIN.EVN.regular.comment.csv",10

"CIN195705220",41,"1:44 rain delay"1957CIN.EVN.regular.comment.csv",11

"CIN195705260",56,"ej,hutcf101,M,dixoh901,Swing vs foul ball $Cardinals manager Hutchinson ejected by HP umpire Dixon for arguing that Bell had swung and missed at a pitch that was a foul tip not caught"1957CIN.EVN.regular.comment.csv",12

"CIN195706022",47,"$Bob Rush pulled a muscle"1957CIN.EVN.regular.comment.csv",13

"CIN195706170",34,"1:05 rain delay"1957CIN.EVN.regular.comment.csv",14

"CIN195706170",75,"$Frank Robinson thought the catch was the third out and didn't throw"1957CIN.EVN.regular.comment.csv",15

"CIN195706180",23,"$Roy Campanella's ball caromed off Art Fowler to Johnny Temple; Gil Hodges left baseline"1957CIN.EVN.regular.comment.csv",16

"CIN195706180",45,"25 minute rain delay"1957CIN.EVN.regular.comment.csv",17

"CIN195706220",13,"rain delay during the bottom of the second"1957CIN.EVN.regular.comment.csv",18

"CIN195706231",37,"ej,bragb101,M,dascf901,Call at 2B Pirates Manager Bobby Bragan ejected by 3B umpire Frank Dascoli"1957CIN.EVN.regular.comment.csv",19

"CIN195706232",68,"ej,fondd101,P,lands901,Bench jockeying ej,purkb101,P,lands901,Bench jockeying Dee Fondy and Bob Purkey ejected by HP umpire Stan Landes for bench jockeying; Purkey walked from the bench to the edge of the diamond while sprinkling water from a bucket; Purkey and Fondy accused Raul Sanchez of throwing a spitball; after being ejected, Fondy offered his dark glasses to Landes"1957CIN.EVN.regular.comment.csv",20

"CIN195706270",35,"51 minute rain delay"1957CIN.EVN.regular.comment.csv",21

"CIN195706270",41,"17 minute rain delay"1957CIN.EVN.regular.comment.csv",22

"CIN195706280",0,"$Hal Jeffcoat 115 pitches; Don Cardwell 87 pitches"1957CIN.EVN.regular.comment.csv",23

"CIN195706290",0,"$Tom Acker 141 pitches; Robin Roberts 93 pitches"1957CIN.EVN.regular.comment.csv",24

"CIN195706301",33,"fan interference"1957CIN.EVN.regular.comment.csv",25

"CIN195706302",77,"$Brooks Lawrence pitched a complete game in the first game of DH and earned a save here"1957CIN.EVN.regular.comment.csv",26

"CIN195707260",7,"fan interference"1957CIN.EVN.regular.comment.csv",27

"CIN195707270",38,"$Randy Jackson left with injured knee"1957CIN.EVN.regular.comment.csv",28

"CIN195707280",3,"ej,newcd101,P,lands901,Balls and strikes ej,alstw101,M,lands901,Balls and strikes Don Newcombe and Dodgers Manager Walter Alston ejected by HP umpire Stan Landes"1957CIN.EVN.regular.comment.csv",29

"CIN195707300",0,"$Warren Hacker 31 pitches; Joe Nuxhall 97 pitches"1957CIN.EVN.regular.comment.csv",30

"CIN195707310",0,"$Vicente Amor 60 pitches; Harvey Haddix 13 pitches; Jack Meyer 121 pitches"1957CIN.EVN.regular.comment.csv",31

"CIN195708010",0,"$Brooks Lawrence 100 pitches; Curt Simmons 111 pitches"1957CIN.EVN.regular.comment.csv",32

"CIN195708041",89,"xCC4 per film,TSN made D9 S9"1957CIN.EVN.regular.comment.csv",33

"CIN195708041",90,"ej,rignb101,M,smitv101,Call at 1B Giants Manager Bill Rigney ejected by 1B umpire Vinnie Smith"1957CIN.EVN.regular.comment.csv",34

"CIN195708041",114,"missing play in CIN195708041"1957CIN.EVN.regular.comment.csv",35

"CIN195708092",59,"Banks may have also gotten an assist on this play"1957CIN.EVN.regular.comment.csv",36

"CIN195709021",46,"ej,moonw101,P,bakeb101,Called third strike Wally Moon ejected by HP umpire Bill Baker"1957CIN.EVN.regular.comment.csv",37

"CIN195709022",7,"$Don Blasingame called for obstruction"1957CIN.EVN.regular.comment.csv",38

"CIN195709130",0,"$Jack Sanford 97 pitches"1957CIN.EVN.regular.comment.csv",39

"CIN195709130",61,"ej,bouce101,P,secof101,Called third strike Ed Bouchee ejected by HP umpire Frank Secory"1957CIN.EVN.regular.comment.csv",40

"CIN195709140",0,"$Robin Roberts 122 pitches; Brooks Lawrence 59 pitches"1957CIN.EVN.regular.comment.csv",41

"CIN195709170",11,"$Hank Foiles left injured"1957CIN.EVN.regular.comment.csv",42

