"SLA194006302",71,"$game called for Tigers to catch train"FILENAME_TX","LINE_NUMBER_CT"

"DET194007240",14,"$next pair also OK in I5, I9"1940.EDA.regular.comment.csv",2

"CHA194007230",16,"pbp account ends here, rest deduced"1940.EDA.regular.comment.csv",3

"CHA194007230",19,"$Foxx hurt knee fielding Wright's grounder in second"1940.EDA.regular.comment.csv",4

"CHA194007230",46,"$Desautels hurt back sliding into second"1940.EDA.regular.comment.csv",5

"DET194007280",0,"$This was Bobo Newsom's first appearance since breaking the thumb on his pitching hand 11 days earlier."1940.EDA.regular.comment.csv",6

"DET194007280",3,"$Newsom started the game with his broken thumb taped. After  the back-to-back walks, he tore the tape off his thumb and pitched the rest of the game without it."1940.EDA.regular.comment.csv",7

"SLA194008041",0,"$11 minute rain delay before start of game"1940.EDA.regular.comment.csv",8

"SLA194008041",67,"$Brancato hit in the side of the head"1940.EDA.regular.comment.csv",9

"PHA194008140",20,"$Case slid into 3B with an apparent triple, but Chase was still on 3B."1940.EDA.regular.comment.csv",10

"DET194008180",32,"$Wright thought Greenberg had caught his fly and left base"1940.EDA.regular.comment.csv",11

"DET194008160",57,"$This was a bunt double as no one covered second and the batter continued to run"1940.EDA.regular.comment.csv",12

"BOS194008220",42,"$Greenberg rounded bag too far"1940.EDA.regular.comment.csv",13

"CHA194009050",45,"$Webb had to wait to see if Kuhel's hit would be caught so he only advanced one base"1940.EDA.regular.comment.csv",14

"WS1194009070",51,"$Chapman was safe at home when Hahn dropped the throw. Thuman recovered the ball and threw the ball into left field trying to catch Johnson at third base."1940.EDA.regular.comment.csv",15

"WS1194009081",0,"$There were two rain delays - 32 min & 37 min - at some point during this game."1940.EDA.regular.comment.csv",16

"WS1194009082",6,"$This was Jim Mallory's major-league debut"1940.EDA.regular.comment.csv",17

"WS1194009082",13,"$This was Sherry Robertson's major-league debut"1940.EDA.regular.comment.csv",18

"WS1194009082",42,"$Game called on account of darkness"1940.EDA.regular.comment.csv",19

"SLA194006292",76,"$Bartell threw ball into dugout trying to get Berardino"1940.EDA.regular.comment.csv",20

"SLA194006292",98,"$Game called for darkness"1940.EDA.regular.comment.csv",21

