"ATL201803290",13,"$Tyler Flowers left the game with an injured side","FILENAME_TX","LINE_NUMBER_CT"
"ATL201803290",75,"ej,snitb801,ATL,M,bakej902,Arguing check swing $Atlanta manager Snitker ejected by 3b umpire Baker for arguing check swing","2018ATL.EVN.regular.comment.csv",2
"ATL201803300",22,"$Throw from left field was over catcher, pitcher backed it up and collided with on-deck batter; Umpire review to bse sure there was no rules violation; call upheld - sac fly; Phillies then appealed that runner had left third too soon - denied","2018ATL.EVN.regular.comment.csv",3
"ATL201803300",27,"$originally scored as wild pitch, changed to stolen base on 04-09-2018","2018ATL.EVN.regular.comment.csv",4
"ATL201803300",65,"$Phillies challenged call that Hoskins was picked off 1st after first pitch; call was overturned - safe on pickoff attempt","2018ATL.EVN.regular.comment.csv",5
"ATL201803300",74,"$Phillies challenged call that Bourjos was safe at home; call was overturned - out at home","2018ATL.EVN.regular.comment.csv",6
"ATL201803310",36,"ej,snitb801,M,laynj901,Opponent stalling $Braves manager Snitker ejected by 2B umpire Layne for complaining that Phillies were stalling to allow their reliever more time to warm up since he not started when he was called in; the Phillies stalled and Snitker was ejected when he complained about it; umpire ruled that new pitcher could only throw 5 pitches instead of usual 8","2018ATL.EVN.regular.comment.csv",7
"ATL201804180",40,"$Phillies challenged call that Albies was safe on pickoff attempt after 5th pitch; call was overturned - out on pickoff","2018ATL.EVN.regular.comment.csv",8
"ATL201804190",71,"$Braves challenged call that Markakis was out, claiming a trap; call was upheld - fly out","2018ATL.EVN.regular.comment.csv",9
"ATL201804200",45,"$Braves challenged call that Cabrera's ball was not interfered with; call was overturned - out on fan interference","2018ATL.EVN.regular.comment.csv",10
"ATL201804200",48,"$Mets challenged call that Flores was out at home; call was upheld - out at home","2018ATL.EVN.regular.comment.csv",11
"ATL201804200",96,"$Braves challenged call that Cabrera was safe at 3rd; call was overturned - out trying to stretch for triple","2018ATL.EVN.regular.comment.csv",12
"ATL201804210",44,"$Mets challenged call that Inciarte was safe at third on stolen base; call was overturned - out on caught stealing","2018ATL.EVN.regular.comment.csv",13
"ATL201804210",58,"$Mets challenged call that Reyes was out at 2nd; call was overturned - safe at 2nd on dropped catch error","2018ATL.EVN.regular.comment.csv",14
"ATL201805040",18,"$Giants challenged call that Hanson was out at home; call was overturned - safe at home on fielder's choice","2018ATL.EVN.regular.comment.csv",15
"ATL201805040",71,"$originally scored as throwing error on 3b man, changed to single on 05-05-2018","2018ATL.EVN.regular.comment.csv",16
"ATL201805050",76,"$Braves challenged call that Hernandez was safe at 1st; call was upheld - single","2018ATL.EVN.regular.comment.csv",17
"ATL201805150",45,"$Braves challenged call that Camargo was out at home; call was upheld - out advancing","2018ATL.EVN.regular.comment.csv",18
"ATL201805180",15,"$Marlins challenged call that Camargo was safe at 2nd for double; call was overturned - single and out stretching","2018ATL.EVN.regular.comment.csv",19
"ATL201805180",47,"$Braves challenged call that first pitch to Flowers was homer stadium boundary call; call was overturned - foul ball","2018ATL.EVN.regular.comment.csv",20
"ATL201805180",59,"$Braves challenged call that Acuna was out at first; call was uphedl - ground out","2018ATL.EVN.regular.comment.csv",21
"ATL201805200",87,"$originally scored as E3 throwing error, changed to E1 dropped catch error on pitcher on 05-30-2018","2018ATL.EVN.regular.comment.csv",22
"ATL201805290",31,"$Braves challenged call that Markakis was out at first; call was upheld - ground out","2018ATL.EVN.regular.comment.csv",23
"ATL201805290",36,"$Steven Matz left with an injured hand","2018ATL.EVN.regular.comment.csv",24
"ATL201805290",85,"$originally scored as defensive indifference, changed to stolen base on 05-30-2018","2018ATL.EVN.regular.comment.csv",25
"ATL201806030",72,"$Braves challenged call that Swanson was out at 2nd; call was overturned - double","2018ATL.EVN.regular.comment.csv",26
"ATL201806120",38,"$Mike Foltynewicz left with an injured arm","2018ATL.EVN.regular.comment.csv",27
"ATL201806120",41,"ej,callm001,NYN,M,sches901,Arguing balls and strikes $Mets manager Callaway ejected by plate umpire Scheurwater for arguing balls and strikes","2018ATL.EVN.regular.comment.csv",28
"ATL201806120",47,"$Braves challenged call that Flowers was out at 1st to complete double play; call was overturned - force out, no DP","2018ATL.EVN.regular.comment.csv",29
"ATL201806140",49,"$Padres challenged call that Flowers had been hit by pitch; call was upheld - hit by pitch","2018ATL.EVN.regular.comment.csv",30
"ATL201806150",28,"$Padres challenged call that Freeman was safe at home; call was overturnes - out at home","2018ATL.EVN.regular.comment.csv",31
"ATL201806150",38,"ej,greea001,M,westj901,Arguing foul ball $San Diego manager Green ejected by plate umpire West after fourth pitch which West appeared to call a swing, but changed to foul","2018ATL.EVN.regular.comment.csv",32
"ATL201806150",76,"$Braves challenged call that Castillo was out at first; call was upheld - ground out","2018ATL.EVN.regular.comment.csv",33
