"WAS200803300",0,"$First game at Nationals Park; ceremonial pitch by President George Bush","FILENAME_TX","LINE_NUMBER_CT"
"WAS200803300",6,"$Hudson's throw went behind the runner and down the RF line","2008WAS.EVN.regular.comment.csv",2
"WAS200803300",9,"$Johnson's first game since 9/23/2006 when he broke his leg","2008WAS.EVN.regular.comment.csv",3
"WAS200803300",13,"$McCann hesitated after rounding the 1B bag","2008WAS.EVN.regular.comment.csv",4
"WAS200803300",28,"$Zimmerman allowed the ball to roll down the line and it struck the bag","2008WAS.EVN.regular.comment.csv",5
"WAS200803300",39,"Nationals Elijah Dukes left the game due to injured right hamstring","2008WAS.EVN.regular.comment.csv",6
"WAS200804090",79,"Debut game for Burke Badenhop","2008WAS.EVN.regular.comment.csv",7
"WAS200804100",73,"$Willingham climbed the wall in front of the bullpen to deflect the ball back onto the field; it would have been a homer otherwise","2008WAS.EVN.regular.comment.csv",8
"WAS200804120",0,"$91 minute rain delay before game","2008WAS.EVN.regular.comment.csv",9
"WAS200804130",7,"Braves pitcher Tom Glavine left the game due to an injured hamstring","2008WAS.EVN.regular.comment.csv",10
"WAS200804130",25,"$Lo Duca was hit on the right hand","2008WAS.EVN.regular.comment.csv",11
"WAS200804250",46,"$Johnson made a diving catch and slid on the warning track into the wall","2008WAS.EVN.regular.comment.csv",12
"WAS200804250",79,"$First career homer for Nieves","2008WAS.EVN.regular.comment.csv",13
"WAS200804270",34,"$catcher Nieves threw behind Cedeno at 2B but Cedeno broke for 3B and easily beat the relay throw; Blanco moved up on the play","2008WAS.EVN.regular.comment.csv",14
"WAS200804270",36,"$the ball bounced off Nick Johnson's glove; pitcher John Lannan did not cover 1B; Nick Johnson started to the bag once he picked up the ball but had no chance to beat Reed Johnson to the bag","2008WAS.EVN.regular.comment.csv",15
"WAS200805020",38,"25 minute delay due to a partial power failure; some of the field lights went off","2008WAS.EVN.regular.comment.csv",16
"WAS200805100",36,"$O'Connor was removed with a 2-0 count on Cantu; Hanrahan threw the wild pitch and then completed the walk; since O'Connor was charged with the walk according to the rules, Hanrahan threw a wild pitch to a batter he did not face","2008WAS.EVN.regular.comment.csv",17
"WAS200805190",28,"$bloop down the RF line that no one could get to","2008WAS.EVN.regular.comment.csv",18
"WAS200805190",45,"$liner off Myers's leg","2008WAS.EVN.regular.comment.csv",19
"WAS200805190",46,"$infield shifted to right for Howard","2008WAS.EVN.regular.comment.csv",20
"WAS200805200",3,"$infield shifted for Howard","2008WAS.EVN.regular.comment.csv",21
"WAS200805200",21,"$infield shifted for Howard","2008WAS.EVN.regular.comment.csv",22
"WAS200805200",42,"$infield shifted for Howard","2008WAS.EVN.regular.comment.csv",23
"WAS200805200",59,"$infield shifted for Howard","2008WAS.EVN.regular.comment.csv",24
"WAS200805200",72,"$Flores made a great block of the plate to get Dobbs","2008WAS.EVN.regular.comment.csv",25
"WAS200805210",27,"$the ball bounced into the batter's eye in CF","2008WAS.EVN.regular.comment.csv",26
"WAS200805210",42,"$infield shifted to right for Howard","2008WAS.EVN.regular.comment.csv",27
"WAS200805210",43,"$hit into the upper deck in right center field (section 242 row 2); this is the last section of seats in center field","2008WAS.EVN.regular.comment.csv",28
"WAS200805210",54,"$Dmitri Young misplayed the throw in from right field and the ball rolled past everyone at the plate and into the camera well on the home plate side of the visitor's dugout","2008WAS.EVN.regular.comment.csv",29
"WAS200805210",75,"$high bouncer over Condrey's head","2008WAS.EVN.regular.comment.csv",30
"WAS200805210",82,"$Felix and Rollins each expected the other to catch the ball and it dropped between them on the infield","2008WAS.EVN.regular.comment.csv",31
"WAS200805230",36,"$Dukes fouls a ball of his left leg","2008WAS.EVN.regular.comment.csv",32
"WAS200805230",49,"Nationals Elijah Dukes left the game due to a contusion on his left leg","2008WAS.EVN.regular.comment.csv",33
"WAS200805230",61,"Debut game for Tim Dillard","2008WAS.EVN.regular.comment.csv",34
"WAS200805240",60,"$over the visitor bullpen","2008WAS.EVN.regular.comment.csv",35
"WAS200805240",69,"$Debut for Charlie Manning","2008WAS.EVN.regular.comment.csv",36
