"PIT199104080",0,"Debut for umpires Bob Willman, John Spange, Bruce Martine and Don January, who worked because the staff umpires were not working due to contract negotiations which stalled during spring training; the contract was settled but the assigned umpires could not get to Pittsburgh in time to work the game","FILENAME_TX","LINE_NUMBER_CT"
"PIT199104100",37,"$the ball deflected off Spike Owens' glove to Delino DeShields","1991PIT.EVN.regular.comment.csv",2
"PIT199104100",46,"Balk called by 3B umpire Terry Tata","1991PIT.EVN.regular.comment.csv",3
"PIT199104190",22,"Danny Jackson left with unknown injury","1991PIT.EVN.regular.comment.csv",4
"PIT199104190",56,"Debut game for Erik Pappas","1991PIT.EVN.regular.comment.csv",5
"PIT199104210",71,"$Bobby Bonilla's 100th homer","1991PIT.EVN.regular.comment.csv",6
"PIT199105050",56,"$ninth upper deck homer at Three Rivers Stadium","1991PIT.EVN.regular.comment.csv",7
"PIT199105070",20,"ej,oneip001,P,darlg901,Balls and strikes (from bench) Paul O'Neill ejected by HP umpire Gary Darling for bench jockeying; he was not in the game","1991PIT.EVN.regular.comment.csv",8
"PIT199105070",44,"$the throw by pitcher Scott Scudder went into RF; HP umpire Gary Darling ruled that Don Slaught ran out of the baseline and was called out for interference","1991PIT.EVN.regular.comment.csv",9
"PIT199105080",24,"ej,pinil001,M,harvd901,Balls and strikes (Kicked dirt on plate) Reds manager Lou Piniella ejected by HP umpire Doug Harvey","1991PIT.EVN.regular.comment.csv",10
"PIT199105110",3,"ej,pendt001,P,bonig901,Called third strike Terry Pendleton ejected by HP umpire Greg Bonin","1991PIT.EVN.regular.comment.csv",11
"PIT199105220",36,"Bob Tewksbury left with right shoulder irritation","1991PIT.EVN.regular.comment.csv",12
"PIT199105230",49,"$Rex Hudler called out on appeal for leaving 3B early","1991PIT.EVN.regular.comment.csv",13
"PIT199105240",67,"ej,hayec001,P,wintm901,Balls and strikes Charlie Hayes ejected by HP umpire Mike Winters","1991PIT.EVN.regular.comment.csv",14
"PIT199106090",39,"$Jay Bell charged with obstruction but no error charged because the obstruction did not change the play","1991PIT.EVN.regular.comment.csv",15
"PIT199106100",8,"$Mitch Webster argued the called third strike but not ejected","1991PIT.EVN.regular.comment.csv",16
"PIT199106100",29,"$Ball hit the 3B bag","1991PIT.EVN.regular.comment.csv",17
"PIT199106100",40,"Bob Walk left with unknown injury","1991PIT.EVN.regular.comment.csv",18
"PIT199106130",70,"ej,leylj801,M,froeb901,HBP call $Pirates manager Leyland ejected by 1B umpire Froemming for arguing when foul tip overturned to HBP","1991PIT.EVN.regular.comment.csv",19
"PIT199106130",71,"ej,wilkc001,P,rapue901,HBP call $2bman Wilkerson ejected by HP umpire Rapuano at mound meeting - still angry about HBP call","1991PIT.EVN.regular.comment.csv",20
"PIT199106250",25,"Mike Lavalliere left with an inflamed left shoulder","1991PIT.EVN.regular.comment.csv",21
"PIT199106260",55,"George Bell charges mound and both benches clear; no ejections","1991PIT.EVN.regular.comment.csv",22
"PIT199106270",1,"Debut game for Frank Castillo","1991PIT.EVN.regular.comment.csv",23
"PIT199107160",5,"$Jim Deshaies hit on left arm by Gary Redus line drive; taken to the hospital for evaluation","1991PIT.EVN.regular.comment.csv",24
"PIT199107160",57,"ej,kiled001,P,hallt901,Intentional HBP Darryl Kile ejected by HP umpire Tom Hallion; both benches emptied but no further action","1991PIT.EVN.regular.comment.csv",25
"PIT199107170",8,"Mark Portugal left with strained right groin muscle","1991PIT.EVN.regular.comment.csv",26
"PIT199107170",75,"Debut game for John Wehner","1991PIT.EVN.regular.comment.csv",27
"PIT199107210",42,"$Andy Van Slyke called out for not retouching 2B","1991PIT.EVN.regular.comment.csv",28
"PIT199107230",58,"Debut game for Keith Mitchell","1991PIT.EVN.regular.comment.csv",29
"PIT199107230",68,"Debut game for Jeff Banister","1991PIT.EVN.regular.comment.csv",30
"PIT199108100",1,"Debut game for Hector Fajardo","1991PIT.EVN.regular.comment.csv",31
"PIT199108100",26,"Ken Hill left with right elbow discomfort","1991PIT.EVN.regular.comment.csv",32
"PIT199108110",17,"$line drive caromed off Bob Tewksbury to Rex Hudler","1991PIT.EVN.regular.comment.csv",33
"PIT199108140",16,"$Gary Varsho lost the ball in the lights","1991PIT.EVN.regular.comment.csv",34
"PIT199108170",1,"31-minute rain delay before the start of the game","1991PIT.EVN.regular.comment.csv",35
"PIT199109170",77,"$originally called in play for a triple; ruling changed","1991PIT.EVN.regular.comment.csv",36
"PIT199109180",35,"Andy Van slyke left game with sprained left ankle","1991PIT.EVN.regular.comment.csv",37
"PIT199109220",18,"Jay Bell left with bruised left ribs","1991PIT.EVN.regular.comment.csv",38
"PIT199109300",6,"$Jay Bell overslid the bag","1991PIT.EVN.regular.comment.csv",39
